Rank,Title,Authors,Publisher,Appearances,Score
1,The <em>Roman</em> <em>Republic</em>,Michael H Crawford,,491,25
2,The Last Generation of the <em>Roman</em> <em>Republic</em>,Erich S Gruen,University of California Press,250,11
3,A Companion to the <em>Roman</em> <em>Republic</em>,"Nathan Stewart Rosenstein, Robert MorsteinMarx",,223,12
4,Fall of the <em>Roman</em> <em>Republic</em>,Rex Warner,,220,11
5,Social Conflicts in the <em>Roman</em> <em>Republic</em>,P A Brunt,,197,10
6,The Cambridge Companion to the <em>Roman</em> <em>Republic</em>,Harriet I Flower,Cambridge University Press,184,8
7,The Constitution of the <em>Roman</em> <em>Republic</em>,Andrew Lintott,,167,8
8,The Fall of the <em>Roman</em> <em>Republic</em>,David Shotter,Routledge,142,8
9,Plebs and Politics in the Late <em>Roman</em> <em>Republic</em>,Henrik Mouritsen,Cambridge University Press,127,6
10,<em>Roman</em> <em>Republics</em>,Harriet I Flower,Princeton University Press,119,6
11,The End of the <em>Roman</em> <em>Republic</em> 146 to 44 BC: Conquest and Crisis,Catherine Steel,Edinburgh University Press,118,7
12,Fall of the <em>Roman</em> <em>Republic</em>,P A Brunt,,117,6
13,Festivals and Ceremonies of the <em>Roman</em> <em>Republic</em>,H H Scullard,,116,5
14,Intellectual Life in the Late <em>Roman</em> <em>Republic</em>,Elizabeth Rawson,,110,6
15,The Fall of the <em>Roman</em> <em>Republic</em> and Related Essays,Peter Brunt,Oxford University Press / Clarendon Press,102,6
16,<em>Roman</em> <em>Republican</em> Coinage,Michael H Crawford,Cambridge University Press,101,6
17,The <em>Roman</em> <em>Republic</em>: A Very Short Introduction,David M Gwynn,Oxford University Press,86,5
18,A Companion to the Archaeology of the <em>Roman</em> <em>Republic</em>,Jane DeRose Evans,Wiley,80,5
19,"Rome, the Greek World, and the East: The <em>Roman Republic</em> and the Augustan Revolution",Fergus Millar,The University of North Carolina Press,79,4
20,The Magistrates of the <em>Roman</em> <em>Republic</em>,T Robert S Broughton,,78,4
21,Cicero and the End of the <em>Roman</em> <em>Republic</em>,Thomas Wiedemann,Bristol Classical Press,73,3
22,The <em>Roman</em> <em>Republic</em>,Guy Bradley,Oxford University Press,65,3
23,Libertas and the Practice of Politics in the Late <em>Roman</em> <em>Republic</em>,Valentina Arena,Cambridge University Press,63,4
24,The Crisis of the <em>Roman</em> <em>Republic</em>: Studies in Political and Social History,Robin Seager,,63,3
25,The <em>Roman</em> <em>Republic</em> in Political Thought,Fergus Millar,University Press of New England,63,3
26,"Portraits, Power, and Patronage in the Late <em>Roman</em> <em>Republic</em>",Jeremy Tanner,The Journal of Roman Studies,62,3
