period,periodLabel,start,end,instanceOf,instanceOfLabel,subclassOf,subclassOfLabel,partOf,partOfLabel
http://www.wikidata.org/entity/Q126951505,Prehistoric Brussels,http://www.wikidata.org/.well-known/genid/39811474edd7e70e259604b84b4065de,-0056-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q217050,late antiquity,http://www.wikidata.org/.well-known/genid/6b636abc5bc84a2a2e75dc7bc97f4974,http://www.wikidata.org/.well-known/genid/f94e1beea1602139f455b34de72861ec,http://www.wikidata.org/entity/Q11042,culture,http://www.wikidata.org/entity/Q41493,ancient history,,
http://www.wikidata.org/entity/Q217050,late antiquity,http://www.wikidata.org/.well-known/genid/6b636abc5bc84a2a2e75dc7bc97f4974,http://www.wikidata.org/.well-known/genid/f94e1beea1602139f455b34de72861ec,http://www.wikidata.org/entity/Q465299,archaeological culture,http://www.wikidata.org/entity/Q41493,ancient history,,
http://www.wikidata.org/entity/Q217050,late antiquity,http://www.wikidata.org/.well-known/genid/6b636abc5bc84a2a2e75dc7bc97f4974,http://www.wikidata.org/.well-known/genid/f94e1beea1602139f455b34de72861ec,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q41493,ancient history,,
http://www.wikidata.org/entity/Q61704160,all-time,-13800000000-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/0b59759acb632c3773124e36cf63aabe,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q6428674,era,,
http://www.wikidata.org/entity/Q61704160,all-time,-13800000000-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/0b59759acb632c3773124e36cf63aabe,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q11514315,historical period,,
http://www.wikidata.org/entity/Q55119661,Pongola glaciation,-2985000000-01-01T00:00:00Z,-2837000000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q602963,glacial period,,,,
http://www.wikidata.org/entity/Q24322,Huronian glaciation,-2400000000-01-01T00:00:00Z,-2100000000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q49367,ice age,,,http://www.wikidata.org/entity/Q193738,Paleoproterozoic
http://www.wikidata.org/entity/Q24322,Huronian glaciation,-2400000000-01-01T00:00:00Z,-2100000000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q186081,time interval,,,http://www.wikidata.org/entity/Q193738,Paleoproterozoic
http://www.wikidata.org/entity/Q23579307,Boring Billion,-1800000000-01-01T00:00:00Z,-800000000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q186081,time interval,,,http://www.wikidata.org/entity/Q104162,Proterozoic
http://www.wikidata.org/entity/Q23579307,Boring Billion,-1800000000-01-01T00:00:00Z,-800000000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q104162,Proterozoic
http://www.wikidata.org/entity/Q1144136,Marinoan glaciation,-650000000-01-01T00:00:00Z,-635000000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q602963,glacial period,,,,
http://www.wikidata.org/entity/Q4753650,Andean-Saharan glaciation,-450000000-01-01T00:00:00Z,-420000000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q602963,glacial period,,,,
http://www.wikidata.org/entity/Q840828,Variscan orogeny,-380000000-01-01T00:00:00Z,-280000000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q184554,orogeny,,
http://www.wikidata.org/entity/Q685167,Karoo Ice Age,-360000000-01-01T00:00:00Z,-260000000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q602963,glacial period,,,,
http://www.wikidata.org/entity/Q5051092,cat gap,-25000000-01-01T00:00:00Z,-18500000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q40203,Paleolithic,-3300000-01-01T00:00:00Z,-13000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11042,culture,,,http://www.wikidata.org/entity/Q11759,Stone Age
http://www.wikidata.org/entity/Q40203,Paleolithic,-3300000-01-01T00:00:00Z,-13000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q11759,Stone Age
http://www.wikidata.org/entity/Q40203,Paleolithic,-3300000-01-01T00:00:00Z,-13000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q11759,Stone Age
http://www.wikidata.org/entity/Q14663456,Riss glaciation,-200000-01-01T00:00:00Z,-125000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q602963,glacial period,,,,
http://www.wikidata.org/entity/Q754949,Last Glacial Period,-113000-01-01T00:00:00Z,-9700-01-01T00:00:00Z,http://www.wikidata.org/entity/Q602963,glacial period,,,http://www.wikidata.org/entity/Q1040770,Quaternary glaciation
http://www.wikidata.org/entity/Q3236732,"100,000-10,000 BCE",-100000-01-01T00:00:00Z,-10000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q479505,Upper Paleolithic,-48000-01-01T00:00:00Z,-7700-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q40203,Paleolithic
http://www.wikidata.org/entity/Q479505,Upper Paleolithic,-48000-01-01T00:00:00Z,-7700-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q40203,Paleolithic
http://www.wikidata.org/entity/Q479505,Upper Paleolithic,-38000-01-01T00:00:00Z,-7700-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q40203,Paleolithic
http://www.wikidata.org/entity/Q479505,Upper Paleolithic,-38000-01-01T00:00:00Z,-7700-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q40203,Paleolithic
http://www.wikidata.org/entity/Q756905,Gravettian,-33000-01-01T00:00:00Z,-22000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q465299,archaeological culture,,,http://www.wikidata.org/entity/Q479505,Upper Paleolithic
http://www.wikidata.org/entity/Q756905,Gravettian,-33000-01-01T00:00:00Z,-22000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q479505,Upper Paleolithic
http://www.wikidata.org/entity/Q693549,Magdalenian,-15000-01-01T00:00:00Z,-10000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11042,culture,,,http://www.wikidata.org/entity/Q479505,Upper Paleolithic
http://www.wikidata.org/entity/Q693549,Magdalenian,-15000-01-01T00:00:00Z,-10000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q465299,archaeological culture,,,http://www.wikidata.org/entity/Q479505,Upper Paleolithic
http://www.wikidata.org/entity/Q693549,Magdalenian,-15000-01-01T00:00:00Z,-10000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q479505,Upper Paleolithic
http://www.wikidata.org/entity/Q2741484,Late Glacial Maximum,-13000-01-01T00:00:00Z,-10000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q602963,glacial period,,,,
http://www.wikidata.org/entity/Q11488352,current interglacial,-9700-01-01T00:00:00Z,100000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q487294,interglacial period,,,,
http://www.wikidata.org/entity/Q132855786,Q132855786,-9050-01-01T00:00:00Z,-6500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q11871888,stone age in Finland,-8850-01-01T00:00:00Z,-1699-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q11759,Stone Age,,
http://www.wikidata.org/entity/Q930351,Suomusjärvi culture,-8700-01-01T00:00:00Z,-5100-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q3408958,Pre-colonial history of Quebec,-8000-01-01T00:00:00Z,1608-07-03T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q2334663,Ancient Estonia,-8000-01-01T00:00:00Z,1300-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q55622876,Mesoamerican Archaic period,-8000-01-01T00:00:00Z,-1999-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q714601,Predynastic Period of Egypt,-6500-01-01T00:00:00Z,-3099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6428674,era,,,http://www.wikidata.org/entity/Q208520,Prehistoric Egypt
http://www.wikidata.org/entity/Q714601,Predynastic Period of Egypt,-6500-01-01T00:00:00Z,-3099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q208520,Prehistoric Egypt
http://www.wikidata.org/entity/Q714601,Predynastic Period of Egypt,-6500-01-01T00:00:00Z,-3099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6428674,era,,,http://www.wikidata.org/entity/Q2310752,prehistory and early history
http://www.wikidata.org/entity/Q714601,Predynastic Period of Egypt,-6500-01-01T00:00:00Z,-3099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q2310752,prehistory and early history
http://www.wikidata.org/entity/Q132855824,Q132855824,-6500-01-01T00:00:00Z,-3549-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q123399156,Early Jōmon,-4998-01-01T00:00:00Z,-3499-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q52824,Jōmon period
http://www.wikidata.org/entity/Q132855862,Q132855862,-4050-01-01T00:00:00Z,-2049-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q99299840,Middle Jōmon,-3499-01-01T00:00:00Z,-2499-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6428674,era,http://www.wikidata.org/entity/Q52824,Jōmon period,,
http://www.wikidata.org/entity/Q99299840,Middle Jōmon,-3499-01-01T00:00:00Z,-2499-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q52824,Jōmon period,,
http://www.wikidata.org/entity/Q114877817,Uruk V Period,-3499-01-01T00:00:00Z,-3349-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q114877809,Uruk IV Period,-3349-01-01T00:00:00Z,-3199-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3448837,middle chronology,,,,
http://www.wikidata.org/entity/Q114877809,Uruk IV Period,-3349-01-01T00:00:00Z,-3199-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q4974228,Bronze Age India,-3300-01-01T00:00:00Z,-1300-01-01T00:00:00Z,http://www.wikidata.org/entity/Q8432,civilization,,,,
http://www.wikidata.org/entity/Q4974228,Bronze Age India,-3300-01-01T00:00:00Z,-1300-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q4974228,Bronze Age India,-3300-01-01T00:00:00Z,-1300-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,,
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q465299,archaeological culture,,,http://www.wikidata.org/entity/Q11761,Bronze Age
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1292119,style,,,http://www.wikidata.org/entity/Q11761,Bronze Age
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2718886,civilization,,,http://www.wikidata.org/entity/Q11761,Bronze Age
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q11761,Bronze Age
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q28171280,ancient civilization,,,http://www.wikidata.org/entity/Q11761,Bronze Age
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q465299,archaeological culture,,,http://www.wikidata.org/entity/Q1516494,history of Crete
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1292119,style,,,http://www.wikidata.org/entity/Q1516494,history of Crete
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2718886,civilization,,,http://www.wikidata.org/entity/Q1516494,history of Crete
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q1516494,history of Crete
http://www.wikidata.org/entity/Q134178,Minoan civilization,-3299-01-01T00:00:00Z,-1099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q28171280,ancient civilization,,,http://www.wikidata.org/entity/Q1516494,history of Crete
http://www.wikidata.org/entity/Q41493,ancient history,-3200-01-01T00:00:00Z,0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q186081,time interval,http://www.wikidata.org/entity/Q309,history,http://www.wikidata.org/entity/Q1066186,study of history
http://www.wikidata.org/entity/Q41493,ancient history,-3200-01-01T00:00:00Z,0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1047113,field of study,http://www.wikidata.org/entity/Q309,history,http://www.wikidata.org/entity/Q1066186,study of history
