qid,label,fast_id,gnd_id,lcsh_id,ddc,aat_id,lcc
Q383968,African American studies,,,sh85001992,,,
Q386302,African art,,,sh85007528,709.6,,
Q386319,African literature,,,sh85001733,896,,
Q38157,African studies,,4122766-9,,,300389815,
Q25340364,American literature,,,sh85004336,,,
Q470125,American studies,,4142196-6,,427.973|810,,
Q35497,Ancient Greek,,4113791-7,,480,300387828|300387827,
Q13955,Arabic,812287,4241223-7,sh85006306,492.7,300387843,AI19.A6
Q1866303,Arabic grammar,,,sh86000279,,,
Q194380,Arabic literature,,7507689-5,sh85006314,892.7,,
Q1292502,Arabic poetry,812533,,sh85006333,892.71,,PJ7541-PJ7561|PJ7631-PJ7661
Q29401,Assamese,,4253033-7,sh85008742,491.451,300387879|300387878,
Q156859,Assyriology,,4143231-9,sh85008834,892.1|492.1,,
Q1765120,Bachelor of Arts,,,sh85010772,,,
Q46202,Bose–Einstein condensate,,4402897-0,sh92005509,530.474,,
Q764912,British literature,,7503210-7,,,,
Q748,Buddhism,840028,4008690-2,sh85017454,294.3,300073738,BQ1-BQ9800
Q1000976,Buddhist studies,,4755247-5,,,,
Q9228,Burmese,,4120159-0,sh85018133,,300388042,
Q648154,Byzantine studies,,4147095-3,sh85018523,,,
Q4676302,Canadian studies,,7686561-7,,427.971|810,,
Q1735560,Catalan philology,,4249908-2,,,,
Q1367940,Catholic theology,,4030005-5,,,,
Q27997,Celtic studies,,4163569-3,,,,
Q1397589,Central China Normal University,,5011993-X,n86096372,,,
Q160,Cetacea,,4064432-7,sh85022218,599.5,300310322,
Q833961,China University of Political Science and Law,,,n88133915,,,
Q7850,Chinese,,4113214-2,sh85024301,495.1,300388113,PL1001-PL1960
Q1760972,Christian archaeology,,,sh85025009,930.1,,
Q235955,Clarice Lispector,17375,118780158,n50051357,,,PQ9697.L585
Q9035,Danish,,4113262-2,sh85035731,439.81,300388204,
Q4618975,Doctor,,4201591-1,,,,
Q7411,Dutch,899732,4122614-8,sh85040106,439.31,300388256,
Q1987969,Dutch studies,,4283850-2,,,,
Q245177,Eastern Christianity,,,sh85040605,281,,BX100-BX183.2
Q3132462,Economics,,4345428-8,n79099715,,,
Q145903,Egyptology,,4141476-7,sh85041367,893.1|932|493.1,300264391,
Q1860,English,910920,4014777-0,sh85043413,420,300388277,PE
Q27968,English studies,912245,4002046-0,sh85043929,420|820,,PE
Q186579,English-language literature,,,sh85043777,820,,PE
Q208202,European Union law,,4153206-5,sh2009129017,341.2422,,
Q150,French,934333,4113615-9,sh85051829,440|6--41,300388306,
Q11333703,French language studies,,7503327-6,,,,
Q6689,French literature,934688,7507697-4,sh85051865,840,,
Q188,German,,4113292-0,sh85054365,430|6--31,300388344,
Q76996465,German philology,,,sh85054411,,,
Q1203683,German philosophy,,,,193,,
Q166153,German studies,,4020383-9,,830|430,,
Q181287,German-language literature,,7503128-0,sh85054380,830|831,,PT1-4897
Q15805624,German-language poetry,941930,,sh85054413,831,,
Q2620112,Germanic philology,,,sh85054442,,,
Q272021,Gestalt psychology,,4020725-0,sh85054723,150.1982,,
Q9129,Greek,,,sh85057151,,300389734,
Q16267481,Greek studies,,4315324-0,sh85057184,880|480,,
Q26473,Gregorian chant,1726631,4021952-5,sh85022551,782.3222,300265207,
Q9288,Hebrew,954191,4023922-6,sh85059867,492.4,300388401,
Q489119,Hellenic studies,,7620854-0,,,,
Q1622065,Higher Education Teaching,,4025226-7,,,,
Q1413128,Indo-European studies,,4161557-8,sh85065705,,,
Q55610541,Islamic education,979927,4317554-5,sh85068397,297.77,,LC901-LC915
Q193104,Islamic philosophy,,,sh85100934,181.07,,
Q515601,Italian studies,,4162604-7,,850|450,,
Q875592,Japanese studies,,4162713-1,,306.0952|495.6|895.6|952,,
Q397,Latin,,4114364-4,sh85074944,470,300388693,
Q1806979,Latin studies,,4166851-0,,,,
Q1491611,Lehramtsstudium,,4131946-1,,,,
Q10978135,Lithuanian studies,,4656569-3,,,,
Q36109,Maithili,,4104524-5,,,300388776,
Q2091008,Master of Arts,,,sh85081990,,,
Q191701,Master of Business Administration,,,sh85081991,,,
Q1924928,Metallplastik,,4191461-2,,,,
Q36510,Modern Greek,,,sh85057166,489.3,300388361,
Q1944500,Mongolian studies,,4170448-4,,,,
Q1956258,Mvet,,,,,300042085,
Q5185,Nematoda,,4128872-5,sh85090702,592.57,300310241,
Q18813,New Testament,,4041771-2,n79023150,225,,
Q623313,Ottoman studies,,4745131-2,,494.35|894.35,,
Q6147859,PLA National Defence University,,,n87928460,,,
Q36727,Pali,1051644,4044406-5,sh85097195,491.37,300404714,
