qid,label,in_discipline_taxonomy,in_majors,fast_id,gnd_id,lcsh_id,ddc,aat_id,lcc
Q85627703,Abogacía,no,yes,,,,,,
Q65007471,Academic English Studies and Linguistics,no,yes,,,,,,
Q48785257,Actualistic Taphonomy,no,yes,,,,,,
Q304157,Administration,no,yes,,,,,,
Q1085159,Advanced Materials,no,yes,,,,,,
Q112898786,"Aesthetics, philosophy and history of art",no,yes,,,,,,
Q383968,African American studies,no,yes,,,sh85001992,,,
Q60282974,African Linguistics,no,yes,,,,,,
Q386302,African art,no,yes,,,sh85007528,709.6,,
Q114473057,African diaspora studies,no,yes,,,,,,
Q386319,African literature,no,yes,,,sh85001733,896,,
Q38157,African studies,no,yes,,4122766-9,,,300389815,
Q96698365,Agrarian Economy,no,yes,,,,,,
Q89810840,Agricultural Mechanization,no,yes,,,,,,
Q25340364,American literature,no,yes,,,sh85004336,,,
Q470125,American studies,no,yes,,4142196-6,,427.973|810,,
Q35497,Ancient Greek,no,yes,,4113791-7,,480,300387828|300387827,
Q538734,Angewandte Literaturwissenschaft,no,yes,,,,,,
Q55586011,Applied Inter-American Studies,no,yes,,,,,,
Q30082957,Arabian philology,no,yes,,,,,,
Q13955,Arabic,no,yes,812287,4241223-7,sh85006306,492.7,300387843,AI19.A6
Q1866303,Arabic grammar,no,yes,,,sh86000279,,,
Q109607817,Arabic literature,no,yes,,,,,,
Q194380,Arabic literature,no,yes,,7507689-5,sh85006314,892.7,,
Q1292502,Arabic poetry,no,yes,812533,,sh85006333,892.71,,PJ7541-PJ7561|PJ7631-PJ7661
Q513850,Armenian studies,no,yes,,,,,,
Q401095,Art,no,yes,,,,,,
Q12778063,Art studies,no,yes,,,,,,
Q21002563,Arte de la lectura,no,yes,,,,,,
Q111771237,Artes de la representación,no,yes,,,,,,
Q50806949,Arts,no,yes,,,,,,
Q4801532,Arts in education,no,yes,,,,,,
Q4806809,Asian studies,no,yes,,,,,,
Q29401,Assamese,no,yes,,4253033-7,sh85008742,491.451,300387879|300387878,
Q156859,Assyriology,no,yes,,4143231-9,sh85008834,892.1|492.1,,
Q24174906,Bachelor in Business Administration (Sweden),no,yes,,,,,,
Q4838773,Bachelor of Accountancy,no,yes,,,,,,
Q1765120,Bachelor of Arts,no,yes,,,sh85010772,,,
Q66363784,Bachelor of Banking,no,yes,,,,,,
Q13422969,Bachelor of Business Science,no,yes,,,,,,
Q4838786,Bachelor of Commerce,no,yes,,,,,,
Q10752757,Bachelor of Economics,no,yes,,,,,,
Q798132,Bachelor of Engineering,no,yes,,,,,,
Q798137,Bachelor of Laws,no,yes,,,,,,
Q24901047,Bachelor of Letters,no,yes,,,,,,
Q13948235,"Bachelor of Medicine, Bachelor of Surgery",no,yes,,,,,,
Q65095384,Bachelor of Radiology,no,yes,,,,,,
Q4838833,Bachelor of Science in Public Health,no,yes,,,,,,
Q2878189,Bachelor of Social Science,no,yes,,,,,,
Q913603,Bachelor of Social Work,no,yes,,,,,,
Q97114258,Bachelor's degree in marketing,no,yes,,,,,,
Q50497445,"Bahasa dan Seni: Jurnal Bahasa, Sastra, Seni, dan Pengajarannya",no,yes,,,,,,
Q1144248,Bangla literature,no,yes,,,,,,
Q20758376,Banking,no,yes,,,,,,
Q137806577,Banking and Finance,no,yes,,,,,,
Q15761740,Banking and Finance Law Review,no,yes,,,,,,
Q47489173,Bible as literature,no,yes,,,,,,
Q11327486,Bilingual,no,yes,,,,,,
Q46202,Bose–Einstein condensate,no,yes,,4402897-0,sh92005509,530.474,,
Q849186,Brazilian literature,no,yes,,,,,,
Q764912,British literature,no,yes,,7503210-7,,,,
Q4971458,British studies,no,yes,,,,,,
Q748,Buddhism,no,yes,840028,4008690-2,sh85017454,294.3,300073738,BQ1-BQ9800
Q550068,Buddhist ethics,no,yes,,,,,,
Q1000976,Buddhist studies,no,yes,,4755247-5,,,,
Q4986526,Building and Construction Improvement Program,no,yes,,,,,,
Q9228,Burmese,no,yes,,4120159-0,sh85018133,,300388042,
Q5919595,Business and management research,no,yes,,,,,,
Q648154,Byzantine studies,no,yes,,4147095-3,sh85018523,,,
Q4676302,Canadian studies,no,yes,,7686561-7,,427.971|810,,
Q1772367,Candidate of Medicine,no,yes,,,,,,
Q30921225,Cao cấp lí luận chính trị,no,yes,,,,,,
Q2690276,Cartographic Semiology,no,yes,,,,,,
Q124623978,Cartography & GIS,no,yes,,,,,,
Q1735560,Catalan philology,no,yes,,4249908-2,,,,
Q1367940,Catholic theology,no,yes,,4030005-5,,,,
Q1051896,Cavity ring-down spectroscopy,no,yes,,,,,,
Q27997,Celtic studies,no,yes,,4163569-3,,,,
Q5060376,Central Asian studies,no,yes,,,,,,
Q1397589,Central China Normal University,no,yes,,5011993-X,n86096372,,,
Q160,Cetacea,no,yes,,4064432-7,sh85022218,599.5,300310322,
Q833961,China University of Political Science and Law,no,yes,,,n88133915,,,
Q7850,Chinese,no,yes,,4113214-2,sh85024301,495.1,300388113,PL1001-PL1960
Q109673446,Chinese literature,no,yes,,,,,,
Q1760972,Christian archaeology,no,yes,,,sh85025009,930.1,,
Q108302489,Ciencias del Desarrollo,no,yes,,,,,,
Q127506551,Ciències de l'Activitat Física i l'Esport,no,yes,,,,,,
Q235955,Clarice Lispector,no,yes,17375,118780158,n50051357,,,PQ9697.L585
