qid,label,description
Q18608359,Wikidata property to indicate a source,property to indicate sources
Q18608756,Wikidata property for birth or death,Wikidata property about birth or death
Q18608871,Wikidata property for items about people,Wikidata property for items about specific persons
Q18608993,Wikidata property for items about organizations,Wikidata property used on an item about an organization
Q18609040,Wikidata property related to taxa,type of Wikidata property
Q18610173,Wikidata property to link to Commons,"property to link to Commons media files or other pages. To describe media items, use Q28464773"
Q18614948,Wikidata property for authority control,Wikidata property for disambiguating subjects
Q18615777,Wikidata property to indicate a location,Wikidata property
Q18616084,Wikidata property to indicate a language,property expecting a language item as a value
Q18616576,Wikidata property,"part of statements according to the Wikidata data model, appearing as the 2nd item in the statement triple"
Q18618628,Wikidata property for authority control for cultural heritage,type of Wikidata property
Q18618644,Wikidata property related to creative works,Wikidata property for items about (creative) works and objects (including buildings)
Q18635217,Wikidata property for specifying the location of an event,"St. José Maria Diaz still has family living in WHITTIER Ca,"
Q18636219,Wikidata property with datatype 'time',Wikidata property type
Q18636233,Wikidata property for a person-related event,type of Wikidata property
Q18644427,obsolete Wikidata property,Wikidata property decided by the community to be deleted
Q18647515,transitive Wikidata property,to be used to declare properties to be transitive; OWL language construct
Q18647519,asymmetric Wikidata property,To be used to declare properties to be asymmetric. OWL language construct.
Q18667213,Wikidata property about Wikimedia categories,type of Wikidata property
Q18668171,orderable Wikidata property,properties of this type should be used as a statement ordering key
Q19595382,Wikidata property for authority control for people,Wikidata property
Q19643892,Wikidata property to indicate a name,type of Wikidata property
Q19820110,Wikidata property for documentation of properties,property used to document other Wikidata properties
Q19829908,Wikidata property for authority control for places,Wikidata property for disambiguating places
Q19829914,Wikidata property related to places,Wikidata property for describing places
Q19833377,Wikidata property for authority control for works,type of Wikidata property for authority control
Q19833835,Wikidata property to identify substances,type of Wikidata property
Q19847637,Wikidata property for an identifier,Wikidata property to identify something in an external source
Q19858569,Wikidata property related to mushrooms and mycology,type of Wikidata property
Q19887775,Wikidata property related to medicine,Wikidata property
Q20085670,Wikidata property for romanization system,property of Wikidata
Q20824104,Wikidata property for items about languages,type of Wikidata property
Q21077852,Wikidata property for physical quantities,"Wikidata property to indicate a physical quantity, usually in a well-defined unit of measurement"
Q21099935,Wikidata property with datatype string that is not an external identifier,properties with string-datatype that shouldn't be converted to the external identifier datatype
Q21126229,Wikidata property related to software,attributes of particular pieces of software
Q21264328,Wikidata property for a multi-source identifier,property for external ID (a) with single/several issuers; (b) within/without single scheme; (c) available at single/separate places. Unique or not. May combine several. Not IDs with single issuer within single scheme available at single place.
Q21294996,Wikidata property related to chemistry,Wikidata property
Q21451142,Wikidata property for items about astronomical objects,Wikidata property
Q21451178,Wikidata property related to economics,Wikidata property
Q21504947,Wikidata property to indicate a constraint,property to indicate constraints
Q21745557,Wikidata property to identify organizations,Wikidata property for disambiguating organizations
Q21818626,Wikidata property related to sport,Wikidata property
Q22582645,Wikidata property for properties,"property that characterizes its subject, another property"
Q22661913,Wikidata property for items about people with datatype 'time',Wikidata property type
Q22963600,Wikidata property related to engineering,type of Wikidata property
Q22964093,Wikidata property for perceptual properties,type of Wikidata property
Q22964126,Wikidata property for participating organizations,type of Wikidata property
Q22964274,Wikidata property for identification in the film industry,Wikidata property
Q22964288,Wikidata property for items about military,type of Wikidata property
Q22964357,Wikidata property for items about airlines,type of Wikidata property
Q22964372,Wikidata property related to sport organizations,Wikidata property
Q22964476,Wikidata property for items about corporations,type of Wikidata property
