qid,label,list,backlinks
Q124377625,'3D web cartography',academic_only,0
Q136439567,'A-Level Law',academic_only,1
Q136909490,'AI Deployment Architecture (AIDA)',academic_only,0
Q136439579,'AS Level Law',academic_only,1
Q113192749,'Aboriginal and Torres Strait Islander culture, language and history',academic_only,3
Q113211377,'Aboriginal and Torres Strait Islander education',academic_only,0
Q109984809,'Aboriginal and Torres Strait Islander environmental conservation',academic_only,0
Q113212087,'Aboriginal and Torres Strait Islander environmental knowledges and management',academic_only,0
Q109984820,'Aboriginal and Torres Strait Islander land and water management',academic_only,0
Q113192756,'Aboriginal and Torres Strait Islander men’s health and wellbeing',academic_only,0
Q113212205,'Aboriginal and Torres Strait Islander peoples, society and community',academic_only,0
Q116921934,'Aboriginal and Torres Strait Islander research methods',academic_only,0
Q113212245,'Aboriginal and Torres Strait Islander sciences',academic_only,0
Q109984814,'Aboriginal and Torres Strait Islander studies',academic_only,2
Q65007471,'Academic English Studies and Linguistics',academic_only,0
Q15995649,'Accounting research',academic_only,0
Q4680725,'Adaptive coding',academic_only,0
Q4686227,'Advanced Management Program',academic_only,0
Q123172092,'Aerogeophysics',academic_only,0
Q112898786,'Aesthetics, philosophy and history of art',academic_only,0
Q383968,'African American studies',academic_only,0
Q109018541,'African civilization',academic_only,0
Q37542,'African studies',academic_only,1
Q38157,'African studies',academic_only,9
Q119021657,'Africanistics',academic_only,0
Q137194923,'Afroasiatic studies',academic_only,1
Q120187797,'Aglipayan ecclesiology',academic_only,0
Q110231638,'Agricultural biotechnology diagnostics (incl. biosensors)',academic_only,0
Q110252149,'Agricultural marine biotechnology',academic_only,0
Q110295506,'Agricultural molecular engineering of nucleic acids and proteins',academic_only,0
Q110252314,'Agricultural production systems simulation',academic_only,0
Q110252322,'Agricultural spatial analysis and modelling',academic_only,0
Q110252240,'Agriculture, land and farm management',academic_only,0
Q120407434,'Ainu literature',academic_only,2
Q135984617,'Aisentica',academic_only,0
Q25482005,'Al-Farabi studies',academic_only,0
