qid,label,description,instance_of,instance_of_label,part_of,part_of_label,subclass_of,subclass_of_label
Q124377625,3D web cartography,study of making 3D maps in the web,Q11862829,,,,Q124377615,
Q136439567,A-Level Law,"Subject offered in the General Certificate of Education Advanced Level (GCE A-Level) examinations, focusing on legal principles and English law",Q11862829,,Q379609,,,
Q136909490,AI Deployment Architecture (AIDA),"A discipline describing structured methodologies, system preparation models, and clarity frameworks for responsible and effective AI deployment in human systems",Q105948247,,,,Q13600188,
Q136439579,AS Level Law,"Subject offered in the General Certificate of Education Advanced Subsidiary Level (GCE AS Level) examinations, focusing on legal principles and English law",Q11862829,,Q379609,,,
Q113192749,"Aboriginal and Torres Strait Islander culture, language and history",field of research,Q11862829,,,,Q113211688,
Q113211377,Aboriginal and Torres Strait Islander education,field of research,Q11862829,,,,Q113211688,
Q109984809,Aboriginal and Torres Strait Islander environmental conservation,,Q11862829,,,,Q109984814,
Q113212087,Aboriginal and Torres Strait Islander environmental knowledges and management,field of research,Q11862829,,,,Q113211688,
Q109984820,Aboriginal and Torres Strait Islander land and water management,academic discipline,Q11862829,,,,Q109984814,
Q113192756,Aboriginal and Torres Strait Islander men’s health and wellbeing,field of research,Q11862829,,,,Q16150995,
Q113212205,"Aboriginal and Torres Strait Islander peoples, society and community",field of research,Q11862829,,,,Q113211688,
Q116921934,Aboriginal and Torres Strait Islander research methods,field of research,Q11862829,,,,,
Q113212245,Aboriginal and Torres Strait Islander sciences,field of research,Q11862829,,,,Q113211688,
Q109984814,Aboriginal and Torres Strait Islander studies,academic field,Q11862829,,,,Q108352346,
Q65007471,Academic English Studies and Linguistics,academic major,Q11862829,,,,,
Q15995649,Accounting research,,Q11862829,,,,,
Q4680725,Adaptive coding,,Q11862829,,,,Q1345239,
Q4686227,Advanced Management Program,an intensive non-degree senior executive education program,Q11862829,,,,,
Q123172092,Aerogeophysics,,Q11862829,,Q46255,,,
Q112898786,"Aesthetics, philosophy and history of art",,Q11862829,,,,,
Q383968,African American studies,academic field focusing on peoples of the African diaspora and Africa,Q11862829,,,,Q1143546,
Q109018541,African civilization,idea of a civilization common to the peoples and countries of Africa,Q11862829,,,,Q8432,
Q37542,African studies,field of academic study of the African diaspora,Q11862829,,,,,
Q38157,African studies,"field of academic study of Africa, especially the continent's cultures and societies",Q11862829,,,,Q928786,
Q119021657,Africanistics,"academic discipline concerned with the study of African languages, their role in culture and society, and their literatures",Q11862829,,,,Q40634,
Q137194923,Afroasiatic studies,,Q11862829,,,,Q4806809,
Q120187797,Aglipayan ecclesiology,Theological study of the Philippine Independent Church,Q11862829,,Q223693,,Q223693,
Q110231638,Agricultural biotechnology diagnostics (incl. biosensors),field of research,Q11862829,,,,,
Q110252149,Agricultural marine biotechnology,field of research,Q11862829,,,,Q882463,
Q110295506,Agricultural molecular engineering of nucleic acids and proteins,field of research,Q11862829,,,,Q19595794,
Q110252314,Agricultural production systems simulation,field of research,Q11862829,,,,,
Q110252322,Agricultural spatial analysis and modelling,field of research,Q11862829,,,,Q1938983,
Q110252240,"Agriculture, land and farm management",field of research,Q11862829,,,,Q110231626,
Q120407434,Ainu literature,,Q109551565,,Q15945785,,Q15945785,
Q135984617,Aisentica,"Philosophical discipline that describes forms of knowledge and meaning arising in systems without a subject, through the concepts of structural knowledge, latent semantics, and pseudo-intention.",Q11862829,,Q135984206,,Q22811234,
Q25482005,Al-Farabi studies,,Q11862829,,,,,
Q115669282,Algerian studies,Broader: African studies,Q11862829,,,,,
Q4724367,Algorithmic mechanism design,the design of economic systems from an algorithmic point of view,Q11862829,,,,Q26090,
Q106595016,American Indian law,"legal field relating to Native Americans, Alaska Natives and other peoples indigenous to North America",Q11862829,,,,Q4932206,
Q98822785,American ethnic studies,academic discipline,Q11862829,,,,Q41870,
Q233762,American literature,literature written by Americans or related to the United States,Q109551565,,Q113128838,,Q116476,
Q104203314,American literature and culture,study of American literature and its historical and cultural contexts,Q11862829,,,,,
Q16147165,American political science,,Q11862829,,,,,
Q470125,American studies,"interdisciplinary academic field focused on American history, society and culture",Q11862829,,,,Q928786,
Q110164233,Americanism,study of the Americas,Q11862829,,,,,
Q3615122,Anatolian studies,,Q11862829,,,,Q4752891,
Q112800417,Ancient Cultures,,Q11862829,,Q33122512,,,
Q20072760,Ancient culture,,Q11862829,,Q11042,,Q486761,
Q115669295,Angolan studies,Broader: African studies,Q11862829,,,,,
Q112939936,Animal cell and molecular biology,field of research,Q11862829,,,,Q7202,
Q111327232,Animal neurobiology,field of research,Q11862829,,Q2728012,,,
Q110295623,Animal protection (incl. pests and pathogens),"field of research, subclass of animal production",Q11862829,,,,Q80962,
Q125804035,Antisemitism studies,academic discipline,Q11862829,,,,,
Q55586011,Applied Inter-American Studies,,Q11862829,,,,,
Q30082957,Arabian philology,,Q11862829,,,,Q40634,
Q85873793,Arabic Language Studies,academic discipline,Q11862829,,,,Q8162,
Q194380,Arabic literature,written literature in Arabic language,Q109551565,,,,Q8242,
Q3621186,Arabic studies,study of the Arabs and Arab world,Q1047113,,Q2142577,,Q476294,
Q625699,Aramaic  studies,study of the Aramaic language and Syriac Christianity,Q11862829,,,,Q2142577,
