qid,label,description,instance_of,instance_of_label,part_of,part_of_label,subclass_of,subclass_of_label
Q106595016,American Indian law,"legal field relating to Native Americans, Alaska Natives and other peoples indigenous to North America",Q11862829,academic discipline,,,Q4932206,jurisprudence
Q4806809,Asian studies,"study of Asia and Asian history, cultures, languages, etc.",Q11862829,academic discipline,,,Q928786,area studies
Q47011897,Black Loch Crannog,"crannog in Dumfries and Galloway, Scotland, UK",Q11862829,academic discipline,,,,
Q4090659,Bulgarian studies,academic discipline,Q11862829,academic discipline,,,Q464974,Balkan studies
Q5060376,Central Asian studies,academic discipline,Q11862829,academic discipline,,,Q4806809,Asian studies
Q120969801,Claims,area of research,Q11862829,academic discipline,,,,
Q5145857,Collaborative software development model,area of research,Q11862829,academic discipline,,,Q2904257,software development process
Q120969791,Computational folkloristics,area of research,Q11862829,academic discipline,,,,
Q131289096,Computer technology,Academic major,Q11862829,academic discipline,,,Q85753733,computing education
Q120910082,Cultural heritage access,area of research,Q11862829,academic discipline,,,,
Q59068,Czech studies,field of humanities,Q11862829,academic discipline,Q16872093,West Slavic Studies,Q16872093,West Slavic Studies
Q120910095,DEO,area of research,Q11862829,academic discipline,,,,
Q120969808,DL reasoners,area of research,Q11862829,academic discipline,,,,
Q840067,Defeasible reasoning,"Reasoning that is rationally compelling, though not deductively valid",Q11862829,academic discipline,,,,
Q120910091,Description logic programs,area of research,Q11862829,academic discipline,,,,
Q120910080,Discourse relations,area of research,Q11862829,academic discipline,,,,
Q120969788,Document similarity,area of research,Q11862829,academic discipline,,,,
Q8008,Earth science,fields of science dealing with planet Earth and its nearby planets in space,Q11862829,academic discipline,,,Q107287417,earth and planetary science
Q162817,East Asian studies,field of scholarly enquiry and education about East Asia,Q11862829,academic discipline,,,Q4806809,Asian studies
Q120969781,Factoid question answering,area of research,Q11862829,academic discipline,,,,
Q120969816,Financial Transparency System,area of research,Q11862829,academic discipline,,,,
Q1453477,Freebase,online knowledge base (2007–2016),Q33002955,knowledge graph,,,,
Q105233699,French horn performance,performance of music on the French horn,Q11862829,academic discipline,,,Q6942562,musical performance
Q120969786,Full-Network embedding,area of research,Q11862829,academic discipline,,,,
Q120910086,Geospatial semantics,area of research,Q11862829,academic discipline,,,,
Q5593683,Grammatical Framework,programming language,Q11862829,academic discipline,,,,
Q12310624,Greenlandic and Arctic Studies,area studies,Q11862829,academic discipline,Q4532729,Eskimology,,
Q29980364,Hebrew Bible studies,scholarly field focused on the Tanakh,Q11862829,academic discipline,,,Q794605,biblical studies
Q1661989,Industry 4.0,4th Industrial revolution or current trend of automation and data exchange in manufacturing technologies 4.0,Q11514315,historical period,,,,
Q135050458,Intersectionality Studies,social sciences study and research subject,Q11862829,academic discipline,,,,
Q1367176,Iranian studies,"an interdisciplinary field dealing with the study of the history, literature, art and culture of Iranian peoples, a part of the of Oriental studies",Q11862829,academic discipline,Q12211529,Middle Eastern studies,Q12211529,Middle Eastern studies
Q843909,Islamic studies,study of Islam,Q11862829,academic discipline,,,Q476294,oriental studies
Q3155376,Islamology,academic discipline; the study of Islam,Q11862829,academic discipline,,,,
Q3745495,Italian philology,Science of Italian language and literature,Q11862829,academic discipline,,,Q40634,philology
Q120969700,Knowledge base generation,area of research,Q11862829,academic discipline,,,,
Q120969776,Knowledge patterns,area of research,Q11862829,academic discipline,,,,
Q120910097,Legal Semantic Web,area of research,Q11862829,academic discipline,,,,
Q120969826,Legal knowledge modeling,area of research,Q11862829,academic discipline,,,,
