type_qid,type_label,sample_size,total_properties,mandatory_count,common_count,optional_count,top_mandatory,top_common
Q55983715,Q55983715,2,182,59,123,0,"P527;P1552;P1424;P1245;P910","P361;P1963;P3222;P949;P2283"
Q5,human,4,681,117,259,305,"P31;P21;P106;P800;P569","P570;P1196;P509;P20;P119"
Q1901835,Q1901835,1,289,289,0,0,"P610;P1151;P31;P150;P194",""
Q200250,Q200250,4,460,146,149,165,"P610;P1151;P31;P190;P47","P150;P194;P1036;P213;P163"
Q1307779,Q1307779,1,289,289,0,0,"P610;P1151;P31;P150;P194",""
Q15974307,Q15974307,1,289,289,0,0,"P610;P1151;P31;P150;P194",""
Q42744322,Q42744322,1,289,289,0,0,"P610;P1151;P31;P150;P194",""
Q133442,Q133442,1,289,289,0,0,"P610;P1151;P31;P150;P194",""
Q114401982,Q114401982,1,289,289,0,0,"P610;P1151;P31;P150;P194",""
Q51929311,Q51929311,4,460,146,149,165,"P610;P1151;P31;P190;P47","P150;P194;P1036;P213;P163"
Q1549591,Q1549591,4,453,139,151,163,"P610;P1151;P31;P194;P190","P150;P1036;P94;P395;P361"
Q1221156,Q1221156,1,289,289,0,0,"P610;P1151;P31;P150;P194",""
Q257391,Q257391,1,289,289,0,0,"P610;P1151;P31;P150;P194",""
Q707813,Q707813,1,289,289,0,0,"P610;P1151;P31;P150;P194",""
Q67123843,Q67123843,2,289,289,0,0,"P610;P1151;P31;P150;P194",""
Q1066984,Q1066984,1,237,237,0,0,"P31;P1036;P242;P402;P373",""
Q515,Q515,2,336,167,169,0,"P31;P242;P402;P373;P625","P1036;P1621;P2041;P443;P3106"
Q208511,Q208511,3,415,154,97,164,"P31;P242;P402;P373;P625","P1036;P2041;P2468;P1281;P443"
Q174844,Q174844,3,415,154,97,164,"P31;P242;P402;P373;P625","P1036;P2041;P2468;P1281;P443"
Q108178728,Q108178728,2,360,194,166,0,"P31;P1036;P242;P402;P373","P1621;P2468;P1281;P3616;P1581"
Q1093829,Q1093829,2,302,181,121,0,"P1151;P910;P17;P41;P131","P1036;P112;P361;P2002;P4672"
Q62049,Q62049,1,217,217,0,0,"P1036;P1151;P910;P17;P41",""
Unknown,Unknown,2,122,12,110,0,"P279;P910;P373;P646;P1709","P1151;P508;P227;P349;P1036"
Q33742,Q33742,1,166,166,0,0,"P2924;P1394;P1014;P1051;P1151",""
Q1288568,Q1288568,1,166,166,0,0,"P2924;P1394;P1014;P1051;P1151",""
Q34770,Q34770,1,166,166,0,0,"P2924;P1394;P1014;P1051;P1151",""
Q152559,Q152559,1,166,166,0,0,"P2924;P1394;P1014;P1051;P1151",""
Q399495,Q399495,1,166,166,0,0,"P2924;P1394;P1014;P1051;P1151",""
Q1097949,Q1097949,1,166,166,0,0,"P2924;P1394;P1014;P1051;P1151",""
Q20162172,Q20162172,1,166,166,0,0,"P2924;P1394;P1014;P1051;P1151",""
Q638153,Q638153,1,134,134,0,0,"P166;P1401;P31;P154;P275",""
Q36509592,Q36509592,1,134,134,0,0,"P166;P1401;P31;P154;P275",""
Q15633582,Q15633582,1,134,134,0,0,"P166;P1401;P31;P154;P275",""
Q593744,Q593744,1,134,134,0,0,"P166;P1401;P31;P154;P275",""
Q7094076,Q7094076,1,134,134,0,0,"P166;P1401;P31;P154;P275",""
