type_qid,type_label,sample_size,total_properties,mandatory_count,common_count,optional_count,top_mandatory,top_common
Q7275,Q7275,39,483,1,1,481,"P31","P17"
Q178561,Q178561,100,142,4,6,132,"P31;P276;P646;P361","P625;P18;P17;P585;P373"
Q5,Q5,100,1580,22,91,1467,"P19;P21;P214;P373;P27","P1006;P691;P1207;P1559;P8189"
Q48349,Q48349,3,377,1,375,1,"P31","P214;P2959;P30;P271;P5125"
Q3924474,Q3924474,2,77,55,22,0,"P31;P17;P36;P47;P131","P6;P1830;P2936;P166;P9757"
Q43229,Q43229,80,746,4,10,732,"P31;P646;P17;P571","P214;P856;P159;P373;P244"
Q786820,Q786820,8,214,17,34,163,"P373;P159;P17;P856;P571","P112;P2013;P2003;P2002;P1320"
Q10429667,Q10429667,2,80,31,49,0,"P373;P646;P159;P17;P112","P740;P3836;P4264;P3608;P268"
Q82794,Q82794,82,678,4,19,655,"P31;P646;P625;P910","P373;P17;P214;P948;P18"
Q12731,Q12731,50,28,16,2,10,"P131;P31;P625;P17;P2671","P1766;P138"
Q8502,Q8502,50,191,11,6,174,"P31;P131;P17;P373;P625","P2660;P3109;P2659;P3513;P214"
Q3502482,Q3502482,15,259,13,52,194,"P910;P646;P31;P625;P373","P948;P361;P242;P9957;P12800"
Q192287,Q192287,1,90,90,0,0,"P1456;P41;P94;P31;P17",""
Q515,Q515,100,815,40,50,725,"P31;P17;P373;P625;P910","P2924;P8313;P10832;P2163;P935"
Q930933,Q930933,3,4,2,1,1,"P31;P2671","P1535"
Q151885,Q151885,51,181,1,2,178,"P31","P2671;P1269"
Q188055,Q188055,8,28,7,4,17,"P31;P625;P276;P17;P361","P646;P18;P373;P1889"
Q5107,Q5107,4,340,37,171,132,"P2924;P1082;P910;P242;P227","P1225;P1667;P1151;P1740;P1566"
Q2221906,Q2221906,2,310,121,189,0,"P2924;P1225;P1082;P1667;P1151","P5125;P349;P268;P1617;P3309"
Q4830453,Q4830453,57,643,6,28,609,"P31;P571;P159;P856;P17","P1454;P373;P452;P2088;P214"
Q97669839,Q97669839,1,15,15,0,0,"P31;P1454;P17;P571;P159",""
Q4022,Q4022,50,223,14,22,187,"P31;P373;P403;P17;P18","P1200;P1343;P227;P4614;P910"
Q4182287,Q4182287,1,80,80,0,0,"P31;P910;P856;P414;P646",""
Q6881511,Q6881511,23,425,14,35,376,"P31;P856;P646;P571;P1454","P1128;P18;P2139;P414;P3347"
Q891723,Q891723,32,583,19,40,524,"P31;P856;P414;P646;P17","P946;P18;P213;P2295;P1056"
Q6576792,Q6576792,1,80,80,0,0,"P31;P910;P856;P414;P646",""
Q131734,Q131734,1,24,24,0,0,"P373;P646;P17;P31;P18",""
Q6256,Q6256,102,888,186,107,595,"P1082;P1667;P1151;P5125;P349","P3219;P208;P18;P8406;P3106"
Q3624078,Q3624078,98,874,186,105,583,"P2924;P1082;P1667;P1151;P5125","P3219;P122;P208;P6849;P1451"
Q123480,Q123480,21,589,207,67,315,"P2924;P1082;P1667;P1151;P1333","P3238;P13835;P13317;P13389;P18"
Q208500,Q208500,3,341,196,49,96,"P2924;P3068;P1082;P1667;P1151","P832;P4212;P3238;P4841;P3000"
Q7543083,Q7543083,3,19,17,1,1,"P131;P31;P630;P18;P625","P571"
Q133442,Q133442,3,418,169,88,161,"P38;P41;P1036;P268;P85","P138;P1943;P1621;P898;P281"
Q171441,Q171441,3,357,85,119,153,"P41;P268;P30;P47;P31","P38;P1036;P85;P78;P138"
Q570116,Q570116,3,289,6,51,232,"P31;P373;P625;P646;P17","P268;P214;P269;P910;P948"
Q51576574,Q51576574,18,675,198,105,372,"P38;P41;P268;P85;P30","P1365;P5905;P5247;P1438;P3553"
Q98116669,Q98116669,1,255,255,0,0,"P38;P41;P1036;P268;P85",""
Q19691007,Q19691007,1,255,255,0,0,"P38;P41;P1036;P268;P85",""
Q702492,Q702492,2,302,108,194,0,"P41;P1036;P268;P47;P31","P38;P85;P30;P78;P138"
Q1200957,Q1200957,8,471,67,81,323,"P30;P31;P402;P373;P214","P463;P1151;P1791;P2002;P1313"
Q10551526,Q10551526,2,389,207,182,0,"P38;P41;P1036;P268;P85","P501;P757;P906;P1435;P1621"
Q7396640,Q7396640,1,255,255,0,0,"P38;P41;P1036;P268;P85",""
Q127693126,Q127693126,11,550,212,92,246,"P38;P41;P268;P85;P30","P1036;P856;P1424;P5247;P7314"
