geonames_feature_code,geonames_feature_code_label,row_count,distinct_geonames_ids,distinct_pleiades_ids
PPL,populated place,928,910,896
ADM3,third-order administrative division,455,434,454
PPLA3,seat of a third-order administrative division,399,377,398
ANS,archaeological/prehistoric site,380,366,374
ADM4,fourth-order administrative division,295,294,295
PPLA2,seat of a second-order administrative division,290,280,289
PPLA,seat of a first-order administrative division,255,242,255
ISL,island,184,144,184
ADM2,second-order administrative division,145,143,144
RUIN,ruin(s),119,114,118
ADM1H,historical first-order administrative division,70,44,69
ADM1,first-order administrative division,65,57,65
STM,stream,62,59,62
PPLQ,abandoned populated place,46,44,46
PPLX,section of populated place,44,44,40
HTL,hotel,40,39,37
RGN,region,36,28,34
HLL,hill,35,34,35
HSTS,historical site,32,31,32
PPLH,historical populated place,32,32,32
PPLC,capital of a political entity,30,29,30
MT,mountain,27,25,27
PRT,port,22,22,22
PCLI,independent political entity,21,14,21
LK,lake,20,20,20
SCH,school,20,20,6
STNM,meteorological station,16,15,16
ADMD,administrative division,14,10,14
ISLS,islands,14,13,14
MTS,mountains,14,11,12
RGNH,historical region,13,12,12
MSTY,monastery,12,12,12
CAPE,cape,11,11,11
PPLL,populated locality,11,9,11
PEN,peninsula,10,10,10
CH,church,9,8,9
GULF,gulf,9,9,8
PT,point,9,9,9
PPLA4,seat of a fourth-order administrative division,8,7,8
SEA,sea,8,8,8
ARCH,arch,7,6,7
AREA,area,7,7,7
FT,fort,7,7,7
MUS,museum,7,7,7
BAY,bay,6,5,6
CSTL,castle,6,6,6
MNMT,monument,6,6,6
STLMT,israeli settlement,6,6,6
LCTY,locality,5,5,5
PLN,plain(s),5,5,5
STRT,strait,5,4,5
AMTH,amphitheater,4,4,4
GATE,gate,4,4,4
HBR,harbor(s),4,4,4
MND,mound(s),4,4,4
PASS,pass,4,4,4
PPLW,destroyed populated place,4,4,4
PYR,pyramid,4,4,4
SPNG,spring(s),4,4,4
TMB,tomb(s),4,4,4
TMPL,temple(s),4,4,4
WAD,wadi,4,4,4
ADM3H,historical third-order administrative division,3,3,3
ADM4H,historical fourth-order administrative division,3,3,3
AIRQ,abandoned airfield,3,3,3
COVE,cove(s),3,3,3
FRST,forest(s),3,3,3
OAS,oasis(-es),3,3,3
RSTNQ,abandoned railroad station,3,2,3
WLL,well,3,3,3
ADMDH,historical administrative division,2,1,2
AIRS,seaplane landing area,2,2,2
CMPRF,refugee camp,2,2,2
FRM,farm,2,2,2
MTRO,metro station,2,2,2
OILF,oilfield,2,2,2
PK,peak,2,2,2
PND,pond,2,2,2
RSRT,resort,2,1,2
RSTP,railroad stop,2,1,2
SQR,square,2,2,2
WALLA,ancient wall,2,2,2
ADM2H,historical second-order administrative division,1,1,1
ADM5,fifth-order administrative division,1,1,1
AGRF,agricultural facility,1,1,1
BDG,bridge,1,1,1
BLDG,building(s),1,1,1
BTL,battlefield,1,1,1
CAVE,cave(s),1,1,1
CMTY,cemetery,1,1,1
CNLA,aqueduct,1,1,1
CNLN,navigation canal(s),1,1,1
DSRT,desert,1,1,1
DUNE,dune(s),1,1,1
EST,estate(s),1,1,1
GDN,garden(s),1,1,1
GRGE,gorge(s),1,1,1
HLLS,hills,1,1,1
HSE,house(s),1,1,1
INSM,military installation,1,1,1
ISTH,isthmus,1,1,1
LGN,lagoon,1,1,1
MLWND,windmill,1,1,1
MSQE,mosque,1,1,1
OBPT,observation point,1,1,1
PCLD,dependent political entity,1,1,1
PLAT,plateau,1,1,1
PPLA5,seat of a fifth-order administrative division,1,1,1
PRK,park,1,1,1
PYRS,pyramids,1,1,1
RESN,nature reserve,1,1,1
RF,reef(s),1,1,1
RK,rock,1,1,1
RPDS,rapids,1,1,1
SHOL,shoal(s),1,1,1
SHRN,shrine,1,1,1
STMI,intermittent stream,1,1,1
TOWR,tower,1,1,1
TRB,tribal area,1,1,1
VIN,vineyard,1,1,1
VLC,volcano,1,1,1
WADX,section of wadi,1,1,1
WALL,wall,1,1,1
WRCK,wreck,1,1,1
