geonames_id,qid,wikidata_label,wikidata_latitude,wikidata_longitude
10121443,Q2484819,Tripoli District,34.421944444444,35.840555555556
10128977,Q667811,"Vindonissa, Celtic oppidum / Roman legionary camp / civilian settlement",47.48092744,8.220067498
101628,Q244232,Tabuk,28.397222222222,36.578888888889
10182607,Q169460,Miletus,37.531111,27.275556
10254317,Q6808473,Damlıboğaz,37.301804,27.711256
10278882,Q838479,Pyramid of Khentkaus I,29.97329167,31.13536111
10278883,Q23977421,Valley Temple of Khafre,29.97479,31.13825
10281499,Q245151,Tower of Hercules,43.385833333333,-8.4063888888889
10282013,Q2844406,Roman amphitheatre of Catania,37.507361,15.085417
10282065,Q1058967,Greek Theatre of Syracuse,37.07611,15.275
10288756,Q92821132,Tomb of Cossinia,41.9630369,12.8038534
10290779,Q2746482,Tarragona Amphitheatre,41.11457,1.2588
10292345,Q60651324,Mausoleum of Lucius Munatius Plancus,41.2069456,13.577204
10292643,Q1617215,Roman Theatre,41.12976,14.78262
10292645,Q2142241,Arch of Trajan,41.1325,14.77916667
10300680,Q112044548,Villa of Mamurra,41.250226725,13.671324775
103184,Q12191403,Qatif,26.575152679065,49.996856667284
10344495,Q1817943,altar of Hieron,37.074405,15.27723
10346156,Q3621772,Arch of Hadrian,41.0839,14.2478
10346809,Q456939,Pyramids of Meroe,16.93833333,33.74916667
10376146,Q3983202,Temple of Concordia,37.2897,13.5922
10376460,Q55164614,Roman Theatre of Gubbio,43.353443,12.573895
10376743,Q754314,Tusculum,41.798333333333,12.710833333333
10377654,Q94896241,Roman theater of Minturnae,41.2422514,13.7688673
10378390,Q3555920,"Temple of Hera, Paestum",40.419294444444,15.005280555556
10402655,Q1333237,Helorus,36.84220278,15.10941389
104515,Q5806,Mecca,21.4225,39.826111111111
104645,Q27356,Hegra,26.814166666667,37.9475
10526317,Q2015695,Arpa River,39.4685,44.947
106185,Q32191364,Wadi el Maqna,28.4025,34.74028
10631915,Q31584521,Bolkar Dağları,37.18913,34.22244
10792346,Q12364626,"Iolkos, Magnesia",39.367777777778,22.9725
10800482,Q34953905,Dış Limanı,42.023055555556,35.116111111111
108841,Q27242,Al-Ula,26.60853,37.92316
108927,Q31875721,Al Qaţīf,26.5208,50.02452
108928,Q31875718,Al Qaţīf,26.616666666667,49.933333333333
109223,Q35484,Medina,24.47,39.61
10942140,Q648075,Amphitheatre of Italica,37.44388889,-6.04666667
10975483,Q16322977,Schinias,38.14861111,24.03666667
11049293,Q259466,Senj,44.990277777778,14.901388888889
110791,Q590866,Tehran Province,35.7117,51.407
110836,Q129072,Persepolis,29.935,52.89
11103393,Q589934,Maadi,29.9675,31.25
11103525,Q31223509,Rocca d'Entella,37.77138,13.12439
11103526,Q31223517,Monte Saraceno,37.2583,13.98419
11109179,Q2940578,delegation of Carthage,36.859722222222,10.329722222222
11126505,Q832278,Basilica of Sant'Apollinare Nuovo,44.416738,12.2046
11134873,Q100349105,Colonnacce Roman villa,41.8890946,12.3003082
11153279,Q18543165,Castle of Bominaco,42.245851,13.660298
11153680,Q649559,Peltuinum,42.286929,13.62261
11153691,Q2428630,Corfinium,42.11739,13.835249
11153713,Q3839042,Lucus Angitiae,41.970771,13.460661
111822,Q182394,Yazd,31.897222222222,54.3675
