place_id,pleiades_id,wikidata_qid,label,place_type,latitude,longitude,bbox,min_date,max_date,description,pleiades_uri,created,modified
plc_73180225,73180225,Q721817,"""Basilica"" of San Vitale","church-2, church",44.4205157,12.196211,"12.196023, 44.4204684, 12.196399, 44.420563",300,2100,"A church (but not a basilica) in Ravenna, Italy, established by Bishop Ecclesius in 526 AD and consecrated ca. 547 AD.",https://pleiades.stoa.org/places/73180225,2016-06-24T20:46:34Z,2024-12-06T15:37:20Z
plc_720628460,720628460,Q26766957,'Ein-Shadud,settlement,32.6599924,35.2383508,"35.2383508, 32.6599924, 35.2383508, 32.6599924",-3300,2100,Small settlement in the Jezreel Valley containing structures dated to the Early Bronze Age I. Salvage excavations were conducted on the site in 1979 prior to its destruction by construction.,https://pleiades.stoa.org/places/720628460,2019-10-23T17:15:21Z,2019-10-26T21:42:56Z
plc_714055238,714055238,Q1218,'Ir David/Wadi Hilweh,"settlement, settlement-modern",31.772695758,35.2355992035,"35.2343617, 31.7700041, 35.2371633, 31.7748373",-10000,2100,"The City of David is the name given in the 20th century to an archaeological site located in the Arab neighborhood of Wadi Hilweh, located south of the Temple Mount and the Ophel in East Jerusalem. The site contains pottery from as early as the Chalcolithic Age, and has been proposed as a possible original core of the city of Jerusalem. The Silwa necropolis, a burial site dated to the 9th-7th centuries BCE, is located within this area.",https://pleiades.stoa.org/places/714055238,2018-09-14T17:27:11Z,2018-09-16T16:24:40Z
plc_707466,707466,Q4769871,(A)Nogyra,settlement,34.739955,32.727743,"32.727743, 34.739955, 32.727743, 34.739955",-30,640,"An ancient place, cited: BAtlas 72 B3 (A)Nogyra",https://pleiades.stoa.org/places/707466,2009-10-20T09:29:34Z,2014-02-25T19:25:16Z
plc_1004,1004,Q13924,(H)Adriaticum/Superum Mare,water-open,44.9097431707,13.7571726675,"7.0925331, 39.7947441, 21.2292461, 46.8353293",-550,2100,A body of water separating the Apennine Peninsula of Italy from the Balkan Peninsula.,https://pleiades.stoa.org/places/1004,2023-10-04T16:03:30Z,2025-07-31T15:27:28Z
plc_668261,668261,Q131301,(H)Emesa,settlement,34.7376565,36.719319,"36.714401, 34.723414, 36.724237, 34.751899",-1200,2000,"An ancient place, cited: BAtlas 68 C4 (H)Emesa",https://pleiades.stoa.org/places/668261,2018-06-07T23:34:35Z,2025-11-28T23:55:51Z
plc_462236,462236,Q13687,(H)Enna,"settlement, settlement-modern",37.56720465,14.28015265,"14.279558, 37.5667573, 14.2807473, 37.567652",-550,2100,The origins of (H)Enna are unclear. Some sources claim it was founded by Syracuse in 664 B.C. but the archaeological record suggests it is likely a Hellenized Sikel settlement.,https://pleiades.stoa.org/places/462236,2024-03-21T16:33:04Z,2024-03-21T17:35:15Z
plc_707586,707586,Q22988503,(Nea) Paphos,"settlement, archaeological-site",34.757212,32.406593,"32.406593, 34.757212, 32.406593, 34.757212",-550,1599,"The legendary birthplace of the goddess Aphrodite, (Nea) Paphos has been a center of activity since the Final Bronze Age when Mycenaeans honored the goddess there. The site was listed on the UNESCO World Heritage List in 1980.",https://pleiades.stoa.org/places/707586,2023-08-03T22:20:32Z,2026-02-15T14:11:42Z
plc_590095,590095,Q2008641,(W)Axos,settlement,35.3080415,24.8441326,"24.8441326, 35.3080415, 24.8441326, 35.3080415",-750,1923,An ancient settlement on the island of Crete.,https://pleiades.stoa.org/places/590095,2023-08-11T20:46:42Z,2025-11-12T03:14:15Z
plc_108736,108736,Q31879237,*Altiaia,fort-2,49.7428902802,8.11740120214,"8.1171153, 49.7425578, 8.1176871, 49.7432228",-30,2100,"An ancient place, cited: BAtlas 11 I3 *Altiaia",https://pleiades.stoa.org/places/108736,2009-11-02T15:46:47Z,2025-02-08T01:41:35Z
plc_206928,206928,Q16898322,*Aquae,bath,45.7558486667,23.004822,"23.003213, 45.741049, 23.00804, 45.763249",-30,2100,*Aquae or pagus Aquensis was a bath site located along the Strei river in the territory of Ulpia Traiana Sarmizegetusa.,https://pleiades.stoa.org/places/206928,2009-10-20T13:54:40Z,2023-10-31T19:27:26Z
plc_138192,138192,Q275438,*Argentomagus,"settlement, amphitheatre, archaeological-site",46.5994751714,1.51619572491,"1.5147307, 46.5987712, 1.5177674, 46.6002228",-30,2100,*Argentomagus was a pre-Roman and later Roman settlement in the territory of the Bituriges tribe.,https://pleiades.stoa.org/places/138192,2010-06-21T12:16:06Z,2025-06-13T15:13:03Z
plc_678040,678040,Q109716699,*Athela,settlement,32.760967,36.58284,"36.58284, 32.760967, 36.58284, 32.760967",-30,640,"An ancient place, cited: BAtlas 69 E4 *Athela",https://pleiades.stoa.org/places/678040,2009-09-16T20:00:24Z,2017-07-08T20:27:00Z
plc_246201,246201,Q408608,*Atura/Vicus Iulii,settlement,43.701402,-0.263282,"-0.263282, 43.701402, -0.263282, 43.701402",-30,2100,"An ancient place, cited: BAtlas 25 E2 *Atura/Vicus Iulii",https://pleiades.stoa.org/places/246201,2010-11-09T18:55:05Z,2025-08-08T02:45:27Z
plc_413044,413044,Q1511221,*Aurinia/Saturnia,settlement,42.666255,11.504827,"11.504827, 42.666255, 11.504827, 42.666255",-750,640,*Aurinia/Saturnia was a settlement in Etruria. Dionysius of Halicarnassus claimed it was founded by the Pelasgians. Saturnia received a Roman colony in 183 BC.,https://pleiades.stoa.org/places/413044,2018-06-07T20:59:32Z,2025-12-24T11:25:06Z
plc_89128,89128,Q5046041,*Brocolitia,"fort-2, settlement, temple-2",55.0345957013,-2.22217946154,"-2.223023, 55.03386, -2.220955, 55.035701",-30,2100,Roman fort near present-day Carrawburgh.,https://pleiades.stoa.org/places/89128,2024-12-17T14:04:47Z,2025-01-11T19:43:55Z
plc_89152,89152,Q122953,*Coriosopitum/Coria,"fort-2, station, settlement",54.9781893832,-2.02929153114,"-2.0305651, 54.9773614, -2.0280712, 54.97901",-30,2100,A Roman town and fort at present-day Corbridge.,https://pleiades.stoa.org/places/89152,2009-11-02T09:54:44Z,2025-01-09T13:51:43Z
plc_79439,79439,Q29303,*Durovernum,settlement,51.279876,1.08386,"1.08386, 51.279876, 1.08386, 51.279876",-30,640,"Durovernum Cantiacorum, modern Canterbury, was the site of a pre-Roman oppidum and, then, post A.D. 43 of a Roman fort.",https://pleiades.stoa.org/places/79439,2024-12-15T05:03:36Z,2025-04-23T13:16:21Z
plc_138338,138338,Q273297,*Eborolacum,villa,46.115991,3.088132,"3.088132, 46.115991, 3.088132, 46.115991",-30,640,"An ancient place, cited: BAtlas 14 I2 *Eborolacum",https://pleiades.stoa.org/places/138338,2010-06-21T12:19:11Z,2012-10-20T23:20:39Z
plc_413134,413134,Q190623,*Firmidianum,settlement,43.685026,12.644981,"12.644981, 43.685026, 12.644981, 43.685026",-30,640,"An ancient place, cited: BAtlas 42 D1 *Firmidianum",https://pleiades.stoa.org/places/413134,2010-11-12T15:27:27Z,2017-03-11T02:37:06Z
plc_599651,599651,Q6808473,*Hydai/*Kydai,"settlement, acropolis",37.303307,27.704802,"27.704802, 37.303307, 27.704802, 37.303307",-2000,2100,"A ancient settlement in western Anatolia, ca. 8 km west of the modern town of Milas in the Muğla Province. Remains of the ancient settlement are located under and around the modern village of Damlıboğaz.",https://pleiades.stoa.org/places/599651,2017-10-27T18:33:08Z,2024-10-21T01:31:28Z
plc_638997,638997,Q127389,*Mistea/*Klaudiokaisareia,settlement,37.6791055,31.7280785,"31.726885, 37.678591, 31.729272, 37.67962",-330,640,"An ancient place, cited: BAtlas 65 G2 *Mistea/*Klaudiokaisareia",https://pleiades.stoa.org/places/638997,2011-01-10T22:59:34Z,2019-02-08T02:02:37Z
plc_599801,599801,Q216912,*Mobolla,settlement,37.224849,28.381291,"28.381291, 37.224849, 28.381291, 37.224849",-330,640,"An ancient place, cited: BAtlas 61 G3 *Mobolla",https://pleiades.stoa.org/places/599801,2009-10-15T09:08:50Z,2024-09-06T02:24:08Z
plc_109197,109197,Q170507,*Nemetodurum,villa,48.899898,2.201638,"2.201638, 48.899898, 2.201638, 48.899898",-330,640,"An ancient place, cited: BAtlas 11 C4 *Nemetodurum",https://pleiades.stoa.org/places/109197,2009-11-02T15:54:33Z,2026-01-30T04:17:28Z
plc_746800,746800,Q488773,*Qubba,"abbey, church",28.8469762,32.55089655,"32.5506905, 28.8465181, 32.5511026, 28.8474343",300,2100,A monastery constructed in the fifth century CE on the site of a cave previously inhabited by St. Paul the Anchorite.,https://pleiades.stoa.org/places/746800,2018-08-31T16:00:33Z,2024-11-24T15:08:32Z
plc_138533,138533,Q326453,*Ratiatum,"settlement, port",47.183153,-1.546397,"-1.546397, 47.183153, -1.546397, 47.183153",-30,2100,A site in the Loire estuary that served as a port.,https://pleiades.stoa.org/places/138533,2018-06-07T21:33:42Z,2018-10-13T18:37:21Z
plc_138537,138537,Q207575,*Ricomagus,"settlement, settlement-modern",45.8944174261,3.12520250379,"3.0712281, 45.8646726, 3.1841558, 45.9227866",300,2099,"An ancient place, cited: BAtlas 14 I3 *Ricomagus",https://pleiades.stoa.org/places/138537,2010-06-21T12:23:00Z,2023-02-27T09:16:15Z
plc_79684,79684,Q180209,*Silina Inss.,"archipelago, island",49.922149981,-6.34802122949,"-6.4565827, 49.8612707, -6.2351594, 49.9832032",-30,2100,*Silina Inss. (Isles of Scilly) form an archipelago off the southwestern tip of the Cornish peninsula of Great Britain.,https://pleiades.stoa.org/places/79684,2009-10-30T22:40:20Z,2025-02-12T04:40:09Z
plc_266048,266048,Q23988738,*Sosontigi,settlement,37.591059,-4.086746,"-4.086746, 37.591059, -4.086746, 37.591059",-30,2100,"An ancient place, cited: BAtlas 27 A4 *Sosontigi",https://pleiades.stoa.org/places/266048,2010-09-24T19:06:04Z,2022-11-11T18:58:25Z
plc_737080,737080,Q310117,*Thallos,settlement,28.079479,30.726807,"30.726807, 28.079479, 30.726807, 28.079479",-2168,2100,"An ancient place, cited: BAtlas 75 D4 *Thallos",https://pleiades.stoa.org/places/737080,2009-09-09T06:52:32Z,2022-12-28T16:21:54Z
plc_89311,89311,Q1812832,*Vercovicium,fort-2,55.0133105988,-2.3302702103,"-2.3318245, 55.0126749, -2.3287121, 55.0139532",-30,2100,A fort on Hadrian's Wall.,https://pleiades.stoa.org/places/89311,2009-11-02T09:57:32Z,2025-01-29T16:00:31Z
plc_177656,177656,Q567161,*Vertillum?,settlement,47.9167085,4.3491345,"4.347564, 47.914995, 4.350705, 47.918422",-330,2100,"An ancient place, cited: BAtlas 18 B2 *Vertillum?",https://pleiades.stoa.org/places/177656,2019-04-10T21:01:00Z,2025-10-14T03:43:18Z
plc_501668,501668,Q49277710,*Zorlanae,station,40.8586415,26.635306,"26.63191, 40.854952, 26.638702, 40.862331",300,1599,"An ancient place, cited: BAtlas 51 H3 *Zorlanae",https://pleiades.stoa.org/places/501668,2010-06-24T10:45:32Z,2025-12-03T22:36:33Z
