pleiades_id,pleiades_url,place_label,place_type,min_date,max_date,geonames_id,geonames_url,geonames_label,match_type,distance_km,pleiades_location_precision,pleiades_feature_types,geonames_feature_code,geonames_feature_code_label
1001889,http://pleiades.stoa.org/places/1001889,Thrake,province-2,,,734064,http://sws.geonames.org/734064/,,bbox,0.0,rough,province,RGNH,historical region
1001889,http://pleiades.stoa.org/places/1001889,Thrake,province-2,,,738770,http://sws.geonames.org/738770/,,bbox,0.0,rough,province,RGNH,historical region
1001889,http://pleiades.stoa.org/places/1001889,Thrake,province-2,,,8378533,http://sws.geonames.org/8378533/,,bbox,0.0,rough,province,ADM1H,historical first-order administrative division
1001895,http://pleiades.stoa.org/places/1001895,Thessalia,province,,,252938,http://sws.geonames.org/252938/,Thessaly,bbox,0.0,rough,province,RGN,region
1001895,http://pleiades.stoa.org/places/1001895,Thessalia,province,,,6697809,http://sws.geonames.org/6697809/,,bbox,0.0,rough,province,ADM1,first-order administrative division
1001896,http://pleiades.stoa.org/places/1001896,Hellas (Late Roman province),province-2,-550,2100,390903,http://sws.geonames.org/390903/,,bbox,0.0,rough,province,PCLI,independent political entity
1001897,http://pleiades.stoa.org/places/1001897,Krete,province-2,,,258764,http://sws.geonames.org/258764/,Crete,bbox,0.0,rough,province,RGN,region
1001897,http://pleiades.stoa.org/places/1001897,Krete,province-2,,,6697802,http://sws.geonames.org/6697802/,,bbox,0.0,rough,province,ADM1,first-order administrative division
1001897,http://pleiades.stoa.org/places/1001897,Krete,province-2,,,8200480,http://sws.geonames.org/8200480/,,bbox,0.0,rough,province,ADMD,administrative division
1001902,http://pleiades.stoa.org/places/1001902,Dardania,province,,,792295,http://sws.geonames.org/792295/,,bbox,0.0,rough,province,PPLL,populated locality
1001905,http://pleiades.stoa.org/places/1001905,Pannonia,province-2,,,8181615,http://sws.geonames.org/8181615/,,bbox,0.0,rough,province,ADM1H,historical first-order administrative division
1001906,http://pleiades.stoa.org/places/1001906,Asia,province,,,8378482,http://sws.geonames.org/8378482/,,bbox,0.0,rough,province,ADM1H,historical first-order administrative division
1001909,http://pleiades.stoa.org/places/1001909,Lydia (Byzantine province),province,,,8261120,http://sws.geonames.org/8261120/,,bbox,0.0,rough,province,ADMDH,historical administrative division
1001909,http://pleiades.stoa.org/places/1001909,Lydia (Byzantine province),province,,,8609323,http://sws.geonames.org/8609323/,,bbox,0.0,rough,province,PPL,populated place
1001909,http://pleiades.stoa.org/places/1001909,Lydia (Byzantine province),province,,,9293330,http://sws.geonames.org/9293330/,,bbox,0.0,rough,province,HTL,hotel
1001913,http://pleiades.stoa.org/places/1001913,Pamphylia,province,,,322848,http://sws.geonames.org/322848/,,bbox,0.0,rough,province,RGNH,historical region
1001914,http://pleiades.stoa.org/places/1001914,Lykia,province,,,8410801,http://sws.geonames.org/8410801/,,bbox,0.0,rough,province,ADM1H,historical first-order administrative division
1001916,http://pleiades.stoa.org/places/1001916,Karia (late Roman province),province,,,260973,http://sws.geonames.org/260973/,Kariá,bbox,0.0,rough,province,PPL,populated place
1001919,http://pleiades.stoa.org/places/1001919,Paphlagonia,province,,,8378526,http://sws.geonames.org/8378526/,,bbox,0.0,rough,province,ADM1H,historical first-order administrative division
1001930,http://pleiades.stoa.org/places/1001930,Kypros,province,,,146669,http://sws.geonames.org/146669/,Cyprus,bbox,0.0,rough,province,PCLI,independent political entity
1001930,http://pleiades.stoa.org/places/1001930,Kypros,province,,,146670,http://sws.geonames.org/146670/,Cyprus,bbox,0.0,rough,province,ISL,island
1001931,http://pleiades.stoa.org/places/1001931,Isauria,province,,,311196,http://sws.geonames.org/311196/,,bbox,0.0,rough,province,RGN,region
1001942,http://pleiades.stoa.org/places/1001942,Arabia,province,,,8378481,http://sws.geonames.org/8378481/,,bbox,0.0,rough,province,ADM1H,historical first-order administrative division
1004,http://pleiades.stoa.org/places/1004,(H)Adriaticum/Superum Mare,water-open,-550,2100,3183462,http://sws.geonames.org/3183462/,,bbox,0.0,related,water-open,SEA,sea
1027,http://pleiades.stoa.org/places/1027,Hispania,region,,,2267430,http://sws.geonames.org/2267430/,Iberian Peninsula,bbox,0.0,rough,province,PEN,peninsula
103123065,http://pleiades.stoa.org/places/103123065,Sacred Area of S. Omobono,"sanctuary, temple-2",-750,2100,8015152,http://sws.geonames.org/8015152/,,distance,0.023,precise,sanctuary,ANS,archaeological/prehistoric site
1043,http://pleiades.stoa.org/places/1043,Internum Mare,water-open,-1000,2100,363196,http://sws.geonames.org/363196/,,bbox,0.0,related,water-open,SEA,sea
1043,http://pleiades.stoa.org/places/1043,Internum Mare,water-open,-1000,2100,9169931,http://sws.geonames.org/9169931/,,bbox,0.0,related,water-open,HTL,hotel
1043,http://pleiades.stoa.org/places/1043,Internum Mare,water-open,-1000,2100,9175216,http://sws.geonames.org/9175216/,,bbox,0.0,related,water-open,HTL,hotel
1043,http://pleiades.stoa.org/places/1043,Internum Mare,water-open,-1000,2100,9293489,http://sws.geonames.org/9293489/,,bbox,0.0,related,water-open,HTL,hotel
