pleiades_id,place_label,place_type,min_date,max_date,geonames_count,match_types,geonames_feature_codes
912849,Euphrates (river),river,-18000,2000,18,bbox,ADM1|ADM2|AREA|PPLX|SCH
419508714,Tehrān,settlement,-2000,2000,10,bbox,ADM1|ADM2|PPL|PPLC|PPLX|RGN
614866,Tralleis (in Lydia),"unlocated, settlement",300,640,7,bbox,ADM1|ANS|PPL|PPLA
550771,Naulochon/Smyrna/Palaia Smyrna,"settlement, archaeological-site",-1750,2100,6,bbox|distance,ADM1|ADM2|HBR|PPLA|PPLA2|PRT
1043,Internum Mare,water-open,-1000,2100,5,bbox,HTL|SEA
177624,Salodurum,settlement,-30,2100,5,distance,ADM1|ADM2|ADM3|ADMD|PPLA
462214,Gela,settlement,-750,2100,5,distance,ADM3|ANS|PPLA3|STM|STNM
707531,Keryn(e)ia/Keraunia,settlement,-750,1599,5,distance,ADM2|CSTL|FRST|PPLA|WRCK
707586,(Nea) Paphos,"settlement, archaeological-site",-550,1599,5,distance,ADM2|ANS|PPLA|PPLX|PT
79574,Londinium/Augusta,"urban, settlement",-30,2100,5,distance,ADM2|ADM3|HBR|PPLA3|PPLC
108747,Anvers,settlement,-30,2100,4,distance,ADM4|HBR|HTL|PPL
109008,Gesoriacum/Bononia,settlement,-30,2100,4,distance,ADM3|ADM4|PPLA3|PRT
109126,Lutetia,settlement,-330,2100,4,bbox|distance,ADM2|ADM3|ADM4|PPLC
118731,Roman Heidelberg,settlement,-30,2100,4,distance,ADM3|ADM4|PPLA3|STNM
118929,Reginum/Castra Regina,"defensive-wall, fort",-30,2100,4,distance,ADM3|ADM4|PPLA2
128460,Mun. Vindobona,settlement,-30,2100,4,distance,ADM1|ADM2|PPLC|STM
128537,Vindobona,"fort-2, settlement-modern",-30,2100,4,distance,ADM1|ADM2|PPLC|PPLH
1361,Ustica (island),island,-30,2100,4,distance,ADM3|ISL|PPLA3|STNM
138248,Burdigala,settlement,-30,2100,4,distance,ADM3|ADM4|HBR|PPLA
177528,Genava,settlement,-330,2100,4,bbox|distance,ADM1|ADM2|ADM3|PPLA
187265,Aguntum,"settlement, archaeological-site",-30,2100,4,distance,ADM3|ANS|PLN|PPLA3
187432,Iuvavum,settlement,-30,2100,4,bbox|distance,ADM2|ADM3|ANS|PPLA
187578,Tergeste,"urban, settlement, vicus, fort",-330,2100,4,distance,ADM2|ADM3|PPLA|STNM
197524,Spalatum,settlement,-30,2100,4,distance,ADM2|AIRS|HTL|PPLA
246461,Lapurdum,settlement,-30,2100,4,distance,ADM4|HSTS|PPLA3|PRT
