pleiades_id,place_label,place_type,min_date,max_date,geonames_id,geonames_label,geonames_feature_code,wikidata_qid,wikidata_label,wikidata_latitude,wikidata_longitude,tgn_id,tgn_label,tgn_latitude,tgn_longitude,has_wikidata_match,has_tgn_match,has_temporal_signal,is_fully_triangulated,is_full_chain_wikidata_tgn
1001889,Thrake,province-2,,,734064,,RGNH,,,,,,,,,false,false,false,false,false
1001889,Thrake,province-2,,,738770,,RGNH,,,,,,,,,false,false,false,false,false
1001889,Thrake,province-2,,,8378533,,ADM1H,Q635058,Thracia,42.5,22.5,,,,,true,false,false,false,false
1001895,Thessalia,province,,,252938,Thessaly,RGN,,,,,,,,,false,false,false,false,false
1001895,Thessalia,province,,,6697809,,ADM1,Q166919,Thessaly,39.6,22.2,,,,,true,false,false,false,false
1001896,Hellas (Late Roman province),province-2,-550,2100,390903,,PCLI,Q41,Greece,38.5,23.0,1000074,Greece,38.5,23.0,true,true,true,true,true
1001897,Krete,province-2,,,258764,Crete,RGN,,,,,,,,,false,false,false,false,false
1001897,Krete,province-2,,,6697802,,ADM1,Q1267522,Crete Region,35.216666666667,24.916666666667,,,,,true,false,false,false,false
1001897,Krete,province-2,,,8200480,,ADMD,Q11748141,Decentralized Administration of Crete,35.215,24.955,,,,,true,false,false,false,false
1001902,Dardania,province,,,792295,,PPLL,,,,,,,,,false,false,false,false,false
1001905,Pannonia,province-2,,,8181615,,ADM1H,Q170062,Pannonia,44.9,19.02,,,,,true,false,false,false,false
1001906,Asia,province,,,8378482,,ADM1H,Q210718,Asia,38.4,28.3,,,,,true,false,false,false,false
1001909,Lydia (Byzantine province),province,,,8261120,,ADMDH,,,,,,,,,false,false,false,false,false
1001909,Lydia (Byzantine province),province,,,8609323,,PPL,,,,,,,,,false,false,false,false,false
1001909,Lydia (Byzantine province),province,,,9293330,,HTL,,,,,,,,,false,false,false,false,false
1001913,Pamphylia,province,,,322848,,RGNH,,,,,,,,,false,false,false,false,false
1001914,Lykia,province,,,8410801,,ADM1H,,,,,,,,,false,false,false,false,false
1001916,Karia (late Roman province),province,,,260973,Kariá,PPL,,,,,,,,,false,false,false,false,false
1001919,Paphlagonia,province,,,8378526,,ADM1H,Q622032,Paphlagonia,41.6,35.0,,,,,true,false,false,false,false
1001930,Kypros,province,,,146669,Cyprus,PCLI,Q229,Cyprus,35.0,33.0,,,,,true,false,false,false,false
1001930,Kypros,province,,,146670,Cyprus,ISL,Q644636,Cyprus,35.0,33.0,,,,,true,false,false,false,false
