id,label,federation,domain,uri,concept_ref,temporal_start,temporal_end,survey_depth,is_seed,prefix,start,end
E11-143,America,lcc,lcc,https://id.loc.gov/authorities/classification/E11-143,https://id.loc.gov/authorities/classification/E11-143,,,0,False,E,11.0,143.0
E11-29,General,lcc,lcc,https://id.loc.gov/authorities/classification/E11-29,https://id.loc.gov/authorities/classification/E11-29,,,0,False,E,11.0,29.0
E29,Elements in the population,lcc,lcc,https://id.loc.gov/authorities/classification/E29,https://id.loc.gov/authorities/classification/E29,,,0,False,E,29.0,29.0
E31-49.2,North America,lcc,lcc,https://id.loc.gov/authorities/classification/E31-49.2,https://id.loc.gov/authorities/classification/E31-49.2,,,0,False,E,31.0,49.2
E51-73,Pre-Columbian America.  The Indians,lcc,lcc,https://id.loc.gov/authorities/classification/E51-73,https://id.loc.gov/authorities/classification/E51-73,,,0,False,E,51.0,73.0
E75-99,Indians of North America,lcc,lcc,https://id.loc.gov/authorities/classification/E75-99,https://id.loc.gov/authorities/classification/E75-99,,,0,False,E,75.0,99.0
E81-83,Indian wars,lcc,lcc,https://id.loc.gov/authorities/classification/E81-83,https://id.loc.gov/authorities/classification/E81-83,,,0,False,E,81.0,83.0
E99,Indian tribes and cultures,lcc,lcc,https://id.loc.gov/authorities/classification/E99,https://id.loc.gov/authorities/classification/E99,,,0,False,E,99.0,99.0
E101-135,Discovery of America and early explorations,lcc,lcc,https://id.loc.gov/authorities/classification/E101-135,https://id.loc.gov/authorities/classification/E101-135,,,0,False,E,101.0,135.0
E103-110,Pre-Columbian period,lcc,lcc,https://id.loc.gov/authorities/classification/E103-110,https://id.loc.gov/authorities/classification/E103-110,,,0,False,E,103.0,110.0
E111-120,Columbus,lcc,lcc,https://id.loc.gov/authorities/classification/E111-120,https://id.loc.gov/authorities/classification/E111-120,,,0,False,E,111.0,120.0
E121-135,Post-Columbian period.  El Dorado,lcc,lcc,https://id.loc.gov/authorities/classification/E121-135,https://id.loc.gov/authorities/classification/E121-135,,,0,False,E,121.0,135.0
E141-143,Descriptive accounts of America.  Earliest to 1810,lcc,lcc,https://id.loc.gov/authorities/classification/E141-143,https://id.loc.gov/authorities/classification/E141-143,,,0,False,E,141.0,143.0
E151-889,United States,lcc,lcc,https://id.loc.gov/authorities/classification/E151-889,https://id.loc.gov/authorities/classification/E151-889,,,0,False,E,151.0,889.0
E151-169.12,General,lcc,lcc,https://id.loc.gov/authorities/classification/E151-169.12,https://id.loc.gov/authorities/classification/E151-169.12,,,0,False,E,151.0,169.12
E171-183.9,History,lcc,lcc,https://id.loc.gov/authorities/classification/E171-183.9,https://id.loc.gov/authorities/classification/E171-183.9,,,0,False,E,171.0,183.9
E171-180,General,lcc,lcc,https://id.loc.gov/authorities/classification/E171-180,https://id.loc.gov/authorities/classification/E171-180,,,0,False,E,171.0,180.0
E173,Sources and documents,lcc,lcc,https://id.loc.gov/authorities/classification/E173,https://id.loc.gov/authorities/classification/E173,,,0,False,E,173.0,173.0
E175-175.7,Historiography,lcc,lcc,https://id.loc.gov/authorities/classification/E175-175.7,https://id.loc.gov/authorities/classification/E175-175.7,,,0,False,E,175.0,175.7
E176-176.8,Biography,lcc,lcc,https://id.loc.gov/authorities/classification/E176-176.8,https://id.loc.gov/authorities/classification/E176-176.8,,,0,False,E,176.0,176.8
