id,label,federation,domain,uri,spatial_anchor,temporal_start,temporal_end,survey_depth,is_seed,authority_id,source,spatial_coverage_description
p0f65r2v4dw,Hellenistic,periodo,roman_republic,https://n2t.net/ark:/99152/p0f65r2v4dw,http://www.wikidata.org/entity/Q801,-331,-52,0,False,p0f65r2,p0f65r2,Levant
p0f65r2s5gc,Persian,periodo,roman_republic,https://n2t.net/ark:/99152/p0f65r2s5gc,http://www.wikidata.org/entity/Q801,-538,-331,0,False,p0f65r2,p0f65r2,Levant
p0mn2ndvn8j,Roman Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2ndvn8j,http://www.wikidata.org/entity/Q34374,-100,399,0,False,p0mn2nd,p0mn2nd,Crete
p0mn2ndq6bv,Hellenistic Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2ndq6bv,http://www.wikidata.org/entity/Q34374,-323,-101,0,False,p0mn2nd,p0mn2nd,Crete
p0mn2nddc8k,Archaic Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2nddc8k,http://www.wikidata.org/entity/Q34374,-700,-481,0,False,p0mn2nd,p0mn2nd,Crete
p0mn2ndtsjq,Classical Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2ndtsjq,http://www.wikidata.org/entity/Q34374,-480,-324,0,False,p0mn2nd,p0mn2nd,Crete
p0mn2ndp7wn,Early Roman Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2ndp7wn,http://www.wikidata.org/entity/Q34374,-100,249,0,False,p0mn2nd,p0mn2nd,Crete
p0qk76zbv62,Roman,periodo,roman_republic,https://n2t.net/ark:/99152/p0qk76zbv62,http://www.wikidata.org/entity/Q79,-29,394,0,False,p0qk76z,p0qk76z,
p0qk76zgqb7,Persian Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0qk76zgqb7,http://www.wikidata.org/entity/Q79,-524,-401,0,False,p0qk76z,p0qk76z,
p0qk76znjhp,Second Persian Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0qk76znjhp,http://www.wikidata.org/entity/Q79,-342,-331,0,False,p0qk76z,p0qk76z,
p0qk76zh6n2,Late Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0qk76zh6n2,http://www.wikidata.org/entity/Q79,-663,-331,0,False,p0qk76z,p0qk76z,
p0qk76z756b,Macedonian,periodo,roman_republic,https://n2t.net/ark:/99152/p0qk76z756b,http://www.wikidata.org/entity/Q79,-331,-303,0,False,p0qk76z,p0qk76z,
p0qk76zn9c9,Ptolemaic,periodo,roman_republic,https://n2t.net/ark:/99152/p0qk76zn9c9,http://www.wikidata.org/entity/Q79,-303,-29,0,False,p0qk76z,p0qk76z,
p06v8w4wq7z,Republican,periodo,roman_republic,https://n2t.net/ark:/99152/p06v8w4wq7z,http://www.wikidata.org/entity/Q403,-168,-1,0,False,p06v8w4,p06v8w4,Serbia
p06v8w47hqx,Classical Period,periodo,roman_republic,https://n2t.net/ark:/99152/p06v8w47hqx,http://www.wikidata.org/entity/Q221,-500,-350,0,False,p06v8w4,p06v8w4,Macedonia
p06v8w49mp2,Klasike/Qytetare ilire,periodo,roman_republic,https://n2t.net/ark:/99152/p06v8w49mp2,http://www.wikidata.org/entity/Q222,-480,-336,0,False,p06v8w4,p06v8w4,Albania
