id,label,federation,domain,uri,alt_labels,scope_note,temporal_range,spatial_anchor,concept_ref,person_ref,text_ref,event_ref,wikidata_qid,properties,aligned_ids,status,pattern_type,survey_depth
p0f65r2v4dw,Hellenistic,periodo,roman_republic,https://n2t.net/ark:/99152/p0f65r2v4dw,[],,"[-331, -52]",http://www.wikidata.org/entity/Q801,,,,,,"{'authority_id': 'p0f65r2', 'source': 'p0f65r2', 'spatial_coverage_description': 'Levant', 'editorial_note': 'See map as ill. 227, page 392.', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q801', 'http://www.wikidata.org/entity/Q79', 'http://www.wikidata.org/entity/Q810', 'http://www.wikidata.org/entity/Q822', 'http://www.wikidata.org/entity/Q858', 'http://www.wikidata.org/entity/Q229', 'http://www.wikidata.org/entity/Q43']}",{},raw,UNKNOWN,0
p0f65r2s5gc,Persian,periodo,roman_republic,https://n2t.net/ark:/99152/p0f65r2s5gc,[],,"[-538, -331]",http://www.wikidata.org/entity/Q801,,,,,,"{'authority_id': 'p0f65r2', 'source': 'p0f65r2', 'spatial_coverage_description': 'Levant', 'editorial_note': 'See map as ill. 227, page 392.', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q801', 'http://www.wikidata.org/entity/Q79', 'http://www.wikidata.org/entity/Q810', 'http://www.wikidata.org/entity/Q822', 'http://www.wikidata.org/entity/Q858', 'http://www.wikidata.org/entity/Q229', 'http://www.wikidata.org/entity/Q43']}",{},raw,UNKNOWN,0
p0mn2ndvn8j,Roman Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2ndvn8j,[],,"[-100, 399]",http://www.wikidata.org/entity/Q34374,,,,,,"{'authority_id': 'p0mn2nd', 'source': 'p0mn2nd', 'spatial_coverage_description': 'Crete', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q34374']}",{},raw,UNKNOWN,0
p0mn2ndq6bv,Hellenistic Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2ndq6bv,[],,"[-323, -101]",http://www.wikidata.org/entity/Q34374,,,,,,"{'authority_id': 'p0mn2nd', 'source': 'p0mn2nd', 'spatial_coverage_description': 'Crete', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q34374']}",{},raw,UNKNOWN,0
p0mn2nddc8k,Archaic Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2nddc8k,[],,"[-700, -481]",http://www.wikidata.org/entity/Q34374,,,,,,"{'authority_id': 'p0mn2nd', 'source': 'p0mn2nd', 'spatial_coverage_description': 'Crete', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q34374']}",{},raw,UNKNOWN,0
p0mn2ndtsjq,Classical Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2ndtsjq,[],,"[-480, -324]",http://www.wikidata.org/entity/Q34374,,,,,,"{'authority_id': 'p0mn2nd', 'source': 'p0mn2nd', 'spatial_coverage_description': 'Crete', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q34374']}",{},raw,UNKNOWN,0
p0mn2ndp7wn,Early Roman Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2ndp7wn,[],,"[-100, 249]",http://www.wikidata.org/entity/Q34374,,,,,,"{'authority_id': 'p0mn2nd', 'source': 'p0mn2nd', 'spatial_coverage_description': 'Crete', 'editorial_note': 'Parent period: Roman', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q34374']}",{},raw,UNKNOWN,0
p0qk76zbv62,Roman,periodo,roman_republic,https://n2t.net/ark:/99152/p0qk76zbv62,[],,"[-29, 394]",http://www.wikidata.org/entity/Q79,,,,,,"{'authority_id': 'p0qk76z', 'source': 'p0qk76z', 'spatial_coverage_description': '', 'editorial_note': 'UEE notes that this chronology will be replaced/improved as the project goes forward, so may be outdated at some point in the near future -- but in use by contributors and DAI database, so useful to maintain a record of.', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q79']}",{},raw,UNKNOWN,0
p0qk76zgqb7,Persian Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0qk76zgqb7,[],,"[-524, -401]",http://www.wikidata.org/entity/Q79,,,,,,"{'authority_id': 'p0qk76z', 'source': 'p0qk76z', 'spatial_coverage_description': '', 'editorial_note': 'UEE notes that this chronology will be replaced/improved as the project goes forward, so may be outdated at some point in the near future -- but in use by contributors and DAI database, so useful to maintain a record of.', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q79']}",{},raw,UNKNOWN,0
p0qk76znjhp,Second Persian Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0qk76znjhp,[],,"[-342, -331]",http://www.wikidata.org/entity/Q79,,,,,,"{'authority_id': 'p0qk76z', 'source': 'p0qk76z', 'spatial_coverage_description': '', 'editorial_note': 'UEE notes that this chronology will be replaced/improved as the project goes forward, so may be outdated at some point in the near future -- but in use by contributors and DAI database, so useful to maintain a record of.', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q79']}",{},raw,UNKNOWN,0
