"property_id","property_label","property_description"
"P180","depicts","entity visually depicted in an image, literarily described in a work, or otherwise incorporated into an audiovisual or other medium; see also P921, 'main subject'"
"P181","taxon range map image","range map of a taxon"
"P183","endemic to","sole location or habitat type where the taxon lives"
"P186","made from material","material the subject or the object is made of or derived from (do not confuse with P10672 which is used for processes)"
"P193","main building contractor","the main organization (or person) responsible for construction of this structure or building"
"P197","adjacent station","the stations next to this station, sharing the same line(s)"
"P199","has organizational division","organizational divisions of this organization (which are not independent legal entities)"
"P200","inflows","major inflow sources ? rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none"
"P201","outflows","rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation"
"P205","basin country","country that have drainage to/from or border the body of water"
"P207","bathymetry image","image showing bathymetric chart, bathymetric map"
"P212","ISBN-13","identifier for a book (edition), thirteen digit"
"P225","taxon name","correct scientific name of a taxon (according to the reference given)"
"P229","IATA airline designator","two-character identifier for an airline"
"P231","CAS Registry Number","identifier for a chemical substance or compound per Chemical Abstract Service's Registry database"
"P232","EC number","identifier for a chemical compound per EINECS or ELINCS"
"P233","canonical SMILES","Simplified Molecular Input Line Entry Specification (canonical format)"
"P234","InChI","International Chemical Identifier"
"P235","InChIKey","a hashed version of the full standard InChI"
"P238","IATA airport code","three-letter identifier for designating airports, railway stations or cities (for airlines, see P229)"
"P240","FAA airport code","three-letter or four-letter alphanumeric code identifying United States airports"
"P247","COSPAR ID","international satellite designation, administered by the UN Committee on Space Research (COSPAR), similar but not synonymous with the NSSDCA ID (P8913)"
"P248","stated in","to be used in the references field to refer to the information document or database in which a claim is made; for qualifiers use P805; for the type of document in which a claim is made use P3865"
"P249","ticker symbol","identifier for a publicly traded share of a particular stock on a particular stock market or that of a cryptocurrency (qualifier for P414)"
"P267","ATC code","therapeutic chemical identification code per ATC"
"P279","subclass of","this item is a subclass (subset) of that item; ALL instances of this item are instances of that item; different from P31 (instance of), e.g.: volcano is a subclass of mountain; Everest is an instance of mountain"
"P286","head coach","on-field manager or head coach of a sports club (not to be confused with a general manager P505, which is not a coaching position) or person"
"P289","vessel class","series of vessels or other watercraft built to the same design of which this vessel is a member"
"P296","station code","generic identifier for a railway station, when possible, use specific property on certain coding system (e.g. P1378 for China Railway TMIS codes)"
