property_id,primary_facet,secondary_facets,reasoning,confidence
P180,ARTISTIC,"CULTURAL,INTELLECTUAL","Visual depiction in images and works - primarily artistic/cultural representation",0.85
P181,SCIENTIFIC,ENVIRONMENTAL,"Biological range maps - scientific documentation of species distribution",0.90
P183,SCIENTIFIC,ENVIRONMENTAL,"Species habitat - biology and ecology",0.90
P186,ARCHAEOLOGICAL,"CULTURAL,TECHNOLOGICAL","Material composition - critical for artifact analysis and material culture",0.85
P193,TECHNOLOGICAL,CULTURAL,"Construction and building - engineering/architectural context",0.80
P197,GEOGRAPHIC,TECHNOLOGICAL,"Transport infrastructure - spatial and technological",0.80
P199,POLITICAL,ECONOMIC,"Organizational structure - governance and corporate structure",0.75
P200,GEOGRAPHIC,ENVIRONMENTAL,"Hydrology - water sources and geography",0.85
P201,GEOGRAPHIC,ENVIRONMENTAL,"Hydrology - water drainage",0.85
P205,GEOGRAPHIC,ENVIRONMENTAL,"Basin geography - spatial hydrology",0.85
P207,GEOGRAPHIC,SCIENTIFIC,"Bathymetric mapping - geographic and oceanographic science",0.80
P212,INTELLECTUAL,,"Book identifier - library and publishing",0.95
P225,SCIENTIFIC,,"Taxonomic nomenclature - biological science",0.95
P229,ECONOMIC,TECHNOLOGICAL,"Airline identification - commercial aviation",0.80
P231,SCIENTIFIC,,"Chemistry - substance identification",0.95
P232,SCIENTIFIC,,"Chemistry - compound identification",0.95
P233,SCIENTIFIC,,"Chemistry - molecular representation",0.95
P234,SCIENTIFIC,,"Chemistry - chemical identifier",0.95
P235,SCIENTIFIC,,"Chemistry - chemical identifier hash",0.95
P238,GEOGRAPHIC,TECHNOLOGICAL,"Airport codes - geographic infrastructure",0.85
P240,GEOGRAPHIC,TECHNOLOGICAL,"Airport codes - US infrastructure",0.85
P247,SCIENTIFIC,TECHNOLOGICAL,"Satellite identification - space technology",0.85
P248,INTELLECTUAL,,"Source citation - scholarly reference",0.90
P249,ECONOMIC,,"Stock trading - financial markets",0.90
P267,SCIENTIFIC,,"Medical classification - pharmacology",0.90
P279,INTELLECTUAL,,"Ontological classification - knowledge organization",0.75
P286,SOCIAL,BIOGRAPHIC,"Sports coaching - biographical career information",0.75
P289,TECHNOLOGICAL,MILITARY,"Naval vessel classification - military/maritime technology",0.80
P296,GEOGRAPHIC,TECHNOLOGICAL,"Railway infrastructure - transport geography",0.80
P297,POLITICAL,GEOGRAPHIC,"Country code - political geography standard",0.85
P298,POLITICAL,GEOGRAPHIC,"Country code - political geography standard",0.85
P299,POLITICAL,GEOGRAPHIC,"Country code - political geography standard",0.85
P300,POLITICAL,GEOGRAPHIC,"Subdivision code - political geography standard",0.85
P301,INTELLECTUAL,,"Wikimedia category topic - knowledge organization",0.70
P303,SCIENTIFIC,,"Animal breed identification - biology/agriculture",0.80
P304,INTELLECTUAL,,"Page reference - scholarly citation",0.85
P344,ARTISTIC,TECHNOLOGICAL,"Cinematography - film arts and technology",0.85
P349,INTELLECTUAL,BIOGRAPHIC,"Library authority control - bibliographic identification",0.90
P351,SCIENTIFIC,,"Genetics - gene identification",0.95
P352,SCIENTIFIC,,"Proteomics - protein identification",0.95
P353,SCIENTIFIC,,"Genetics - gene nomenclature",0.95
P354,SCIENTIFIC,,"Genetics - gene identification",0.95
P355,ECONOMIC,POLITICAL,"Corporate structure - business organization",0.75
P360,INTELLECTUAL,,"List classification - knowledge organization",0.70
P366,CULTURAL,TECHNOLOGICAL,"Functional use - material culture and technology",0.75
P368,INTELLECTUAL,,"Wikidata sandbox - technical documentation",0.50
P369,INTELLECTUAL,,"Wikidata sandbox - technical documentation",0.50
P370,INTELLECTUAL,,"Wikidata sandbox - technical documentation",0.50
P371,ARTISTIC,CULTURAL,"Performance presentation - arts and media",0.80
