property_id,property_label,property_description,type_qids,type_labels,primary_facet,secondary_facets,all_facets,is_historical,is_authority_control,confidence,type_count
P179,part of the series,series which contains the subject,"Q18618644,Q28326730,Q18608359",Wikidata property related to creative works | Wikidata property for the relationship of the element to its class | Wikidata property to indicate a source,INTELLECTUAL,,INTELLECTUAL,False,False,0.8,3
P180,depicts,"entity visually depicted in an image, literarily described in a work, or otherwise incorporated into an audiovisual or other medium; see also P921, 'main subject'","Q28464773,Q15720608",Wikidata property to describe media items | Q15720608,UNKNOWN,,,False,False,0.5,2
P181,taxon range map image,range map of a taxon,"Q18609040,Q18610173,Q26940804",Wikidata property related to taxa | Wikidata property to link to Commons | Wikidata property for linking to a representative image,UNKNOWN,,,False,False,0.5,3
P183,endemic to,sole location or habitat type where the taxon lives,Q18609040,Wikidata property related to taxa,UNKNOWN,,,False,False,0.5,1
P184,doctoral advisor,person who supervised the doctorate or PhD thesis of the subject,"Q18608871,Q22984450,Q132832210",Wikidata property for items about people | Wikidata property related to education | Q132832210,DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,3
P185,doctoral student,doctoral student(s) of a professor,"Q18608871,Q22984450",Wikidata property for items about people | Wikidata property related to education,DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,2
P186,made from material,material the subject or the object is made of or derived from (do not confuse with P10672 which is used for processes),"Q51122921,Q70564278","Wikidata property related to processes and manufacturing | Wikidata property used as ""depicts"" (P180) qualifier on Commons",UNKNOWN,,,False,False,0.5,2
P189,location of discovery,where the item was located when discovered,"Q18635217,Q46246642,Q61058429",Wikidata property for specifying the location of an event | Wikidata property related to archaeology | Wikidata property related to science,GEOGRAPHIC,"ARCHAEOLOGICAL,SCIENTIFIC","GEOGRAPHIC,ARCHAEOLOGICAL,SCIENTIFIC",False,False,0.8,3
P190,twinned administrative body,"twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments",Q19829914,Wikidata property related to places,GEOGRAPHIC,,GEOGRAPHIC,False,False,0.8,1
P193,main building contractor,the main organization (or person) responsible for construction of this structure or building,Q22964966,Wikidata property related to structures,UNKNOWN,,,False,False,0.5,1
P194,legislative body,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council",Q22997934,Wikidata property related to government and state,POLITICAL,,POLITICAL,False,False,0.8,1
P195,collection,"art, museum, archival, or bibliographic collection of which the subject is part (item is in the collection of X)","Q18618644,Q70564278,Q74568206,Q111339506,Q111339517","Wikidata property related to creative works | Wikidata property used as ""depicts"" (P180) qualifier on Commons | Wikidata property related to archives | Q111339506 | Q111339517",INTELLECTUAL,,INTELLECTUAL,False,False,0.8,5
P196,minor planet group,is in grouping of minor planets according to similar orbital characteristics,Q21451142,Wikidata property for items about astronomical objects,SCIENTIFIC,,SCIENTIFIC,False,False,0.8,1
P197,adjacent station,"the stations next to this station, sharing the same line(s)",Q22984363,Wikidata property related to transport,UNKNOWN,,,False,False,0.5,1
P199,has organizational division,organizational divisions of this organization (which are not independent legal entities),"Q22964476,Q30025373",Wikidata property for items about corporations | Wikidata property related to utilization and ownership,UNKNOWN,,,False,False,0.5,2
P200,inflows,"major inflow sources — rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none",Q51920440,Wikidata property for items about lakes,UNKNOWN,,,False,False,0.5,1
P201,outflows,"rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation","Q24041622,Q111603853",Wikidata property for items about bodies of water | Q111603853,UNKNOWN,,,False,False,0.5,2
P205,basin country,country that have drainage to/from or border the body of water,Q24041622,Wikidata property for items about bodies of water,UNKNOWN,,,False,False,0.5,1
P206,located in or next to body of water,body of water on or next to which a place is located,Q18615777,Wikidata property to indicate a location,GEOGRAPHIC,,GEOGRAPHIC,False,False,0.8,1
P207,bathymetry image,"image showing bathymetric chart, bathymetric map","Q18610173,Q26940804,Q24041622",Wikidata property to link to Commons | Wikidata property for linking to a representative image | Wikidata property for items about bodies of water,UNKNOWN,,,False,False,0.5,3
P208,executive body,branch of government for the daily administration of the territorial entity,Q22997934,Wikidata property related to government and state,POLITICAL,,POLITICAL,False,False,0.8,1
P209,highest judicial authority,"supreme judicial body within a country, administrative division, or other organization","Q22984026,Q22997934",Wikidata property related to law and justice | Wikidata property related to government and state,POLITICAL,DIPLOMATIC,"POLITICAL,DIPLOMATIC",False,False,0.8,2
P210,party chief representative,chief representative of a party in an institution or an administrative unit (use qualifier to identify the party),Q22984475,Wikidata property related to politics,POLITICAL,,POLITICAL,False,False,0.8,1
P212,ISBN-13,"identifier for a book (edition), thirteen digit","Q136747173,Q27038669,Q21264328,Q48710051,Q62589320",Q136747173 | Q27038669 | Wikidata property for a multi-source identifier | Wikidata property for an identifier having a checksum | Wikidata property for an identifier that does not imply notability,UNKNOWN,,,False,False,0.5,5
P213,ISNI,International Standard Name Identifier for an identity. Starting with 0000.,"Q55586529,Q27038669,Q19595382,Q21745557,Q62589320,Q96192295",Wikidata property for authority control by VIAF member | Q27038669 | Wikidata property for authority control for people | Wikidata property to identify organizations | Wikidata property for an identifier that does not imply notability | Wikidata property widely reused by third-party entities,BIOGRAPHIC,,BIOGRAPHIC,False,True,1.0,6
P214,VIAF cluster ID,"identifier for the Virtual International Authority File database [format: up to 22 digits]; please note: VIAF is a cluster, the ID can include multiple items","Q131727873,Q19595382,Q21745557,Q19833377,Q19829908,Q24075706,Q62589320,Q55586529,Q96192295,Q99566538","Q131727873 | Wikidata property for authority control for people | Wikidata property to identify organizations | Wikidata property for authority control for works | Wikidata property for authority control for places | Wikidata property for authority control, with reciprocal use of Wikidata | Wikidata property for an identifier that does not imply notability | Wikidata property for authority control by VIAF member | Wikidata property widely reused by third-party entities | Wikidata property for an identifier that generally has just one value, but rarely can have two or more values for the same entity",GEOGRAPHIC,"INTELLECTUAL,BIOGRAPHIC","GEOGRAPHIC,INTELLECTUAL,BIOGRAPHIC",False,True,1.0,10
P215,spectral class,spectral class of an astronomical object,"Q21451142,Q21099935,Q108566342",Wikidata property for items about astronomical objects | Wikidata property with datatype string that is not an external identifier | Q108566342,SCIENTIFIC,,SCIENTIFIC,False,False,0.8,3
P217,inventory number,identifier for a physical object or a set of physical objects in a collection,"Q21264328,Q18618644",Wikidata property for a multi-source identifier | Wikidata property related to creative works,INTELLECTUAL,,INTELLECTUAL,False,False,0.8,2
P218,ISO 639-1 code,2-letter identifier for language or family of languages defined in ISO 639-1 standard,"Q27038669,Q20824104",Q27038669 | Wikidata property for items about languages,LINGUISTIC,,LINGUISTIC,False,False,0.8,2
P219,ISO 639-2 code,"3-letter identifier for language, macro-language or language family, defined in ISO 639-2 standard","Q27038669,Q20824104,Q62589316",Q27038669 | Wikidata property for items about languages | Wikidata property for an identifier that suggests notability,LINGUISTIC,,LINGUISTIC,False,False,0.8,3
P220,ISO 639-3 code,"3-letter identifier for language defined in ISO 639-3, extension of ISO 639-2","Q27038669,Q20824104,Q62589316",Q27038669 | Wikidata property for items about languages | Wikidata property for an identifier that suggests notability,LINGUISTIC,,LINGUISTIC,False,False,0.8,3
P221,ISO 639-6 code,"4-letter identifier for language variants per ISO 639-6, standard between 2009-2014","Q27038669,Q20824104,Q60457486",Q27038669 | Wikidata property for items about languages | Wikidata property for a discontinued website,LINGUISTIC,,LINGUISTIC,False,False,0.8,3
P223,galaxy morphological type,galaxy morphological classification code,"Q21451142,Q108566342",Wikidata property for items about astronomical objects | Q108566342,SCIENTIFIC,,SCIENTIFIC,False,False,0.8,2
P225,taxon name,correct scientific name of a taxon (according to the reference given),"Q18609040,Q21099935",Wikidata property related to taxa | Wikidata property with datatype string that is not an external identifier,UNKNOWN,,,False,False,0.5,2
P227,GND ID,"identifier from the Gemeinsame Normdatei authority file of names, subjects, and organizations","Q55586529,Q19595382,Q21745557,Q19829908,Q19833377,Q62589316,Q96192295,Q115203080",Wikidata property for authority control by VIAF member | Wikidata property for authority control for people | Wikidata property to identify organizations | Wikidata property for authority control for places | Wikidata property for authority control for works | Wikidata property for an identifier that suggests notability | Wikidata property widely reused by third-party entities | Q115203080,GEOGRAPHIC,"INTELLECTUAL,BIOGRAPHIC","GEOGRAPHIC,INTELLECTUAL,BIOGRAPHIC",False,True,1.0,8
P229,IATA airline designator,two-character identifier for an airline,"Q21745557,Q22964357",Wikidata property to identify organizations | Wikidata property for items about airlines,UNKNOWN,,,False,False,0.5,2
P230,ICAO airline designator,"three letter identifier for an airline (two letters only until 1982) (for airports, see P239)","Q21745557,Q22964357,Q29642812",Wikidata property to identify organizations | Wikidata property for items about airlines | Wikidata property related to the United Nations,DIPLOMATIC,,DIPLOMATIC,False,False,0.8,3
P231,CAS Registry Number,identifier for a chemical substance or compound per Chemical Abstract Service's Registry database,"Q19833835,Q48710051",Wikidata property to identify substances | Wikidata property for an identifier having a checksum,UNKNOWN,,,False,False,0.5,2
P232,EC number,identifier for a chemical compound per EINECS or ELINCS,"Q19833835,Q48710051,Q135984095",Wikidata property to identify substances | Wikidata property for an identifier having a checksum | Q135984095,UNKNOWN,,,False,False,0.5,3
P233,canonical SMILES,Simplified Molecular Input Line Entry Specification (canonical format),"Q19833835,Q21099935",Wikidata property to identify substances | Wikidata property with datatype string that is not an external identifier,UNKNOWN,,,False,False,0.5,2
P234,InChI,International Chemical Identifier,"Q19833835,Q62589320",Wikidata property to identify substances | Wikidata property for an identifier that does not imply notability,UNKNOWN,,,False,False,0.5,2
P235,InChIKey,a hashed version of the full standard InChI,"Q19833835,Q62589320",Wikidata property to identify substances | Wikidata property for an identifier that does not imply notability,UNKNOWN,,,False,False,0.5,2
P236,ISSN,International Standard Serial Number (print or electronic),"Q19833377,Q48710051,Q27038669",Wikidata property for authority control for works | Wikidata property for an identifier having a checksum | Q27038669,INTELLECTUAL,,INTELLECTUAL,False,True,1.0,3
P237,coat of arms,subject's coat of arms,"Q18608993,Q22997934",Wikidata property for items about organizations | Wikidata property related to government and state,POLITICAL,,POLITICAL,False,False,0.8,2
P238,IATA airport code,"three-letter identifier for designating airports, railway stations or cities (for airlines, see P229)","Q28916621,Q61052867,Q99543626,Q23310071",Q28916621 | Wikidata property related to airports | Wikidata property for an identifier value that can be re-assigned | Wikidata property related to rail transport,UNKNOWN,,,False,False,0.5,4
