path,artifact_type,owner_role,mutation_scope,status,reasons,recommended_action
Facets/Scripts/period_facet_tagger.py,script,Platform,read_only,active,executable_owned_by_platform;legacy_script_path_needs_canonical_confirmation,review_and_override_if_needed
Facets/facet_node_schema_proposal.md,architecture_doc,Platform,read_only,draft,draft_in_canonical_path,review_and_override_if_needed
JSON/kbpedia/proposals/kko_map_smoke_20260218_b_kko_mapping_proposal.json,registry,Platform,read_only,draft,draft_in_canonical_path,review_and_override_if_needed
JSON/kbpedia/proposals/kko_map_smoke_20260218_b_kko_mapping_proposal.md,registry,Platform,read_only,draft,draft_in_canonical_path,review_and_override_if_needed
JSON/kbpedia/proposals/kko_map_smoke_20260218_kko_mapping_proposal.json,registry,Platform,read_only,draft,draft_in_canonical_path,review_and_override_if_needed
JSON/kbpedia/proposals/kko_map_smoke_20260218_kko_mapping_proposal.md,registry,Platform,read_only,draft,draft_in_canonical_path,review_and_override_if_needed
Neo4j/schema/08_core_pipeline_validation_runner.py,script,Platform,canonical_write,active,executable_owned_by_platform,review_and_override_if_needed
Relationships/wikidata_p_unmapped_backlog_2026-02-13.csv,registry,Platform,read_only,draft,draft_in_canonical_path,review_and_override_if_needed
md/Core/PROJECT_ARTIFACT_REGISTRY_TODO.md,architecture_doc,Platform,read_only,draft,draft_in_canonical_path,review_and_override_if_needed
scripts/analyze_label_overlap.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/config_loader.py,script,Platform,canonical_write,active,executable_owned_by_platform,review_and_override_if_needed
scripts/enrich_tsv_with_lcsh.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/generate_periods_cypher.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/phase_2_5_discovery_runner.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/processing/temporal_bridge_discovery.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/academic_property_harvester.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/add_ontology_parent_nodes.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/agent_training_pipeline.py,script,Platform,canonical_write,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/concepts_only.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/create_subject_concept_schema.py,script,Platform,canonical_write,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/discover_all_facets.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/example_agent_analysis_with_facet_reference.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/example_agent_training_roman_republic.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/facet_qid_discovery.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/facet_reference_subgraph.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/fix_cypher_proper.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/fix_cypher_with_clauses.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/hierarchy_query_engine.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/hierarchy_relationships_loader.py,script,Platform,canonical_write,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/load_cidoc_crminf_to_neo4j.py,script,Platform,canonical_write,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/load_trained_ontologies_to_neo4j.py,script,Platform,canonical_write,active,executable_owned_by_platform,review_and_override_if_needed
scripts/reference/subject_concept_api.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/report_lcsh_coverage.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/setup/check_database.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/setup/test_connection.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/tools/kko_mapping_proposal_loader.py,script,SFA,proposal_only,draft,draft_in_canonical_path,review_and_override_if_needed
scripts/tools/wikidata_generate_claim_subgraph_proposal.py,script,SFA,proposal_only,draft,draft_in_canonical_path,review_and_override_if_needed
scripts/ui/agent_gradio_app.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/ui/agent_streamlit_app.py,script,Platform,read_only,active,executable_owned_by_platform,review_and_override_if_needed
scripts/update_facet_prompts_step2.py,script,Platform,canonical_write,active,executable_owned_by_platform,review_and_override_if_needed
scripts/update_facet_prompts_step3.py,script,Platform,canonical_write,active,executable_owned_by_platform,review_and_override_if_needed
scripts/update_facet_prompts_step3_5.py,script,Platform,canonical_write,active,executable_owned_by_platform,review_and_override_if_needed
scripts/update_facet_prompts_step4.py,script,Platform,canonical_write,active,executable_owned_by_platform,review_and_override_if_needed
scripts/update_facet_prompts_with_schema.py,script,Platform,canonical_write,active,executable_owned_by_platform,review_and_override_if_needed
