property,propertyLabel,propertyDescription,type
http://www.wikidata.org/entity/P179,part of the series,series which contains the subject,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P180,depicts,"entity visually depicted in an image, literarily described in a work, or otherwise incorporated into an audiovisual or other medium; see also P921, 'main subject'",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P181,taxon range map image,range map of a taxon,http://wikiba.se/ontology#CommonsMedia
http://www.wikidata.org/entity/P183,endemic to,sole location or habitat type where the taxon lives,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P184,doctoral advisor,person who supervised the doctorate or PhD thesis of the subject,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P185,doctoral student,doctoral student(s) of a professor,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P186,made from material,material the subject or the object is made of or derived from (do not confuse with P10672 which is used for processes),http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P189,location of discovery,where the item was located when discovered,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P190,twinned administrative body,"twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P193,main building contractor,the main organization (or person) responsible for construction of this structure or building,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P194,legislative body,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P195,collection,"art, museum, archival, or bibliographic collection of which the subject is part (item is in the collection of X)",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P196,minor planet group,is in grouping of minor planets according to similar orbital characteristics,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P197,adjacent station,"the stations next to this station, sharing the same line(s)",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P199,has organizational division,organizational divisions of this organization (which are not independent legal entities),http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P200,inflows,"major inflow sources — rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P201,outflows,"rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P205,basin country,country that have drainage to/from or border the body of water,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P206,located in or next to body of water,body of water on or next to which a place is located,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P207,bathymetry image,"image showing bathymetric chart, bathymetric map",http://wikiba.se/ontology#CommonsMedia
http://www.wikidata.org/entity/P208,executive body,branch of government for the daily administration of the territorial entity,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P209,highest judicial authority,"supreme judicial body within a country, administrative division, or other organization",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P210,party chief representative,chief representative of a party in an institution or an administrative unit (use qualifier to identify the party),http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P212,ISBN-13,"identifier for a book (edition), thirteen digit",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P213,ISNI,International Standard Name Identifier for an identity. Starting with 0000.,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P214,VIAF cluster ID,"identifier for the Virtual International Authority File database [format: up to 22 digits]; please note: VIAF is a cluster, the ID can include multiple items",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P215,spectral class,spectral class of an astronomical object,http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P217,inventory number,identifier for a physical object or a set of physical objects in a collection,http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P218,ISO 639-1 code,2-letter identifier for language or family of languages defined in ISO 639-1 standard,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P219,ISO 639-2 code,"3-letter identifier for language, macro-language or language family, defined in ISO 639-2 standard",http://wikiba.se/ontology#ExternalId
