type,pid,property,propertyLabel,propertyDescription,propertyAltLabels,datatype,enrich_status
http://wikiba.se/ontology#WikibaseItem,P179,http://www.wikidata.org/entity/P179,part of the series,series which contains the subject,part of series | series | listed in | collection | issue of | episode of | subseries | video game series | in series,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P180,http://www.wikidata.org/entity/P180,depicts,"entity visually depicted in an image, literarily described in a work, or otherwise incorporated into an audiovisual or other medium; see also P921, 'main subject'",depicting | pictures | shows | show of | plot | resembles | displays | presents | depiction of | painting of | motif | portrait of | landscape of | represents | portrays | subject | conveys | reproduces | sounds like | features | preserves | quotes | includes,wikibase-item,ok
http://wikiba.se/ontology#CommonsMedia,P181,http://www.wikidata.org/entity/P181,taxon range map image,range map of a taxon,spread map | distribution map (taxa) | range map | occurrence data map,commonsMedia,ok
http://wikiba.se/ontology#WikibaseItem,P183,http://www.wikidata.org/entity/P183,endemic to,sole location or habitat type where the taxon lives,endemic in | native to | native in,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P184,http://www.wikidata.org/entity/P184,doctoral advisor,person who supervised the doctorate or PhD thesis of the subject,advisor | doctoral supervisor | supervisor | PhD advisor | promotor | PhD supervisor | thesis advisor,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P185,http://www.wikidata.org/entity/P185,doctoral student,doctoral student(s) of a professor,doctoral candidate | supervisee | supervised doctoral student | Ph.D. student,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P186,http://www.wikidata.org/entity/P186,made from material,material the subject or the object is made of or derived from (do not confuse with P10672 which is used for processes),medium | made from | constructed from | constructed out of | construction material | media | built from | built out of | manufactured from | manufactured out of | crafted from | crafted out of | formed from | formed out of | made of | ore | source material | raw material | feedstock | reactant | ingredient | ingredients | made in | be made in | material used | made of material,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P189,http://www.wikidata.org/entity/P189,location of discovery,where the item was located when discovered,findspot | location of discovered object | discovery place | place of discovery | discovered at: | find location | find spot | found in | site of discovery | found at | type site | source,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P190,http://www.wikidata.org/entity/P190,twinned administrative body,"twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments",twin town | sister town | twin cities | twin city | partner city | partner town | sister city,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P193,http://www.wikidata.org/entity/P193,main building contractor,the main organization (or person) responsible for construction of this structure or building,building contractor | built by | constructed by | builder | main contractor | general contractor | prime contractor | contractor,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P194,http://www.wikidata.org/entity/P194,legislative body,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council",representative body | parliament | council | assembly | diet | rural council | district council | municipal council | aboriginal council | indigenous council | city council | local government area | LGA | District | Tehsil | Zila | Jila | legislature,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P195,http://www.wikidata.org/entity/P195,collection,"art, museum, archival, or bibliographic collection of which the subject is part (item is in the collection of X)",art collection | museum collection | archives | archival holdings | GLAM | bibliographic collection | editorial collection | series | book series | book collection | repository | held by,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P196,http://www.wikidata.org/entity/P196,minor planet group,is in grouping of minor planets according to similar orbital characteristics,asteroid group,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P197,http://www.wikidata.org/entity/P197,adjacent station,"the stations next to this station, sharing the same line(s)",next station | previous station | next stop | neighbouring station,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P199,http://www.wikidata.org/entity/P199,has organizational division,organizational divisions of this organization (which are not independent legal entities),divisions | has division | has business division | business division | organizational divisions | organizational division,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P200,http://www.wikidata.org/entity/P200,inflows,"major inflow sources — rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none",inflow | lake inflow | river inflows,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P201,http://www.wikidata.org/entity/P201,outflows,"rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation",outflow | lake outflow,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P205,http://www.wikidata.org/entity/P205,basin country,country that have drainage to/from or border the body of water,basin countries,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P206,http://www.wikidata.org/entity/P206,located in or next to body of water,body of water on or next to which a place is located,on lake | next to lake | located on body of water | on bay | on harbour | on shore of | on the shore of | on the coast of | on coast of | on river | ocean | sea | lake | bay | located next to body of water | loc (water) | body of water | borders body of water | water next to the subject | along river | located in water | located on water | adjacent water body | in body of water,wikibase-item,ok
http://wikiba.se/ontology#CommonsMedia,P207,http://www.wikidata.org/entity/P207,bathymetry image,"image showing bathymetric chart, bathymetric map",bathymetric chart | bathymetric map | file bathymetry,commonsMedia,ok
http://wikiba.se/ontology#WikibaseItem,P208,http://www.wikidata.org/entity/P208,executive body,branch of government for the daily administration of the territorial entity,executive branch,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P209,http://www.wikidata.org/entity/P209,highest judicial authority,"supreme judicial body within a country, administrative division, or other organization",supreme court | has supreme court | highest court | judiciary | judicial branch | court,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P210,http://www.wikidata.org/entity/P210,party chief representative,chief representative of a party in an institution or an administrative unit (use qualifier to identify the party),party chief | communist party chief | party secretary | Communist Party Secretary,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P212,http://www.wikidata.org/entity/P212,ISBN-13,"identifier for a book (edition), thirteen digit",,external-id,ok
http://wikiba.se/ontology#ExternalId,P213,http://www.wikidata.org/entity/P213,ISNI,International Standard Name Identifier for an identity. Starting with 0000.,International Standard Name Identifier | ISO 27729,external-id,ok
http://wikiba.se/ontology#ExternalId,P214,http://www.wikidata.org/entity/P214,VIAF cluster ID,"identifier for the Virtual International Authority File database [format: up to 22 digits]; please note: VIAF is a cluster, the ID can include multiple items",VIAF identifier | Virtual International Authority File | viaf.org ID | VIAF | VIAF ID,external-id,ok
http://wikiba.se/ontology#String,P215,http://www.wikidata.org/entity/P215,spectral class,spectral class of an astronomical object,is an object of class | is a star of class,string,ok
http://wikiba.se/ontology#String,P217,http://www.wikidata.org/entity/P217,inventory number,identifier for a physical object or a set of physical objects in a collection,reference | accession number | shelfmark | call number | reference number | catalogue number | collection number | object number | local identifier | control number | loan number | catalog number,string,ok
http://wikiba.se/ontology#ExternalId,P218,http://www.wikidata.org/entity/P218,ISO 639-1 code,2-letter identifier for language or family of languages defined in ISO 639-1 standard,iso 639-1 | ISO639-1 | iso639-1 | ISO language code (2 letter),external-id,ok
http://wikiba.se/ontology#ExternalId,P219,http://www.wikidata.org/entity/P219,ISO 639-2 code,"3-letter identifier for language, macro-language or language family, defined in ISO 639-2 standard",iso 639-2 | ISO639-2 | ISO language code (3 letter),external-id,ok
http://wikiba.se/ontology#ExternalId,P220,http://www.wikidata.org/entity/P220,ISO 639-3 code,"3-letter identifier for language defined in ISO 639-3, extension of ISO 639-2",iso 639-3 | ISO639-3 | ISO language code (3 letter),external-id,ok
http://wikiba.se/ontology#ExternalId,P221,http://www.wikidata.org/entity/P221,ISO 639-6 code,"4-letter identifier for language variants per ISO 639-6, standard between 2009-2014",ISO 639-6 | ISO639-6 | ISO language code (4 letter),external-id,ok
http://wikiba.se/ontology#String,P223,http://www.wikidata.org/entity/P223,galaxy morphological type,galaxy morphological classification code,is a galaxy of type | De Vaucouleurs classification system | Hubble sequence,string,ok
http://wikiba.se/ontology#String,P225,http://www.wikidata.org/entity/P225,taxon name,correct scientific name of a taxon (according to the reference given),Latin name of a taxon (deprecated) | scientific name of a taxon | correct name (ICNafp) | valid name (ICZN) | taxonomic name,string,ok
http://wikiba.se/ontology#ExternalId,P227,http://www.wikidata.org/entity/P227,GND ID,"identifier from the Gemeinsame Normdatei authority file of names, subjects, and organizations",GND | GND identifier | Universal Authority File | Integrated Authority File | DNB authorities | GND-IDN | GND ID | Deutschen Nationalbibliothek ID | German National Library ID | Gemeinsame Normdatei ID | DNB author ID | IndividualisedGnd,external-id,ok
http://wikiba.se/ontology#String,P229,http://www.wikidata.org/entity/P229,IATA airline designator,two-character identifier for an airline,IATA reservation code | International Air Transport Association airline designator,string,ok
http://wikiba.se/ontology#String,P230,http://www.wikidata.org/entity/P230,ICAO airline designator,"three letter identifier for an airline (two letters only until 1982) (for airports, see P239)",International Civil Aviation Organization airline designator,string,ok
http://wikiba.se/ontology#ExternalId,P231,http://www.wikidata.org/entity/P231,CAS Registry Number,identifier for a chemical substance or compound per Chemical Abstract Service's Registry database,CAS Number | CAS RN,external-id,ok
http://wikiba.se/ontology#ExternalId,P232,http://www.wikidata.org/entity/P232,EC number,identifier for a chemical compound per EINECS or ELINCS,EC No. | EINECS No. | EC# | European Community number,external-id,ok
http://wikiba.se/ontology#String,P233,http://www.wikidata.org/entity/P233,canonical SMILES,Simplified Molecular Input Line Entry Specification (canonical format),SMILES | Simplified Molecular Input Line Entry Specification,string,ok
http://wikiba.se/ontology#ExternalId,P234,http://www.wikidata.org/entity/P234,InChI,International Chemical Identifier,International Chemical Identifier,external-id,ok
http://wikiba.se/ontology#ExternalId,P235,http://www.wikidata.org/entity/P235,InChIKey,a hashed version of the full standard InChI,,external-id,ok
http://wikiba.se/ontology#ExternalId,P236,http://www.wikidata.org/entity/P236,ISSN,International Standard Serial Number (print or electronic),E-ISSN | eISSN | P-ISSN | issne | issnp,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P237,http://www.wikidata.org/entity/P237,coat of arms,subject's coat of arms,,wikibase-item,ok
http://wikiba.se/ontology#String,P238,http://www.wikidata.org/entity/P238,IATA airport code,"three-letter identifier for designating airports, railway stations or cities (for airlines, see P229)",International Air Transport Association airport code | uio | IATA station code | IATA location identifier,string,ok
http://wikiba.se/ontology#String,P239,http://www.wikidata.org/entity/P239,ICAO airport code,"four-character alphanumeric identifier for designating airports (for airlines, see P230)",International Civil Aviation Organization airport code | ICAO aerodrome code | ICAO airfield code,string,ok
http://wikiba.se/ontology#String,P240,http://www.wikidata.org/entity/P240,FAA airport code,three-letter or four-letter alphanumeric code identifying United States airports,FAA LID,string,ok
http://wikiba.se/ontology#WikibaseItem,P241,http://www.wikidata.org/entity/P241,military branch,"branch to which this military unit, award, office, or person belongs, e.g. Royal Navy",branch | formation | service branch | unit branch,wikibase-item,ok
http://wikiba.se/ontology#CommonsMedia,P242,http://www.wikidata.org/entity/P242,locator map image,geographic map image which highlights the location of the subject within some larger entity,map | locator map | map image,commonsMedia,ok
http://wikiba.se/ontology#ExternalId,P243,http://www.wikidata.org/entity/P243,OCLC number,identifier for a bibliographic record in OCLC WorldCat,OCN | WorldCat accession number | WorldCat title ID | OCLC control number,external-id,ok
http://wikiba.se/ontology#ExternalId,P244,http://www.wikidata.org/entity/P244,Library of Congress authority ID,"Library of Congress name authority (persons, families, corporate bodies, events, places, works and expressions) and subject authority identifier [Format: 1-2 specific letters followed by 8-10 digits (see regex). For manifestations, use P1144]",Library of Congress Name Authority File | Library of Congress Subject Headings | LCAuth identifier | SACO ID | NACO ID | LC/NACO/SACO Authority File ID | Library of Congress Subject Headings ID | LCSH ID | LCAuth ID | LCNAF ID | LCCN | Authority LCCN | LC Subject Heading ID | LC Name Authority ID | LC Name Authority File ID | LC Control Number | LC Subject ID | LC Name ID | Library of Congress Control Number (Authorities) | Library of Congress Control Number (Name Authority) | Library of Congress Control Number (Subject Authority) | NAF LCCN | LCSH LCCN | NACO LCCN | LC/NACO LCCN | LC/NACO Authority File ID | LCSH Authority File ID | LCNACO | LC Name Authority (LCCN) | LC Subject Authority (LCCN) | SACO LCCN | LoC Authority ID,external-id,ok
http://wikiba.se/ontology#ExternalId,P245,http://www.wikidata.org/entity/P245,Union List of Artist Names ID,identifier from the Getty Union List of Artist Names,Union List of Artist Names | ULAN identifier | ULAN ID | Getty ULAN ID | ULAN,external-id,ok
http://wikiba.se/ontology#String,P246,http://www.wikidata.org/entity/P246,element symbol,identifier for a chemical element,chemical symbol | formula,string,ok
http://wikiba.se/ontology#ExternalId,P247,http://www.wikidata.org/entity/P247,COSPAR ID,"international satellite designation, administered by the UN Committee on Space Research (COSPAR), similar but not synonymous with the NSSDCA ID (P8913)",International Designator | COSPAR designation,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P248,http://www.wikidata.org/entity/P248,stated in,to be used in the references field to refer to the information document or database in which a claim is made; for qualifiers use P805; for the type of document in which a claim is made use P3865,originating source | source of claim | in statement | stated at | cited in | cited from | cited by | cited at | cited on | stated on,wikibase-item,ok
http://wikiba.se/ontology#String,P249,http://www.wikidata.org/entity/P249,ticker symbol,identifier for a publicly traded share of a particular stock on a particular stock market or that of a cryptocurrency (qualifier for P414),stock code | traded as | stock symbol | trading symbol | stock ticker,string,ok
http://wikiba.se/ontology#WikibaseItem,P263,http://www.wikidata.org/entity/P263,official residence,the residence at which heads of government and other senior figures officially reside,lives in | lives at | resides at | home | domicile | presidential palace | presidential mansion | executive residence | executive mansion | gubernatorial mansion | state house | palace,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P264,http://www.wikidata.org/entity/P264,record label,brand and trademark associated with the marketing of subject music recordings and music videos,label | labels,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P267,http://www.wikidata.org/entity/P267,ATC code,therapeutic chemical identification code per ATC,ATCC,external-id,ok
http://wikiba.se/ontology#ExternalId,P268,http://www.wikidata.org/entity/P268,Bibliothèque nationale de France ID,"identifier for the subject issued by BNF (Bibliothèque nationale de France). Format: 8 digits followed by a check-digit or letter, do not include the initial 'cb'.",RAMEAU ID | BnF ID | BnF identifier | RAMEAU identifier | Bibliothèque nationale de France identifier | National Library of France ID,external-id,ok
http://wikiba.se/ontology#ExternalId,P269,http://www.wikidata.org/entity/P269,IdRef ID,"identifier for authority control in the French collaborative library catalog (see also P1025). Format: 8 digits followed by a digit or ""X""",IdRef | Système Universitaire de Documentation authorities ID | SUDOC authority ID | SUDOC authorities ID | SUDOC,external-id,ok
http://wikiba.se/ontology#ExternalId,P270,http://www.wikidata.org/entity/P270,CALIS ID,identifier for authority control per CALIS (China Academic Library & Information System),CALIS Union Catalog Authorities,external-id,ok
http://wikiba.se/ontology#ExternalId,P271,http://www.wikidata.org/entity/P271,NACSIS-CAT author ID,"identifier for book authors in NACSIS-CAT, the union catalog for university libraries and research institutions in Japan",CiNii author identifier | CiNii author ID | CiNii author ID (books) | ci.nii.ac.jp author ID | NII (Japan) | CiNii Books author ID | NII ID,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P272,http://www.wikidata.org/entity/P272,production company,"company that produced this film, audio or performing arts work",film studio | studio | motion picture studio | movie studio | production house | theatre company | theater company | theatrical troupe | ballet company | broadcasting company | produced by (company) | producer (company),wikibase-item,ok
http://wikiba.se/ontology#String,P274,http://www.wikidata.org/entity/P274,chemical formula,description of chemical compound giving element symbols and counts,formula | molecular formula,string,ok
http://wikiba.se/ontology#WikibaseItem,P275,http://www.wikidata.org/entity/P275,copyright license,license under which this copyrighted work is released,licence | content license | content licence | copyright licence | license | software license,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P276,http://www.wikidata.org/entity/P276,location,"location of the object, structure or event; use P131 to indicate the containing administrative entity, P8138 for statistical entities, or P706 for geographic entities; use P7153 for locations associated with the object",whereabouts | located in | venue | is in | place held | based in | neighborhood | region | in | located | locality | locale | from | place | neighbourhood | suburb | held by | city | town | village | near | exact location | position,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P277,http://www.wikidata.org/entity/P277,programmed in,the programming language(s) in which the software is developed,language | written in | programming language,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P278,http://www.wikidata.org/entity/P278,GOST 7.75–97 code,identifier for a language according to GOST 7.75–97,,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P279,http://www.wikidata.org/entity/P279,subclass of,"this item is a subclass (subset) of that item; ALL instances of this item are instances of that item; different from P31 (instance of), e.g.: volcano is a subclass of mountain; Everest is an instance of mountain",rdfs:subClassOf | has superclass | subtype of | subcategory of | is thereby also a | is necessarily also a | whose instances are among | is a type of | is a class of | type of | form of | way of | all members of this class also belong to | category of | whose instances are a subset of those of | sc (abbreviation) | kind of | sort of | variant of | subgenre of,wikibase-item,ok
http://wikiba.se/ontology#String,P281,http://www.wikidata.org/entity/P281,postal code,code assigned by postal authorities for the subject area or building for the purpose of sorting and routing mail,post code | zip code | postcode | zipcode | ZIP+4 | PIN Code | postal index number | pincode,string,ok
http://wikiba.se/ontology#WikibaseItem,P282,http://www.wikidata.org/entity/P282,writing system,"alphabet, character set or other system of writing used by a language, word, or text, supported by a typeface",script | written form | writing script,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P286,http://www.wikidata.org/entity/P286,head coach,"on-field manager or head coach of a sports club (not to be confused with a general manager P505, which is not a coaching position) or person",manager | club manager | senior coach | team manager | coach | trainer,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P287,http://www.wikidata.org/entity/P287,designed by,"person or organization which designed the object. For buildings use ""architect"" (Property:P84)",has designer | designer,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P289,http://www.wikidata.org/entity/P289,vessel class,series of vessels or other watercraft built to the same design of which this vessel is a member,ship class | submarine class | spacecraft class | class of vessel | watercraft class,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P291,http://www.wikidata.org/entity/P291,place of publication,geographical place of publication of the edition (use 1st edition when referring to works),release region | publication region | published in (place) | publication place | publication location | location of publication | released in | publication city | printed in | printed at | published from | country (published in) | where published,wikibase-item,ok
http://wikiba.se/ontology#String,P296,http://www.wikidata.org/entity/P296,station code,"generic identifier for a railway station, when possible, use specific property on certain coding system (e.g. P1378 for China Railway TMIS codes)",station identifier | telegraph code | station numbering | station number,string,ok
http://wikiba.se/ontology#ExternalId,P297,http://www.wikidata.org/entity/P297,ISO 3166-1 alpha-2 code,identifier for a country in two-letter format per ISO 3166-1,country code ISO 3166-1 alpha-2 | two letter code | country code (ISO 3166-1 alpha-2),external-id,ok
http://wikiba.se/ontology#ExternalId,P298,http://www.wikidata.org/entity/P298,ISO 3166-1 alpha-3 code,identifier for a country in three-letter format per ISO 3166-1,country code ISO 3166-1 alpha-3 | country code (ISO 3166-1 alpha-3),external-id,ok
http://wikiba.se/ontology#ExternalId,P299,http://www.wikidata.org/entity/P299,ISO 3166-1 numeric code,identifier for a country in numeric format per ISO 3166-1,country code ISO 3166-1 numeric | ISO 3166-1 | country code (ISO 3166-1 numeric),external-id,ok
http://wikiba.se/ontology#ExternalId,P300,http://www.wikidata.org/entity/P300,ISO 3166-2 code,identifier for a country subdivision per ISO 3166-2 (include country code),subdivision code ISO 3166-2,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P301,http://www.wikidata.org/entity/P301,category's main topic,primary topic of the subject Wikimedia category,cmt | main article in category | main category topic | main topic of category | category's main article | article with category's topic | page with category's topic | item for this category | topic of category | main subject of category | category's topic | category topic | category's main subject | category's subject,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P303,http://www.wikidata.org/entity/P303,EE breed number,breed identification number per the EE list of the breeds of fancy pigeons (ELFP),breed number,external-id,ok
http://wikiba.se/ontology#String,P304,http://www.wikidata.org/entity/P304,page(s),"page number of source referenced for statement. Note ""column(s)"" (P3903) and ""folio(s)"" (P7416) for other numbering systems",pp. | p. | page | pages | pg. | pgs. | page number | page numbers | page cited | page referenced | location within source | location in source,string,ok
http://wikiba.se/ontology#ExternalId,P305,http://www.wikidata.org/entity/P305,IETF language tag,"identifier for language or languoid per the Internet Engineering Task Force; can include a primary language subtag, subtags for script, region, variant, extension, or private-use. Format: 2 or 3 letters, followed by ""-"" if subtags present",language tag IETF | BCP 47 language code | language code | ISO language code IETF implementation,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P306,http://www.wikidata.org/entity/P306,operating system,operating system (OS) on which a software works or the OS installed on hardware,OS | supported OS | supported operating system | supported platform,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P344,http://www.wikidata.org/entity/P344,director of photography,"person responsible for the framing, lighting, and filtration of the subject work",cinematographer | DOP,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P345,http://www.wikidata.org/entity/P345,IMDb ID,"identifier for the IMDb (with prefix 'tt', 'nm', 'co', 'ev', 'ch' or 'ni')",Internet Movie Database identifier | IMDb identifier,external-id,ok
http://wikiba.se/ontology#ExternalId,P347,http://www.wikidata.org/entity/P347,Joconde work ID,identifier in the Joconde database of the French Ministry of Culture,,external-id,ok
http://wikiba.se/ontology#String,P348,http://www.wikidata.org/entity/P348,software version identifier,"numeric or nominal identifier of a version of a software program or file format, current or past",version | release version | software version | software version identifiers | software versions | release versions | versions | version number | software release version | game version identifier | software version number | game version number | video game version identifier | video game version number | game update number | video game update number | game version | update version | update number | update identifier | software update identifier | software update number | game update | video game update | app version | app version identifier | app version number | app update | app update identifier | app update number | application version | application version identifier | application version number | application update | application update identifier | application update number | patch number | patch identifier | video game patch number | video game patch identifier | game patch number | game patch identifier | application release identifier | application release number | app release identifier | app release number | software patch | video game patch | game patch | software patch identifier | software patch number | internal version number | project code name | software release | software release identifier | software release number,string,ok
http://wikiba.se/ontology#ExternalId,P349,http://www.wikidata.org/entity/P349,NDL Authority ID,identifier for authority control per the National Diet Library of Japan,NDL Authorities | ndl | NDL identifier | NDL ID | NDLA identifier | NDLA ID | National Diet Library of Japan ID | National Diet Library ID | National Diet Library of Japan authority control ID | NDL Auth ID | National Diet Library Auth ID | NDLSH (NDL Subject Headings) | NDLNA (NDL Name Authority) | Web NDL Authorities ID | NDL Authority Data ID | NDLNAId,external-id,ok
http://wikiba.se/ontology#ExternalId,P350,http://www.wikidata.org/entity/P350,RKDimages ID,identifier per RKDimages of the Netherlands Institute for Art History,,external-id,ok
http://wikiba.se/ontology#ExternalId,P351,http://www.wikidata.org/entity/P351,Entrez Gene ID,identifier for a gene per the NCBI Entrez database,,external-id,ok
http://wikiba.se/ontology#ExternalId,P352,http://www.wikidata.org/entity/P352,UniProt protein ID,identifier for a protein per the UniProt database,UniProtKB accession number,external-id,ok
http://wikiba.se/ontology#ExternalId,P353,http://www.wikidata.org/entity/P353,HGNC gene symbol,"the official gene symbol approved by the HGNC, which is typically a short form of the gene name",HUGO Gene Nomenclature Committee gene symbol | Human Genome Organisation Gene Nomenclature Committee gene symbol,external-id,ok
http://wikiba.se/ontology#ExternalId,P354,http://www.wikidata.org/entity/P354,HGNC ID,a unique ID provided by the HGNC for each gene with an approved symbol. HGNC IDs remain stable even if a name or symbol changes,,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P355,http://www.wikidata.org/entity/P355,child organization or unit,"child organization/unit of a organization/unit; for companies, generally a fully owned separate corp., see business division (P199); opposite of parent org./unit (P749); use instance of (P31) to distinguish org. (Q43229) and org. unit (Q10387680)",subsidiary company | subsidiary entities | imprint | has imprint | subordinate body | subordinate unit | parent company of | owns | subsidiary body | subsidiary organization | daughter company | daughter organization | subsidiary | child organization | child organization unit | subordinate organization unit | child unit | child agency | child company | child institution | has chapter | has subsidiary | subordinate agency,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P356,http://www.wikidata.org/entity/P356,DOI,serial code used to uniquely identify digital objects like academic papers (use upper case letters only),Digital Object Identifier | doi,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P358,http://www.wikidata.org/entity/P358,discography,item for list pages with discography of artist or band,discography link | recording catalog,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P359,http://www.wikidata.org/entity/P359,Rijksmonument ID,identifier for a monument assigned by the Rijksdienst voor het Cultureel Erfgoed,Rijksmonument identifier,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P360,http://www.wikidata.org/entity/P360,is a list of,common element between all listed items,main topic of list | list of | main article of list | lists | list has main topic,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P361,http://www.wikidata.org/entity/P361,part of,"object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A), inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670))",meronym of | section of | system of | subsystem of | subassembly of | contained within | assembly of | part of-property | component of | in | within | is part of | subgroup of | collateral branch of | branch of | element of | chain | contained in | of,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P364,http://www.wikidata.org/entity/P364,original language of film or TV show,"language in which a film or a performance work was originally created. Deprecated for written works and songs; use P407 (""language of work or name"") instead.",original language | language of the original work | created on language | media language,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P366,http://www.wikidata.org/entity/P366,has use,main use of the subject (includes current and former usage),function | role | mission | purpose | utility | used for | used in | usage | used as | as | unit mission | use | can be used for | has purpose | has function | had use | have use | for,wikibase-item,ok
http://wikiba.se/ontology#CommonsMedia,P367,http://www.wikidata.org/entity/P367,astronomic symbol image,"image of the symbol that identifies a planet, asteroid, or other object in the Solar System",astronomical symbol image | astronomical symbol | astronomic symbol | planetary symbol image | planetary symbol,commonsMedia,ok
http://wikiba.se/ontology#CommonsMedia,P368,http://www.wikidata.org/entity/P368,Sandbox-CommonsMediaFile,"Sandbox property for value of type ""Commons Media File""",Sandbox image,commonsMedia,ok
http://wikiba.se/ontology#WikibaseItem,P369,http://www.wikidata.org/entity/P369,Sandbox-Item,"Sandbox property for value of type ""Item""",Sandbox | Sandbox property-item,wikibase-item,ok
http://wikiba.se/ontology#String,P370,http://www.wikidata.org/entity/P370,Sandbox-String,"Sandbox property for the data value type ""String""",Sandbox string,string,ok
http://wikiba.se/ontology#WikibaseItem,P371,http://www.wikidata.org/entity/P371,presenter,main role in presenting a radio or television program or a performing arts show,host | hostess | TV presenter | TV host | presented by | hosted by | event presenter | radio presenter | television presenter,wikibase-item,ok
http://wikiba.se/ontology#String,P373,http://www.wikidata.org/entity/P373,Commons category,"name of the Wikimedia Commons category containing files related to this item (without the prefix ""Category:"")",commonscat | category Commons | category on Commons | Commons cat | Wikimedia Commons category | category Wikipedia Commons | category on Wikimedia Commons | Wikimedia Commons cat,string,ok
http://wikiba.se/ontology#ExternalId,P374,http://www.wikidata.org/entity/P374,Insee municipality code,"identifier/code with five digits or letters for a municipality or a municipal arrondissement in France, per the National Institute of Statistics and Economic Studies",Insee municipality ID | Insee municipality identifier,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P375,http://www.wikidata.org/entity/P375,space launch vehicle,type of rocket or other vehicle for launching subject payload into outer space,carrier rocket | launch vehicle | rocket used | launched vehicle,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P376,http://www.wikidata.org/entity/P376,located on astronomical body,single astronomical body on which features or places are situated,on astronomical location | on astronomical body,wikibase-item,ok
