qid,primary_facet,related_facets
Q100709157,POLITICAL,CULTURAL:0.6|SOCIAL:0.5
Q100913396,ENVIRONMENTAL,SCIENTIFIC:0.9
Q100985929,SCIENTIFIC,
Q101929,SCIENTIFIC,
Q102686,INTELLECTUAL,RELIGIOUS:0.6|LINGUISTIC:0.5
Q10379,SCIENTIFIC,
Q1038158,RELIGIOUS,COMMUNICATION:0.6
Q10384,SCIENTIFIC,SOCIAL:0.5
Q1039642,TECHNOLOGICAL,SCIENTIFIC:0.8
Q104196941,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104200275,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104200509,ENVIRONMENTAL,SCIENTIFIC:0.7|GEOGRAPHIC:0.5
Q104200524,ENVIRONMENTAL,GEOGRAPHIC:0.6
Q104200566,ENVIRONMENTAL,
Q104231397,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104233266,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.6
Q104233395,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.6
Q104258221,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104258810,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104373884,ENVIRONMENTAL,SCIENTIFIC:0.7
Q104373905,ENVIRONMENTAL,SCIENTIFIC:0.7
Q104373908,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104373927,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104376780,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104376784,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.6
Q104376880,SCIENTIFIC,ENVIRONMENTAL:0.7
Q104416694,ENVIRONMENTAL,SCIENTIFIC:0.7
Q104499,SCIENTIFIC,
Q1045712,ECONOMIC,SCIENTIFIC:0.8
Q104666928,SCIENTIFIC,ENVIRONMENTAL:0.6
Q104731094,POLITICAL,SOCIAL:0.8|ECONOMIC:0.7
Q104774297,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.4
Q104774372,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.4
Q104775885,ENVIRONMENTAL,SCIENTIFIC:0.7
Q104780304,ENVIRONMENTAL,SCIENTIFIC:0.7
Q104780425,ENVIRONMENTAL,SCIENTIFIC:0.7
Q104780569,ENVIRONMENTAL,SCIENTIFIC:0.7
Q104780631,ENVIRONMENTAL,GEOGRAPHIC:0.7
Q104780697,ENVIRONMENTAL,GEOGRAPHIC:0.6
Q104783369,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.5
Q104783371,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.6
Q104800105,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104800843,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104800917,ENVIRONMENTAL,GEOGRAPHIC:0.6
Q104804153,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.6
Q104816272,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104825199,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.6
Q104825374,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104825414,ENVIRONMENTAL,SCIENTIFIC:0.7
Q104825629,ENVIRONMENTAL,SCIENTIFIC:0.7
Q104839637,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104862661,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104876110,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104913705,ENVIRONMENTAL,SCIENTIFIC:0.8
Q104923005,ENVIRONMENTAL,SCIENTIFIC:0.7
Q104923349,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.5
Q104923359,ENVIRONMENTAL,SCIENTIFIC:0.7|GEOGRAPHIC:0.4
Q1050578,SCIENTIFIC,ENVIRONMENTAL:0.7|GEOGRAPHIC:0.6
Q105080727,ENVIRONMENTAL,SCIENTIFIC:0.8
Q105081275,ENVIRONMENTAL,GEOGRAPHIC:0.6
Q105081301,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.7
Q105081450,ENVIRONMENTAL,GEOGRAPHIC:0.6
Q105098252,ENVIRONMENTAL,SCIENTIFIC:0.8
Q105208008,ENVIRONMENTAL,SCIENTIFIC:0.8
Q105236738,ENVIRONMENTAL,SCIENTIFIC:0.7|GEOGRAPHIC:0.5
Q105375581,ENVIRONMENTAL,SCIENTIFIC:0.7|GEOGRAPHIC:0.6
Q105375725,ENVIRONMENTAL,SCIENTIFIC:0.8
Q105427882,ENVIRONMENTAL,SCIENTIFIC:0.8
Q105441712,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.6
Q105441814,ENVIRONMENTAL,GEOGRAPHIC:0.6
Q105442202,ENVIRONMENTAL,SCIENTIFIC:0.7
Q105459634,SCIENTIFIC,POLITICAL:0.6
Q105497417,ENVIRONMENTAL,INTELLECTUAL:0.7
Q105550293,ENVIRONMENTAL,
Q105552831,ENVIRONMENTAL,SCIENTIFIC:0.8
Q105650,SCIENTIFIC,
Q1056943,SCIENTIFIC,
Q106099201,SCIENTIFIC,
Q106511866,SCIENTIFIC,INTELLECTUAL:0.5
Q106595016,POLITICAL,CULTURAL:0.7|SOCIAL:0.6
Q1066186,INTELLECTUAL,CULTURAL:0.7|SOCIAL:0.6
Q1069,SCIENTIFIC,ENVIRONMENTAL:0.7
Q106918389,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.6
Q106918412,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.6
Q106918414,ENVIRONMENTAL,GEOGRAPHIC:0.6
Q1071,GEOGRAPHIC,SCIENTIFIC:0.7|ENVIRONMENTAL:0.6
Q107217372,ENVIRONMENTAL,GEOGRAPHIC:0.6
Q107267429,SCIENTIFIC,ENVIRONMENTAL:0.7
Q107268129,COMMUNICATION,INTELLECTUAL:0.5|ARTISTIC:0.4
Q107278364,ENVIRONMENTAL,SCIENTIFIC:0.7
Q107278510,ENVIRONMENTAL,SCIENTIFIC:0.7|TECHNOLOGICAL:0.4
Q1073340,SCIENTIFIC,
Q107364261,POLITICAL,
Q107428576,SCIENTIFIC,ENVIRONMENTAL:0.5
Q107547967,ENVIRONMENTAL,SCIENTIFIC:0.8
Q107556940,ENVIRONMENTAL,SCIENTIFIC:0.7
Q107708708,SCIENTIFIC,
Q1078351,COMMUNICATION,SOCIAL:0.6
Q1080293,SCIENTIFIC,TECHNOLOGICAL:0.7
Q10818148,SCIENTIFIC,
Q10818163,SCIENTIFIC,
Q108226334,ENVIRONMENTAL,SCIENTIFIC:0.7|GEOGRAPHIC:0.4
Q108304567,ENVIRONMENTAL,GEOGRAPHIC:0.6
Q108570409,SCIENTIFIC,ENVIRONMENTAL:0.8|POLITICAL:0.6
Q10861331,SCIENTIFIC,
Q108703418,ENVIRONMENTAL,SCIENTIFIC:0.8|GEOGRAPHIC:0.5
Q109276098,SCIENTIFIC,
Q109523058,COMMUNICATION,INTELLECTUAL:0.6
Q109534974,SCIENTIFIC,ENVIRONMENTAL:0.7
Q109676580,SCIENTIFIC,ENVIRONMENTAL:0.6
Q109984173,ENVIRONMENTAL,SCIENTIFIC:0.7|GEOGRAPHIC:0.4
Q11016,TECHNOLOGICAL,SCIENTIFIC:0.7
Q11023,TECHNOLOGICAL,SCIENTIFIC:0.7
Q110257133,ARTISTIC,SOCIAL:0.8|CULTURAL:0.7
Q110310405,SCIENTIFIC,
Q11033,COMMUNICATION,SOCIAL:0.7|CULTURAL:0.6
Q1109432,CULTURAL,LINGUISTIC:0.8|INTELLECTUAL:0.6
Q110968692,ENVIRONMENTAL,GEOGRAPHIC:0.6
Q11122383,COMMUNICATION,POLITICAL:0.5
Q111315052,GEOGRAPHIC,ENVIRONMENTAL:0.9
Q111326845,SCIENTIFIC,
Q111604218,SCIENTIFIC,ENVIRONMENTAL:0.6
Q11165,SCIENTIFIC,
Q111679581,SCIENTIFIC,
Q11180,SCIENTIFIC,
Q11190,SCIENTIFIC,
Q1120908,SCIENTIFIC,
Q1124169,SCIENTIFIC,SOCIAL:0.7
Q1126894,LINGUISTIC,
Q1130265,TECHNOLOGICAL,ENVIRONMENTAL:0.7|SCIENTIFIC:0.6
Q113207671,SCIENTIFIC,
Q1134763,ECONOMIC,
Q11351,SCIENTIFIC,
Q1136352,TECHNOLOGICAL,ARTISTIC:0.7
Q11372,SCIENTIFIC,
Q1137608,POLITICAL,SCIENTIFIC:0.8|SOCIAL:0.6
Q113801539,ECONOMIC,DIPLOMATIC:0.6
Q1138244,ENVIRONMENTAL,SCIENTIFIC:0.7
Q113884277,SCIENTIFIC,
Q1144718,SCIENTIFIC,TECHNOLOGICAL:0.6
Q114570397,ENVIRONMENTAL,POLITICAL:0.5
Q1147173,LINGUISTIC,CULTURAL:0.6
Q11473,SCIENTIFIC,
Q114778863,TECHNOLOGICAL,ENVIRONMENTAL:0.6|SCIENTIFIC:0.5
Q116251723,SCIENTIFIC,
Q116255688,SOCIAL,
Q11650,TECHNOLOGICAL,SCIENTIFIC:0.6
Q11680018,SCIENTIFIC,
Q11697471,LINGUISTIC,ARCHAEOLOGICAL:0.7
Q11790210,SCIENTIFIC,
Q118301,SCIENTIFIC,TECHNOLOGICAL:0.5
Q119190,CULTURAL,INTELLECTUAL:0.8|ARTISTIC:0.7|RELIGIOUS:0.6
Q119204227,INTELLECTUAL,
Q1193625,INTELLECTUAL,SOCIAL:0.8
Q1195662,POLITICAL,SOCIAL:0.8|CULTURAL:0.6
Q1195766,SCIENTIFIC,
Q1204375,SCIENTIFIC,SOCIAL:0.5
Q120910099,SCIENTIFIC,
Q121176,SCIENTIFIC,SOCIAL:0.4
Q12128,SCIENTIFIC,
Q12147,SCIENTIFIC,SOCIAL:0.7
Q12211529,CULTURAL,POLITICAL:0.7|LINGUISTIC:0.6
Q122131,POLITICAL,SOCIAL:0.8|CULTURAL:0.7|ECONOMIC:0.6
Q1221899,SCIENTIFIC,SOCIAL:0.6
Q12271,ARTISTIC,TECHNOLOGICAL:0.7
Q123028,SCIENTIFIC,
Q123637,TECHNOLOGICAL,SCIENTIFIC:0.7
Q123654087,GEOGRAPHIC,TECHNOLOGICAL:0.6|MILITARY:0.4
Q12472341,ARTISTIC,INTELLECTUAL:0.6|CULTURAL:0.5
Q12572036,CULTURAL,SCIENTIFIC:0.6
Q126842,INTELLECTUAL,POLITICAL:0.8
Q1277348,LINGUISTIC,CULTURAL:0.7
Q1279400,SOCIAL,CULTURAL:0.6|POLITICAL:0.5
