qid,label,subclass_of,subclass_of_label,lcsh_id,fast_id,lcc,ddc
Q82811,acoustics,Q413,physics,sh2002006100,,,534
Q5283295,administration,Q1047113|Q29017603|Q80083,field of study|control|humanities,sh2002007910|sh85000898,1351613,,351
Q8424,aerodynamics,Q216320|Q6593690,fluid dynamics|aeromechanics,sh85001295,,,533.62|620.1074|629.1323
Q3798668,aerospace engineering,Q11023|Q1640676,engineering|traffic engineering,sh95007821,798623,,629.1
Q396340,agricultural economics,Q8134,economics,sh85002427,,,338.1
Q3606845,agricultural science,Q28797|Q2920921|Q441,applied science|management|botany,sh85002415,801593,,630
Q396338,agroecology,Q3606845|Q7150,agricultural science|ecology,sh85002307,800685,S589.7,
Q397350,agroforestry,Q2739133|Q38112,polyculture|forestry,sh85002507,,,
Q396152,agrometeorology,Q1898366|Q25261|Q3606845,bioclimatology|meteorology|agricultural science,sh85084356,1018517,,630.2515
Q173113,agronomy,Q110252479|Q3606845,crop and pasture production|agricultural science,sh91006254,801886,,
Q105208008,algal ecology,Q1387972|Q188391,plant ecology|phycology,sh2005003172,804848,,
Q106595016,American Indian law,Q4932206|Q7748,jurisprudence|law,sh85065315,969825,,
Q470125,American studies,Q928786,area studies,,,,427.973|810
Q10818148,amphibian anatomy,Q10818163|Q8198634,vertebrate anatomy|animal anatomy,sh85004599,807902,QL669,
Q2346,analytical chemistry,Q2329,chemistry,sh85023011,,,543
Q227675,animal breeding,Q4023882|Q80962|Q995745,selective breeding|animal husbandry|artificial selection,sh88005077,,,
Q111604218,animal ecophysiology,Q10900987|Q2432331|Q295425|Q431,animal ecology|zoophysiology|ecophysiology|zoology,sh91006269,809160,QP82|QP82.2,
Q110310405,animal genetics,Q431|Q7162,zoology|genetics,sh85005190,809196,,
Q80962,animal husbandry,Q110231626|Q168091|Q17277530|Q56299222,"agricultural, veterinary and food sciences|animal science|husbandry|agricultural production",sh85005169,,,636
Q16579254,animal morphology,Q183252|Q431,morphology|zoology,sh85087348,,,
Q29407,anthropological linguistics,Q8162,linguistics,sh85005577,,,
Q23404,anthropology,Q34749,social science,sh85005581,810196,,301|599.9
Q1955092,anthropology of music,Q28598,cultural anthropology,sh89003038,,,299.935
Q6656244,anthropometry,Q27172,biological anthropology,sh85005588,,,599.94
Q177304,applied anthropology,Q23404|Q28797,anthropology|applied science,sh85006167,,,
Q321249,applied linguistics,Q28797|Q8162,applied science|linguistics,sh85006168,,,418
Q33521,applied mathematics,Q395,mathematics,sh93002523,,,519
Q538904,applied psychology,Q28797|Q9418,applied science|psychology,sh85108472,,,158
Q5728861,aquatic biology,Q420|Q4782809,biology|aquatic science,sh85006231,811975,,
Q104196941,aquatic ecology,Q5728861|Q7150,aquatic biology|ecology,sh85006232,811988,QH541.5.W3,577.6|577.7
Q4782809,aquatic science,Q336|Q43518|Q864928,science|oceanography|life sciences,sh85006246,812097,,
Q3621186,Arabic studies,Q476294,oriental studies,,,,492.7|892.7
Q463923,archaeoastronomy,Q23498|Q333,archaeology|astronomy,sh85009023,,,
Q23498,archaeology,Q1066186,study of history,sh85006507,812938,,930.1
Q2305951,architectural acoustics,Q82811,acoustics,sh85006581,,,690.2
Q3922674,architectural design,Q82604,design,sh85006585,,,729
Q635374,architectural education,Q352842|Q8434,teaching|education,sh85006635,813524,,
Q12271,architecture,Q82604,design,sh85006611,813346,NA1-NA9428,720
Q380313,archival science,Q16387|Q770723,information science|auxiliary science of history,,,,020
Q11122383,archives management,Q5283295,administration,sh2007101328,814035,,
Q928786,area studies,Q1143546|Q1665984|Q23010558,"cultural studies|interdisciplinary science|area, ethnic, cultural, gender, and group studies",sh85006988,,,
Q105375725,arid regions ecology,Q7150,ecology,sh85007145,814414,QH541.5.A74,
Q735,art,Q17537576,creative work,,815177,N,700
Q50637,art history,Q1757598|Q80083|Q944537,visual art education|humanities|Geisteswissenschaften,sh85007488,,,709
Q100709157,Asian law,Q4932206|Q7748,jurisprudence|law,sh91005264,,KM1-KM999,
Q411,astrobiology,Q333|Q420,astronomy|biology,sh90004216,,,576.839
Q11680018,astrochemistry,Q11491273|Q2329|Q333|Q37547,applied chemistry|chemistry|astronomy|astrophysics,,,,523.02
Q181505,astrometry,Q333,astronomy,sh85008942,,,522
Q333,astronomy,Q14632398|Q336|Q475023|Q7991,physical science|science|exact science|natural science,sh85009003,,QB,520
Q37547,astrophysics,Q25508843|Q333|Q413,cosmic physics|astronomy|physics,sh85009032,,,523.01
Q5334416,atmospheric physics,Q14632398,physical science,sh85009289,,,
Q757520,atmospheric sciences,Q188847|Q8008,environmental science|Earth science,sh2018002590,2003481,,
Q184199,automation,Q10843872|Q1914636|Q5268834,process|activity|information and communications technology,sh85010116,,,303.4834|338.064|338.454|338.456|629.8|658.514|670.427
Q770723,auxiliary science of history,Q1066186|Q11790198,study of history|auxiliary science,sh85010480,,,907.2
