qid,getty_aat_id,openalex_id,gnd_id,bnf_id,unesco_id,mesh_id,jstor_id,viaf_id,bncf_id,ndl_id,nci_id,babelnet_id,enc_universalis_id
Q100913396,,,,12365527t,,,,,,,,,
Q100985929,,,,12288031n,,,,,,,,,
Q101929,,C2994571964,4072743-9,11932098h,concept249,D000486,,,10798,00567585,44.45,,immunologie
Q102686,300055858,C50379869,4128972-9,11932017p,,D066297,hermeneutics,,2961,00564641,,03568559n,hermeneutique
Q10379,,C164705383,4114141-6,119328721,,D002309,,,10670,,,00015982n,cardiologie
Q1038158,,,4122202-7,,,,,,,,11.75,,
Q10384,,C54183767,4071745-8,119315708,,D005853,,,10912,00569782,,,
Q1039642,,C57123350,4034901-9,,concept602,D005524,,,45960,033811308,,,
Q104196941,,,4293663-9,11982727z,,,,,,,,,
Q104200275,,,,120006541,,,,,,,,,
Q104200509,,,,11971142r,,,,,,,,,
Q104200566,,,,12000797k,,,,,,,,,
Q104231397,,,,11936437c,,,,,,,,,
Q104233266,,,,119373705,,,,,,,,,
Q104233395,,,,12442006h,,,,,,,,,
Q104373884,,,,11967918b,,,,,,,,,
Q104373905,,,,125054834,,,,,,,,,
Q104373908,,,,12173193w,,,,,,,,,
Q104376780,,,,11961326v,,,,,,,,,
Q104376784,,,,12497826k,,,,,,,,,
Q104376880,,,,119658893,,,,,,,,,
Q104416694,,,,11961322g,,,,,,,,,
Q104499,,C152551177,4233970-4,12109889k,,,,,39852,,,,planetologie
Q1045712,,C188660851,,13571612s,,,,,64275,,,,
Q104666928,,,,135723486,,,,,,,,,
Q104774372,,,,120021188,,,,,,,,,
Q104775885,,,,11961325h,,,,,,,,,
Q104780569,,,,12383272r,,,,,,,,,
Q104780697,,,,11949469x,,,,,,,,,
Q104783369,,,,14405127x,,,,,,,,,
Q104783371,,,,12433635s,,,,,,,,,
Q104800843,,,,12454793w,,,,,,,,,
Q104804153,,,,11947484b,,,,,,,,,
Q104816272,,,,120021753,,,,,,,,,
Q104825199,,,,120021753,,,,,,,,,
Q104825414,,,,12338770m,,,,,,,,,
Q104923005,,,,119364241,,,,,,,,,
Q104923349,,,,12007157c,,,,,,,,,
Q104923359,,,,11944184s,,,,,,,,,
Q1050578,,C28115305,4038316-7,119315661,concept5521,,,,19267,00564654,38.48,,
Q105375725,,,,12008783t,,,,,,,,,
Q105427882,,,,13543876f,,,,,,,,,
Q105441712,,,,120018466,,,,,,,,,
Q105552831,,,4393598-9,12191643n,,,,,,,,,
Q105650,,C126894567,4062158-3,,,D014572,,,26238,,,,urologie
Q1056943,,C74092355,4170396-0,,,D057089,,,,,,,maladies-moleculaires
Q1066186,300054394,,4020535-6,17800445k,,,,,,,15.00,00044268n,histoire-histoire-et-historiens-vue-d-ensemble
Q1069,300054546,C127313418,4020227-6,11931565p,concept159,D005844,,,4479,00573090,,00040170n,geologie-vue-d-ensemble
Q106918389,,,,12336735m,,,,,,,,,
Q106918414,,,,12415595f,,,,,,,,,
Q1071,300054388,C205649164,4020216-1,,concept172,D005843,,,1323,00573070,74,00040163n,geographie
Q107268129,,,4340855-2,11937328c,,,,,,,,,
Q107278364,,,,136006050,,,,,,,,,
Q1073340,,,4143255-1,12211642t,,,,,19326,,,,
Q107428576,,,,11961837w,,,,,43619,,,,
Q107708708,,,,11978961x,,,,,,,,,
Q1078351,,,4120588-1,,,,,,25482,,05,,
Q1080293,,C500666722,4129367-8,,,,,,49305,,,03221986n,
Q10861331,,,,11964765k,,,,,,00561554,,,
Q108703418,,,,,concept5252,,,,,,,,
Q109534974,,,,119764554,concept11412,,,,,,,,
Q109676580,,,,11983505b,,,,,,,,,
Q11016,300056069,C2994016872,4059276-5,119338890,concept116,D013672,,,1979,00562503,,00005105n,
Q11023,300054474,C2993955422,4137304-2,11950236f,concept623,D004738,,,4398,00566144,5,00005105n,
Q110310405,,,,11931528g,concept1765,,,,,,,,
Q11033,300055812,C558299567,4037877-9,119323312,concept487,D008402,,,10252,00567519,,01234035n,
Q1109432,,,,11947547d,,,,,58142,,,,
Q11122383,,,,,concept468,,,,,,,,
Q111315052,,,4251568-3,,,,,,,,,,
Q111326845,,,,125591521,,,,,47974,,,,
Q111604218,,,,12408946v,,,,,,,,,
Q11165,300054540,C179104552,4002145-2,11978675s,concept5037,D015392,,,22797,00567903,,,
Q11180,,C126322002,4027074-9,119620117,,D007388,,,17158,00567984,44.61,00037662n,medecine-interne
