qid,openlibrary_work_id
Q352842,teaching
Q376022,indian_philosophy
Q484591,natural_history
Q488059,philosophical_anthropology
Q523256,sustainable_design
Q570018,history_of_ideas
Q27908,music_in_education
Q27908,music_instruction_and_study
Q30642,natural_language_processing
Q30642,natural_language_processing_(computer_science)
Q34749,social_sciences
Q36442,political_science
Q36442,political_sciences
Q37547,astrophysics
Q38112,forestry
Q38112,forests_and_forestry
Q40821,surgery
Q42250,hydrology
Q42515,cartography
Q43455,ethnology
Q50675,historiographie
Q50675,historiography
Q52107,physical_geography
Q80083,humanities
Q82604,design
Q83042,neurology
Q83353,mineralogy
Q121176,health_sciences_nursing
Q121176,nursing
Q121176,nursing_health_sciences
Q134995,bibliography
Q160398,crystallography
Q161764,geochemistry
Q162555,oncology
Q163082,petrology
Q170201,veterinary_medicine
Q171171,dermatology
Q173113,agronomy
Q175403,microelectronics
Q179235,phenomenology
Q179509,hydrogeology
Q179957,palaeography
Q179957,palaeography_(history_of_writing)
Q180634,distributed_computing
Q182468,hydrography
Q182557,computational_linguistics
Q183257,psychotherapy
Q185698,méthodologie
Q185698,methodology
Q185973,plant_physiology
Q188449,neurosurgery
Q189447,risk_management
Q189603,public_health
Q192781,military_history
Q194294,bioethics
Q199655,library_science
Q207011,neuroscience
Q207011,neurosciences
Q207434,human-computer_interaction
Q208163,signal_processing
Q208365,ethnomusicology
Q214963,nuclear_medicine
Q227675,breeding
Q228736,material_science
Q333,astronomy
Q336,science
Q338,cosmology
Q394,metrology
Q395,mathematics
Q411,astrobiology
Q413,physics
Q418,telecommunication
Q420,biology
Q431,zoology
Q441,botany
Q482,poetry
Q521,physiology
Q735,art
Q1069,geology
Q1071,geography
Q2329,chemistry
Q2346,analytic_chemistry
Q2539,machine_learning
Q3872,neuropsychology
Q5891,philosophy
Q7094,biochemistry
Q7108,biotechnology
Q7150,ecology
Q7162,genetics
Q7173,marine_biology
Q7193,microbiology
Q7205,paleontology
Q7206,paleoanthropology
Q7206,paläanthropologie
Q7208,pathology
Q7778,france_-_history
Q7778,france_history
Q7867,psychiatry
Q7922,pedagogy
Q9418,psychology
Q9465,ethics
Q10379,cardiology
Q11016,technology
Q11023,engineering
Q11023,engineering_-_general
Q11033,mass_media
Q11351,organic_chemistry
Q11650,electronics
Q11650,electronic
Q12147,health
Q12271,architecture
Q21198,computer_science
Q21201,sociology
Q23404,anthropology
Q23498,archaeology
Q25261,meteorology
Q720858,human_ecology
Q834933,progressive_education
Q864191,bioacoustics
Q948647,neuroanatomy
Q967177,sexual_ethics
Q1195766,space_sciences
Q2728012,neurobiology
Q3972943,publishers_and_publishing
Q3972943,publishing
Q4530312,marine_ecology
Q5570874,world_politics
Q12572036,ethnopsychology
Q12831143,human_geography
Q16331597,costume_design
