qid,pactols_id
Q184524,pcrt5kHSAK1nqh
Q185698,pcrtdUvEkSeyqH
Q185925,pcrtwZOaTfxE7u
Q188462,crt67niz7V8ZF
Q190375,pcrtYJI5X9n4wR
Q192292,crtpWupK4HMkp
Q192781,pcrtiqoxXEO1L0
Q207011,crtVodVJpj7SY
Q207892,pcrtcijV6GdYtw
Q215501,pcrts8Sij9iWxU
Q333,pcrt4J7FjGwrcR
Q336,pcrtgEqPFxaYUJ
Q338,pcrt2F2H19Qt8j
Q394,pcrtaJkXATOYwB
Q395,pcrt0fWVRe0hvf
Q413,pcrtgrOmZOUoPZ
Q420,pcrtL8Vz1ImuZ3
Q431,pcrt3qpYFnIQFm
Q441,pcrtvw7qwGBX9r
Q482,pcrtAvu2MABsZW
Q521,pcrt8bthqnsh7vzm7rw1g7w0
Q735,pcrttq9gp2ZMuc
Q1069,pcrtcMAzwfcMyS
Q1071,pcrtzQcj7ySt1K
Q2329,pcrtTsFUpot5O5
Q5891,pcrtBjGEQJB8ga
Q5891,pcrtn0dT3guDl3
Q7094,pcrt9mYGGkTtLB
Q7150,pcrt1urpl6axh0
Q7155,pcrtWqUywzs1mt
Q7162,pcrtuzhI7VazjA
Q7163,pcrtQdSP02tK3w
Q7173,crtSs5RYfrJrq
Q7205,pcrt16K8Z22Yox
Q7206,pcrtGqf4ieHiSY
Q7208,pcrtslhJM0KfQ3
Q7748,pcrtgx5yOalcpT
Q7794,pcrtxyE6vPRFVc
Q8008,pcrt4QPGopbSUP
Q8091,pcrtkneHRb9veV
Q8134,pcrtIZdeowS2IB
Q8162,pcrtIDlTNGlpii
Q8236,pcrtzVcWDd46dY
Q9418,pcrt0aqb8SPdKg
Q9465,pcrt1aMM9g6EDT
Q11016,pcrttrEq4Rcpkr
Q11190,pcrtARiDUn3jr1
Q12128,pcrtqJSBaHmyVV
Q12147,pcrt9Ps79U3TkQ
Q12271,pcrtKJVpuP3AET
Q21198,pcrt1GP77Af0SA
Q21201,crtMKiFwbS2LE
Q23498,pcrty05M9SVnLu
Q25261,pcrtXSSRgR9SYN
Q352842,pcrt9vNUqRWTWt
Q358120,crte2OkMwDFfe
Q380274,crtUdxBWBs0o2
Q460162,crt8nkqD26D5g
Q476294,crteROhQbdPl0
Q482752,pcrtEaQNXbUnMG
Q484181,pcrtdwSHDZD41o
Q484591,pcrtulsoB7pgV7
Q570018,pcrt993ympP3wx
Q27172,pcrttcpeEPi2K0
Q27778,crtrKqiPMbMiK
Q27841,crtz4ZdJMvgjW
Q28065,crtEcoLe3LDcr
Q28598,pcrtUggFHSFV6w
Q28856,pcrtYwa01IgGQF
Q29051,pcrtiWreYRmroG
Q31151,pcrtQI8aUvzOhO
Q34178,pcrtdnI82Oq6lV
Q35395,pcrtOUkmlGSESJ
Q37732,pcrtZd0FGOZwl3
Q39286,pcrtePI6K35S9V
Q40634,pcrtunRW1jSBML
Q40821,pcrtstSiUUSiAn
Q40998,pcrtkMKBVAsglI
Q42250,pcrtqQv1MSIsp0
Q42515,pcrtEbZ8WTILNS
Q43455,pcrtxMZey15FER
Q46255,pcrt4kT9Gzua0B
Q50637,pcrtP6goqQWM9k
Q50675,pcrthwxAP9LOxf
Q52107,pcrt6g3bwHKS6p
Q52109,pcrtJHTcW3uQ01
Q52139,pcrtqj3vNw55Df
Q77590,pcrtEz49cz3dAg
Q80962,pcrtFQ469T1itu
Q81009,pcrt7EYvXX8b0o
Q81009,pcrtk7l9rdrABF
Q82811,pcrtyGyfkQz9vQ
Q83042,pcrt7h6kwi6K8H
Q83353,pcrttHNINn8k7j
Q102686,pcrtbs0Y6qMufq
Q131089,pcrtgTjV2wQZRd
Q134435,pcrtSJlHFFua75
Q145903,pcrtneu5IM89aq
Q146893,pcrtE95Sqzo6Lb
Q159385,crtXkSn880Xsg
Q160398,pcrtqat9t9PR9H
Q161437,pcrtMDWDS14AzJ
Q161733,crtHBdNVSEo8t
Q161764,pcrtPiWnSsQTNJ
Q165838,pcrtYAfGwOBMWH
Q170201,pcrtzZ1M8sAGGS
Q171141,pcrtIdVgGlfOKP
Q173113,pcrt9dibLrQ5oo
Q178433,pcrtOmkVFgF4Xf
Q179509,pcrtgS1W5Q8JVm
Q179957,pcrtvun1g7PPLq
Q182468,pcrt1QYjcunSnB
Q582577,crtZy79bvw7AP
Q596086,pcrtjpqBTfmY7d
Q619798,pcrt5WaTnLYYdH
Q631286,pcrtaEf2wWY07i
Q646206,pcrtGNhaYVgHSn
Q680004,crtpiGDhN0Qs9
Q846742,pcrtmtUS2pjQSD
Q864928,pcrtJhstvoGzSH
Q878226,crtSX6Gfpijbe
Q878226,pcrtnIFjF2qlo8
Q972132,pcrt650309rm2m
Q1126894,pcrtdb1909chpr
Q1136352,pcrtLBnWBZIYMM
Q1221899,pcrtyVZtz7Dpen
Q1371704,pcrtSYIzc2eAFx
Q2177756,crtxthrhRLaAm
Q3391448,crtFLSX5Bd7c8
Q3743137,pcrts8SiTTY3Ka
Q3922674,pcrtxzTYzVBKas
Q3972943,pcrt74Udwuhj1S
Q4394526,pcrtTg9TSFxiuB
Q4738155,pcrtcH1tBa531j
Q6656244,pcrtaoL1Snh5Yg
Q12831143,pcrtZRnIMwdJOD
Q16267481,pcrtlrbeZ5vu25
