item,itemLabel,parent,parentLabel
http://www.wikidata.org/entity/Q249,wireless communication,http://www.wikidata.org/entity/Q418,telecommunications
http://www.wikidata.org/entity/Q249,wireless communication,http://www.wikidata.org/entity/Q1061219,telecommunications engineering
http://www.wikidata.org/entity/Q411,astrobiology,http://www.wikidata.org/entity/Q333,astronomy
http://www.wikidata.org/entity/Q411,astrobiology,http://www.wikidata.org/entity/Q420,biology
http://www.wikidata.org/entity/Q466,World Wide Web,http://www.wikidata.org/entity/Q1076968,digital media
http://www.wikidata.org/entity/Q466,World Wide Web,http://www.wikidata.org/entity/Q1668024,service on Internet
http://www.wikidata.org/entity/Q638,music,http://www.wikidata.org/entity/Q173799,entertainment
http://www.wikidata.org/entity/Q638,music,http://www.wikidata.org/entity/Q2018526,arts
http://www.wikidata.org/entity/Q1069,geology,http://www.wikidata.org/entity/Q7991,natural science
http://www.wikidata.org/entity/Q1069,geology,http://www.wikidata.org/entity/Q8008,Earth science
http://www.wikidata.org/entity/Q2329,chemistry,http://www.wikidata.org/entity/Q14632398,physical science
http://www.wikidata.org/entity/Q2539,machine learning,http://www.wikidata.org/entity/Q11660,artificial intelligence
http://www.wikidata.org/entity/Q6368,web browser,http://www.wikidata.org/entity/Q166142,application
http://www.wikidata.org/entity/Q6368,web browser,http://www.wikidata.org/entity/Q241317,computing platform
http://www.wikidata.org/entity/Q6368,web browser,http://www.wikidata.org/entity/Q2979024,HTTP client
http://www.wikidata.org/entity/Q6368,web browser,http://www.wikidata.org/entity/Q104574429,browser
http://www.wikidata.org/entity/Q7150,ecology,http://www.wikidata.org/entity/Q5333289,ecology and evolutionary biology
http://www.wikidata.org/entity/Q7173,marine biology,http://www.wikidata.org/entity/Q1130698,hydrobiology
http://www.wikidata.org/entity/Q7173,marine biology,http://www.wikidata.org/entity/Q5728861,aquatic biology
http://www.wikidata.org/entity/Q7175,mycology,http://www.wikidata.org/entity/Q420,biology
http://www.wikidata.org/entity/Q7206,paleoanthropology,http://www.wikidata.org/entity/Q7205,paleontology
http://www.wikidata.org/entity/Q7206,paleoanthropology,http://www.wikidata.org/entity/Q23404,anthropology
http://www.wikidata.org/entity/Q7208,pathology,http://www.wikidata.org/entity/Q2057971,health problem
http://www.wikidata.org/entity/Q7208,pathology,http://www.wikidata.org/entity/Q113129019,clinical sciences
http://www.wikidata.org/entity/Q7958,explanation,http://www.wikidata.org/entity/Q151885,concept
http://www.wikidata.org/entity/Q7958,explanation,http://www.wikidata.org/entity/Q628523,message
http://www.wikidata.org/entity/Q8008,Earth science,http://www.wikidata.org/entity/Q7991,natural science
http://www.wikidata.org/entity/Q8008,Earth science,http://www.wikidata.org/entity/Q107287417,earth and planetary science
http://www.wikidata.org/entity/Q8096,lexicon,http://www.wikidata.org/entity/Q23622,dictionary
http://www.wikidata.org/entity/Q8096,lexicon,http://www.wikidata.org/entity/Q91828006,word list
http://www.wikidata.org/entity/Q8134,economics,http://www.wikidata.org/entity/Q34749,social science
http://www.wikidata.org/entity/Q8162,linguistics,http://www.wikidata.org/entity/Q34749,social science
http://www.wikidata.org/entity/Q8162,linguistics,http://www.wikidata.org/entity/Q80083,humanities
http://www.wikidata.org/entity/Q9168,Q9168,http://www.wikidata.org/entity/Q56356571,New Persian
http://www.wikidata.org/entity/Q11190,medicine,http://www.wikidata.org/entity/Q843601,health sciences
http://www.wikidata.org/entity/Q12132,calendar system,http://www.wikidata.org/entity/Q130788,chronology
http://www.wikidata.org/entity/Q12132,calendar system,http://www.wikidata.org/entity/Q3622126,conceptual system
http://www.wikidata.org/entity/Q12147,health,http://www.wikidata.org/entity/Q7189713,physiological condition
http://www.wikidata.org/entity/Q12147,health,http://www.wikidata.org/entity/Q16681739,normality
http://www.wikidata.org/entity/Q12147,health,http://www.wikidata.org/entity/Q19829125,absence
http://www.wikidata.org/entity/Q12271,architecture,http://www.wikidata.org/entity/Q82604,design
http://www.wikidata.org/entity/Q18619,priming,,
http://www.wikidata.org/entity/Q27172,biological anthropology,http://www.wikidata.org/entity/Q23404,anthropology
http://www.wikidata.org/entity/Q27778,political anthropology,http://www.wikidata.org/entity/Q29051,social anthropology
http://www.wikidata.org/entity/Q27841,economic anthropology,http://www.wikidata.org/entity/Q23404,anthropology
http://www.wikidata.org/entity/Q27890,anthropology of religion,http://www.wikidata.org/entity/Q23404,anthropology
http://www.wikidata.org/entity/Q27890,anthropology of religion,http://www.wikidata.org/entity/Q34187,religious studies
http://www.wikidata.org/entity/Q27908,music education,http://www.wikidata.org/entity/Q7922,pedagogy
http://www.wikidata.org/entity/Q27908,music education,http://www.wikidata.org/entity/Q136076495,musicking
http://www.wikidata.org/entity/Q27948,list,http://www.wikidata.org/entity/Q133250,sequence
http://www.wikidata.org/entity/Q27948,list,http://www.wikidata.org/entity/Q175263,data structure
http://www.wikidata.org/entity/Q27948,list,http://www.wikidata.org/entity/Q16773055,data aggregation
http://www.wikidata.org/entity/Q27977,urban anthropology,http://www.wikidata.org/entity/Q23404,anthropology
http://www.wikidata.org/entity/Q27977,urban anthropology,http://www.wikidata.org/entity/Q59950,urbanism
http://www.wikidata.org/entity/Q28065,forensic anthropology,http://www.wikidata.org/entity/Q23404,anthropology
http://www.wikidata.org/entity/Q28065,forensic anthropology,http://www.wikidata.org/entity/Q495304,forensic science
http://www.wikidata.org/entity/Q29051,social anthropology,http://www.wikidata.org/entity/Q23404,anthropology
http://www.wikidata.org/entity/Q30081,multilingualism,http://www.wikidata.org/entity/Q1347367,aptitude
http://www.wikidata.org/entity/Q30642,natural language processing,http://www.wikidata.org/entity/Q11660,artificial intelligence
http://www.wikidata.org/entity/Q30642,natural language processing,http://www.wikidata.org/entity/Q21198,computer science
http://www.wikidata.org/entity/Q30642,natural language processing,http://www.wikidata.org/entity/Q182557,computational linguistics
http://www.wikidata.org/entity/Q30642,natural language processing,http://www.wikidata.org/entity/Q750843,information processing
http://www.wikidata.org/entity/Q30642,natural language processing,http://www.wikidata.org/entity/Q11862829,academic discipline
http://www.wikidata.org/entity/Q31207,health care,http://www.wikidata.org/entity/Q2421951,care
http://www.wikidata.org/entity/Q31207,health care,http://www.wikidata.org/entity/Q7406919,service
http://www.wikidata.org/entity/Q33742,natural language,http://www.wikidata.org/entity/Q20162172,human language
http://www.wikidata.org/entity/Q34749,social science,http://www.wikidata.org/entity/Q33122512,social sciences and humanities
http://www.wikidata.org/entity/Q34749,social science,http://www.wikidata.org/entity/Q97929320,"humanities, arts and social sciences"
http://www.wikidata.org/entity/Q35140,performance,http://www.wikidata.org/entity/Q1656682,event
http://www.wikidata.org/entity/Q35140,performance,http://www.wikidata.org/entity/Q1914636,activity
http://www.wikidata.org/entity/Q35140,performance,http://www.wikidata.org/entity/Q16686448,artificial object
http://www.wikidata.org/entity/Q35986,aesthetics,http://www.wikidata.org/entity/Q5891,philosophy
http://www.wikidata.org/entity/Q38112,forestry,http://www.wikidata.org/entity/Q11023,engineering
http://www.wikidata.org/entity/Q38112,forestry,http://www.wikidata.org/entity/Q1801887,agriculture and forestry
http://www.wikidata.org/entity/Q39825,census,http://www.wikidata.org/entity/Q1172284,data set
http://www.wikidata.org/entity/Q39825,census,http://www.wikidata.org/entity/Q3523102,source of information
http://www.wikidata.org/entity/Q39825,census,http://www.wikidata.org/entity/Q4350743,census
http://www.wikidata.org/entity/Q41263,budget,http://www.wikidata.org/entity/Q1416547,financial plan
http://www.wikidata.org/entity/Q43015,finance,http://www.wikidata.org/entity/Q18564125,business management
http://www.wikidata.org/entity/Q43015,finance,http://www.wikidata.org/entity/Q113141571,"banking, finance and investment studies"
http://www.wikidata.org/entity/Q43455,ethnology,http://www.wikidata.org/entity/Q28598,cultural anthropology
http://www.wikidata.org/entity/Q43455,ethnology,http://www.wikidata.org/entity/Q1143546,cultural studies
http://www.wikidata.org/entity/Q43504,criminalistics,http://www.wikidata.org/entity/Q7991,natural science
http://www.wikidata.org/entity/Q43518,oceanography,http://www.wikidata.org/entity/Q8008,Earth science
http://www.wikidata.org/entity/Q43518,oceanography,http://www.wikidata.org/entity/Q3349060,oceanology
http://www.wikidata.org/entity/Q52120,glaciology,http://www.wikidata.org/entity/Q1069,geology
http://www.wikidata.org/entity/Q52120,glaciology,http://www.wikidata.org/entity/Q8008,Earth science
http://www.wikidata.org/entity/Q52120,glaciology,http://www.wikidata.org/entity/Q42250,hydrology
