qid,label,statement_count,property_count,with_qualifiers,with_references,qualifier_rate,reference_rate,unsupported_statement_count,unsupported_pair_rate,unsupported_pairs,status
Q106841551,Colonia Laus Iulia Corinthiensis,13,11,2,0,0.153846,0.000000,0,0.000000,{},pass
Q11184,Julian calendar,51,42,10,12,0.196078,0.235294,0,0.000000,{},pass
Q1133288,Temple of Caesar,37,33,1,11,0.027027,0.297297,0,0.000000,{},pass
Q119206,Julian Alps,78,37,9,15,0.115385,0.192308,0,0.000000,{},pass
Q1583842,Emerita Augusta,45,28,8,12,0.177778,0.266667,0,0.000000,{},pass
Q188751,Caesar,27,17,8,2,0.296296,0.074074,0,0.000000,{},pass
Q2017668,Le Défi de César,22,18,2,1,0.090909,0.045455,0,0.000000,{},pass
Q320210,Caesar's Rhine bridges,19,18,3,5,0.157895,0.263158,0,0.000000,{},pass
Q3920725,Julius Caesar Bridge,11,9,0,3,0.000000,0.272727,0,0.000000,{},pass
Q569978,Caesars Palace,39,34,12,24,0.307692,0.615385,0,0.000000,{},pass
