qid,label,statement_count,property_count,with_qualifiers,with_references,qualifier_rate,reference_rate,unsupported_statement_count,unsupported_pair_rate,unsupported_pairs,status
Q104848509,Caesar's Retreat,17,13,3,1,0.176471,0.058824,0,0.000000,{},pass
Q106982704,Piazzale Giulio Cesare,6,6,1,0,0.166667,0.000000,0,0.000000,{},pass
Q108390243,Viale Giulio Cesare,11,8,0,0,0.000000,0.000000,0,0.000000,{},pass
Q110959673,,10,10,1,0,0.100000,0.000000,0,0.000000,{},pass
Q111821370,Jules César,14,10,5,1,0.357143,0.071429,0,0.000000,{},pass
Q121,July,117,55,34,15,0.290598,0.128205,0,0.000000,{},pass
Q1247098,Caesar's Comet,16,16,1,6,0.062500,0.375000,0,0.000000,{},pass
Q124800412,,10,8,2,2,0.200000,0.200000,0,0.000000,{},pass
Q12734616,Lusus Troiae,10,8,0,0,0.000000,0.000000,0,0.000000,{},pass
Q131029915,,10,10,0,0,0.000000,0.000000,0,0.000000,{},pass
Q137907746,Júlio César,13,9,2,0,0.153846,0.000000,0,0.000000,{},pass
Q167440,Legio IV Macedonica,11,11,0,3,0.000000,0.272727,0,0.000000,{},pass
Q168553,Legio XIII Gemina,17,17,0,9,0.000000,0.529412,0,0.000000,{},pass
Q1789521,Giulio Cesare,35,22,13,14,0.371429,0.400000,0,0.000000,{},pass
Q180943,Caesar cipher,21,20,5,5,0.238095,0.238095,0,0.000000,{},pass
Q22683858,Debate over the execution of Catiline's supporters,9,6,0,0,0.000000,0.000000,0,0.000000,{},pass
Q228036,cesarean section,82,65,16,25,0.195122,0.304878,0,0.000000,{},pass
Q25207142,French ship César,8,8,0,2,0.000000,0.250000,0,0.000000,{},pass
Q25238182,crossing the Rubicon,14,10,0,2,0.000000,0.142857,0,0.000000,{},pass
Q253539,Legio X Gemina,19,17,4,12,0.210526,0.631579,0,0.000000,{},pass
Q2618230,18458 Caesar,40,28,11,34,0.275000,0.850000,0,0.000000,{},pass
Q2738549,Caesarsboom,12,11,0,1,0.000000,0.083333,0,0.000000,{},pass
Q280868,Battle of Gergovia,18,15,1,6,0.055556,0.333333,0,0.000000,{},pass
Q29288,Caesar,28,17,10,8,0.357143,0.285714,0,0.000000,{},pass
Q3396592,pont Jules-César,9,9,0,3,0.000000,0.333333,0,0.000000,{},pass
Q3448621,rue Jules-César,23,19,5,10,0.217391,0.434783,0,0.000000,{},pass
Q3665313,Caesar cut,10,7,0,0,0.000000,0.000000,0,0.000000,{},pass
Q3694616,Corso Giulio Cesare,8,8,0,4,0.000000,0.500000,0,0.000000,{},pass
Q38040394,Caesarova kašna,25,22,2,12,0.080000,0.480000,0,0.000000,{},pass
Q3831934,Giulio Cesare,19,18,0,13,0.000000,0.684211,0,0.000000,{},pass
Q3902216,Piazza Giulio Cesare,9,9,1,1,0.111111,0.111111,0,0.000000,{},pass
Q49053259,Mount Julius Caesar,20,16,1,9,0.050000,0.450000,0,0.000000,{},pass
Q5018164,Cal McLish,42,35,1,20,0.023810,0.476190,0,0.000000,{},pass
Q50711037,Novum Comum,9,9,0,0,0.000000,0.000000,0,0.000000,{},pass
Q50822621,Julio César,14,9,2,0,0.142857,0.000000,0,0.000000,{},pass
Q52750731,L. L. Giulio Cesare,9,9,0,8,0.000000,0.888889,0,0.000000,{},pass
Q52914955,Liceo G.Cesare - M.Valgimigli,10,9,0,7,0.000000,0.700000,0,0.000000,{},pass
Q56870106,,9,9,1,1,0.111111,0.111111,0,0.000000,{},pass
Q631476,Julius Caesar,11,11,0,8,0.000000,0.727273,0,0.000000,{},pass
Q63283650,HV Caesar,11,11,0,0,0.000000,0.000000,0,0.000000,{},pass
Q634719,Legio III Gallica,21,20,3,13,0.142857,0.619048,0,0.000000,{},pass
Q6416967,Lucca Conference,11,9,0,0,0.000000,0.000000,0,0.000000,{},pass
Q668691,Chaussée Jules César,13,11,0,0,0.000000,0.000000,0,0.000000,{},pass
Q6852241,military campaigns of Julius Caesar,6,6,0,0,0.000000,0.000000,0,0.000000,{},pass
Q70493194,Caesar,8,8,2,0,0.250000,0.000000,0,0.000000,{},pass
Q85087148,Avenue Jules César - Julius Caesarlaan,13,7,0,0,0.000000,0.000000,0,0.000000,{},pass
Q856968,Forum of Caesar,28,27,2,12,0.071429,0.428571,0,0.000000,{},pass
Q86215133,Pseudo-Caesar,27,22,2,6,0.074074,0.222222,0,0.000000,{},pass
Q875563,Giulio Cesare in Egitto,38,38,4,21,0.105263,0.552632,0,0.000000,{},pass
Q917212,Legio I Germanica,24,17,2,1,0.083333,0.041667,0,0.000000,{},pass
Q9358,Friedrich Nietzsche,522,369,56,153,0.107280,0.293103,0,0.000000,{},pass
