subject_concept_id,label,qid,discipline,agent_domain,primary_facet,primary_confidence,facet_tags,parent_subject_concept_id,description,priority,status,seed_qid
SC_Q17167_ROMAN_REPUBLIC,Roman Republic,Q17167,true,republic_agent,Political,0.98,Political|Military|Economic|Social|Legal|Temporal|Cultural,,Anchor concept for Republic agent domain and cross-facet routing,core,proposed,Q17167
SC_REPUBLICAN_GOVERNANCE,Republican governance,,true,republic_agent,Political,0.97,Political|Legal|Intellectual,SC_Q17167_ROMAN_REPUBLIC,Institutional form and constitutional structure of republican rule,core,proposed,Q17167
SC_SENATE_MAGISTRACIES,Senate and magistracies,,true,republic_agent,Political,0.95,Political|Legal|Social,SC_REPUBLICAN_GOVERNANCE,Executive and deliberative offices including consuls praetors and senate authority,core,proposed,Q17167
SC_POPULAR_ASSEMBLIES,Popular assemblies,,true,republic_agent,Political,0.93,Political|Legal|Social,SC_REPUBLICAN_GOVERNANCE,Comitia and plebeian institutions in legislation elections and legitimacy,high,proposed,Q17167
SC_ROMAN_LAW_CONSTITUTIONAL_CHANGE,Roman law and constitutional change,,true,republic_agent,Legal,0.94,Legal|Political|Intellectual|Temporal,SC_Q17167_ROMAN_REPUBLIC,Legal development and constitutional conflict across republican phases,core,proposed,Q17167
SC_MILITARY_EXPANSION,Roman military expansion,,true,republic_agent,Military,0.95,Military|Political|Geographic|Temporal,SC_Q17167_ROMAN_REPUBLIC,Expansion through conquest campaigns and strategic control,core,proposed,Q17167
SC_LEGION_ORGANIZATION_COMMAND,Legion organization and command,,true,republic_agent,Military,0.92,Military|Political|Social,SC_MILITARY_EXPANSION,Force structure command hierarchy and operational doctrine,high,proposed,Q17167
SC_PUNIC_HELLENISTIC_WARS,Punic and Hellenistic wars,,true,republic_agent,Military,0.93,Military|Political|Temporal|Geographic,SC_MILITARY_EXPANSION,Major interstate conflicts driving territorial transformation,core,proposed,Q17167
SC_LATE_REPUBLIC_CIVIL_WARS,Late republican civil wars,,true,republic_agent,Military,0.94,Military|Political|Social|Temporal,SC_MILITARY_EXPANSION,Internal wars that destabilized republican constitutional order,core,proposed,Q17167
SC_MEDITERRANEAN_TRADE_NETWORKS,Mediterranean trade networks,,true,republic_agent,Economic,0.90,Economic|Geographic|Political|Social,SC_Q17167_ROMAN_REPUBLIC,Commercial connectivity and maritime exchange under republican hegemony,core,proposed,Q17167
SC_ROMAN_COINAGE_MONETARY_ECONOMY,Roman coinage and monetary economy,,true,republic_agent,Economic,0.89,Economic|Political|Social,SC_MEDITERRANEAN_TRADE_NETWORKS,Monetary circulation fiscal signaling and payment infrastructure,high,proposed,Q17167
SC_LAND_TENURE_AGRARIAN_REFORM,Land tenure and agrarian reform,,true,republic_agent,Economic,0.90,Economic|Political|Social|Legal,SC_Q17167_ROMAN_REPUBLIC,Land distribution ownership conflict and reform politics,core,proposed,Q17167
SC_TAXATION_PROVINCIAL_EXTRACTION,Taxation and provincial extraction,,true,republic_agent,Economic,0.91,Economic|Political|Legal|Geographic,SC_MEDITERRANEAN_TRADE_NETWORKS,Revenue systems tribute and extraction mechanisms in provinces,core,proposed,Q17167
SC_PATRON_CLIENT_NETWORKS,Patron client networks,,true,republic_agent,Social,0.85,Social|Political|Economic|Cultural,SC_Q17167_ROMAN_REPUBLIC,Relational power networks linking elites dependents and institutions,high,proposed,Q17167
SC_CITIZENSHIP_LEGAL_STATUS,Citizenship and legal status,,true,republic_agent,Legal,0.90,Legal|Political|Social,SC_ROMAN_LAW_CONSTITUTIONAL_CHANGE,Inclusion exclusion and status regimes across persons and communities,core,proposed,Q17167
SC_PATRICIAN_PLEBEIAN_STRATIFICATION,Patrician plebeian stratification,,true,republic_agent,Social,0.87,Social|Political|Legal|Temporal,SC_Q17167_ROMAN_REPUBLIC,Class structure and long-run social conflict in republican society,high,proposed,Q17167
SC_SLAVERY_FREEDPERSONS,Slavery and freedpersons,,true,republic_agent,Social,0.88,Social|Economic|Legal|Cultural,SC_Q17167_ROMAN_REPUBLIC,Labor status regimes and manumission dynamics in republican economy,core,proposed,Q17167
