qid,label,property,statement_id,rank,datatype,snaktype,value_type,value,qualifier_count,qualifier_properties,reference_count,reference_properties
Q1048,Julius Caesar,P10297,Q1048$3ABA28D4-F307-4B0E-BE7C-C8C144B8CA40,normal,external-id,value,string,m041wm,0,,0,
Q1048,Julius Caesar,P1422,Q1048$C368EBB4-C0E6-4339-A21F-2594E4B25059,normal,external-id,value,string,628,0,,0,
Q1048,Julius Caesar,P244,q1048$50A57726-9FFD-4256-8F69-D16744EB26F8,normal,external-id,value,string,n79021400,0,,3,P143|P248|P7796|P813
Q1048,Julius Caesar,P1299,Q1048$dd28884b-453d-d7ce-41a2-4112c24bb842,normal,wikibase-item,value,wikibase-entityid,Q21055402,0,,0,
Q1048,Julius Caesar,P5025,Q1048$E84540A9-70DF-4DD5-A240-CE9624FA8775,normal,wikibase-item,value,wikibase-entityid,Q510193,0,,0,
Q1048,Julius Caesar,P3569,Q1048$C37F779C-C42C-444B-912D-ADB91CB5EFA9,normal,external-id,value,string,geschiedenis-oudheid/caesar,0,,0,
Q1048,Julius Caesar,P3373,Q1048$196FA1F9-C182-43CA-9A16-ACDF86409BE1,normal,wikibase-item,value,wikibase-entityid,Q2743448,1,P1545,3,P1480|P1810|P248|P6863|P813|P854
Q1048,Julius Caesar,P1343,Q1048$FB131CEA-F90C-4EE1-923A-951B7527DE8A,normal,wikibase-item,value,wikibase-entityid,Q46002746,2,P2699,0,
Q1048,Julius Caesar,P12098,Q1048$6830EEB7-E7B5-4945-A77B-06C74335B13F,normal,external-id,value,string,958875,0,,0,
Q1048,Julius Caesar,P1273,Q1048$BA19CB2E-F4CE-4004-AD91-8BB09E653FE0,normal,external-id,value,string,a10430179,0,,1,P214|P248
Q1048,Julius Caesar,P10757,Q1048$B5F8EDA3-857B-4658-8FD8-3834BDE1680E,normal,external-id,value,string,774,0,,1,P1476|P813|P854
Q1048,Julius Caesar,P1038,Q1048$9a5af6d2-4254-1b75-fd03-9f6b908dd4c1,normal,wikibase-item,value,wikibase-entityid,Q255870,1,P1039,0,
Q1048,Julius Caesar,P8472,Q1048$A45C8DC0-DE16-4360-995C-BF41D521D167,normal,external-id,value,string,1378,0,,0,
Q1048,Julius Caesar,P1017,Q1048$C903D6C2-5B83-43AA-9EB2-70933F9784F0,normal,external-id,value,string,ADV12225961,0,,0,
Q1048,Julius Caesar,P9498,Q1048$643FDE9A-D806-4113-8C12-251208249101,normal,external-id,value,string,36bb,0,,0,
Q1048,Julius Caesar,P2600,Q1048$c4007fdb-4cc4-f798-9d95-258f01a3973c,normal,external-id,value,string,6000000001336610897,0,,0,
Q1048,Julius Caesar,P19,q1048$E01A618C-1987-4087-A409-2F310CFD43A7,normal,wikibase-item,value,wikibase-entityid,Q220,1,P17,1,P248|P813
Q1048,Julius Caesar,P227,q1048$77BF2E28-3DDC-4C3D-810C-0AE5FF12CA70,normal,external-id,value,string,118518275,0,,3,P143|P248|P7796|P813
Q1048,Julius Caesar,P906,Q1048$485A9DCC-E0B2-4353-9B36-8A44D60EEDC7,normal,external-id,value,string,180826,0,,1,P143
Q1048,Julius Caesar,P245,Q1048$9A349339-96DF-4B48-89A7-F3C042DE0319,normal,external-id,value,string,500077373,0,,0,
Q1048,Julius Caesar,P3417,Q1048$CDBA4C08-89C0-4403-B314-B587F5A60314,normal,external-id,value,string,Julius-Caesar-historical-figure,0,,1,P248
Q1048,Julius Caesar,P8589,Q1048$24CC408C-CCB1-492A-A81C-87AD047C68B4,normal,external-id,value,string,A007937,0,,0,
Q1048,Julius Caesar,P463,Q1048$1a993a43-40e7-802d-9dc2-5b71953677f7,normal,wikibase-item,value,wikibase-entityid,Q715380,0,,0,
Q1048,Julius Caesar,P268,q1048$D8819BED-0F91-4317-BC44-D2A1833204A8,normal,external-id,value,string,11894764p,0,,1,P143
Q1048,Julius Caesar,P9223,Q1048$3F5B29B8-9BDD-4265-9880-4B6ADB710BBC,normal,external-id,value,string,b1faf8c3-589f-4100-ab8e-82d8ccc9521b,0,,0,
Q1048,Julius Caesar,P1417,Q1048$9DD3B13A-82E0-447B-90DD-8B9928F9F35D,normal,external-id,value,string,biography/Julius-Caesar-Roman-ruler,2,P1810|P2093,0,
Q1048,Julius Caesar,P1617,Q1048$CC353A1E-C436-49C3-BC3D-9E781CA92500,normal,external-id,value,string,fcf53b69-2e34-425a-933b-5796bd0cc897,0,,1,P248
Q1048,Julius Caesar,P140,Q1048$8cbe9793-453a-54f4-dbab-f318d4971ed0,normal,wikibase-item,value,wikibase-entityid,Q337547,0,,0,
Q1048,Julius Caesar,P3280,q1048$11318162-4149-de98-2557-e3744fea22f5,normal,external-id,value,string,0001493723,0,,1,P214|P248|P813
Q1048,Julius Caesar,P451,Q1048$5b1419ed-473b-749c-b0ff-843d158c3e30,normal,wikibase-item,value,wikibase-entityid,Q17505974,1,P3831,1,P248
Q1048,Julius Caesar,P6058,Q1048$c1546a8a-487c-17c6-1f20-78063fb9b131,normal,external-id,value,string,images/Jules_César/1005515,0,,0,
Q1048,Julius Caesar,P1711,Q1048$4A957661-0074-4E49-AEDD-F89B5BC1897C,normal,external-id,value,string,58909,0,,0,
Q1048,Julius Caesar,P6863,Q1048$d9d53d9d-42c9-80b3-b765-b6b9f7934f26,normal,external-id,value,string,1957,0,,0,
Q1048,Julius Caesar,P1035,Q1048$05eeb04b-4905-d498-961b-729deac8949f,normal,wikibase-item,value,wikibase-entityid,Q928994,0,,0,
Q1048,Julius Caesar,P3987,Q1048$CADB22C8-339C-45C1-AA4C-0FEA6139F48E,normal,external-id,value,string,544911,0,,0,
Q1048,Julius Caesar,P12040,Q1048$CD718132-7945-497D-AF57-2EB2653E8136,normal,external-id,value,string,person/104MKQ,1,P1810,1,P854
Q1048,Julius Caesar,P40,Q1048$7B1A29E3-3619-4FD5-9D53-06770F5F315C,normal,wikibase-item,value,wikibase-entityid,Q1405,4,P1039|P1545|P22|P25,1,P854
Q1048,Julius Caesar,P12385,Q1048$5eb93d26-c135-4b4a-a69f-9952b24d2e37,normal,external-id,value,string,gai-juli-cesar,0,,0,
Q1048,Julius Caesar,P13019,Q1048$C7434C1B-2C70-413C-B2D6-BAF6E50B1E84,normal,external-id,value,string,116995,0,,0,
Q1048,Julius Caesar,P39,Q1048$36337B45-2468-438A-823D-0FA45CECFEC8,normal,wikibase-item,value,wikibase-entityid,Q189430,2,P580|P582,0,
Q1048,Julius Caesar,P9943,Q1048$13BEC7AE-E3B4-4507-AB0F-32A6D29AFFEE,normal,external-id,value,string,person/697805117105,0,,1,P248
Q1048,Julius Caesar,P451,Q1048$a69f7dcd-401d-0bb3-1b9d-d1fd4684e722,normal,wikibase-item,value,wikibase-entityid,Q273616,1,P3831,1,P248
Q1048,Julius Caesar,P18,Q1048$9aa56f1b-47de-375f-87fe-4d3491384bb7,normal,commonsMedia,value,string,Retrato de Julio César (26724093101) (cropped).jpg,0,,0,
Q1048,Julius Caesar,P10608,Q1048$5B802BDB-14F2-43D3-99A5-B3DB5BE707C4,normal,external-id,value,string,agent/gnd_118518275,0,,0,
Q1048,Julius Caesar,P1343,Q1048$2C08AC2E-EF82-4B7E-8D29-5E0C1B4FB169,normal,wikibase-item,value,wikibase-entityid,Q1029706,1,P805,0,
Q1048,Julius Caesar,P1899,Q1048$85FEC1A1-C922-41FF-A4EC-252141B7DE00,normal,external-id,value,string,2012,0,,1,P143
Q1048,Julius Caesar,P12458,Q1048$1B5C9635-4A6B-4111-AC2F-5F612859C523,normal,external-id,value,string,232230,1,P1810,1,P3452
Q1048,Julius Caesar,P5247,Q1048$1510293B-A507-4C3D-867F-EB708E2ADD05,normal,external-id,value,string,3005-2196,0,,0,
Q1048,Julius Caesar,P451,Q1048$507e82cd-4d1e-b595-3d23-68a30c2d4f90,normal,wikibase-item,value,wikibase-entityid,Q11942281,2,P3831|P5102,0,
Q1048,Julius Caesar,P451,Q1048$3009ebad-4721-0c46-6dd8-b088e903cd81,normal,wikibase-item,value,wikibase-entityid,Q440420,4,P12506|P3831|P580|P582,1,P248
Q1048,Julius Caesar,P1889,Q1048$9867cdf8-4094-6a28-9373-3538782e8598,normal,wikibase-item,value,wikibase-entityid,Q242174,0,,0,
