property,statement_count,datatypes,value_types,with_qualifiers,with_references,qualifier_rate,reference_rate
P1343,17,"{""wikibase-item"": 17}","{""wikibase-entityid"": 17}",13,2,0.7647058823529411,0.11764705882352941
P39,16,"{""wikibase-item"": 16}","{""wikibase-entityid"": 16}",16,3,1.0,0.1875
P451,15,"{""wikibase-item"": 15}","{""wikibase-entityid"": 15}",15,8,1.0,0.5333333333333333
P106,10,"{""wikibase-item"": 10}","{""wikibase-entityid"": 10}",0,5,0.0,0.5
P1299,7,"{""wikibase-item"": 7}","{""wikibase-entityid"": 7}",0,3,0.0,0.42857142857142855
P1017,5,"{""external-id"": 5}","{""string"": 5}",0,0,0.0,0.0
P12800,5,"{""external-id"": 5}","{""string"": 5}",0,0,0.0,0.0
P157,5,"{""wikibase-item"": 5}","{""wikibase-entityid"": 5}",0,0,0.0,0.0
P2799,5,"{""external-id"": 5}","{""string"": 5}",0,1,0.0,0.2
P214,4,"{""external-id"": 4}","{""string"": 4}",1,2,0.25,0.5
P569,4,"{""time"": 4}","{""time"": 4}",2,4,0.5,1.0
P1038,3,"{""wikibase-item"": 3}","{""wikibase-entityid"": 3}",3,1,1.0,0.3333333333333333
P1049,3,"{""wikibase-item"": 3}","{""wikibase-entityid"": 3}",0,0,0.0,0.0
P1889,3,"{""wikibase-item"": 3}","{""wikibase-entityid"": 3}",0,0,0.0,0.0
P26,3,"{""wikibase-item"": 3}","{""wikibase-entityid"": 3}",3,3,1.0,1.0
P2966,3,"{""external-id"": 3}","{""string"": 3}",0,0,0.0,0.0
P3909,3,"{""monolingualtext"": 3}","{""monolingualtext"": 3}",3,3,1.0,1.0
P40,3,"{""wikibase-item"": 3}","{""wikibase-entityid"": 3}",3,3,1.0,1.0
P8750,3,"{""external-id"": 3}","{""string"": 3}",0,0,0.0,0.0
P10242,2,"{""external-id"": 2}","{""string"": 2}",2,0,1.0,0.0
P10565,2,"{""external-id"": 2}","{""string"": 2}",2,0,1.0,0.0
P11790,2,"{""external-id"": 2}","{""string"": 2}",0,2,0.0,1.0
P1412,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",0,1,0.0,0.5
P1559,2,"{""monolingualtext"": 2}","{""monolingualtext"": 2}",2,0,1.0,0.0
P166,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",2,0,1.0,0.0
P1807,2,"{""external-id"": 2}","{""string"": 2}",0,0,0.0,0.0
P2925,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",0,0,0.0,0.0
P3373,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",2,2,1.0,1.0
P3430,2,"{""external-id"": 2}","{""string"": 2}",0,0,0.0,0.0
P3762,2,"{""external-id"": 2}","{""string"": 2}",0,0,0.0,0.0
P3847,2,"{""external-id"": 2}","{""string"": 2}",0,0,0.0,0.0
P3987,2,"{""external-id"": 2}","{""string"": 2}",0,0,0.0,0.0
P410,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",1,0,0.5,0.0
P4342,2,"{""external-id"": 2}","{""string"": 2}",1,1,0.5,0.5
P4619,2,"{""external-id"": 2}","{""string"": 2}",0,0,0.0,0.0
P5008,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",1,0,0.5,0.0
P53,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",1,1,0.5,0.5
P5390,2,"{""external-id"": 2}","{""string"": 2}",0,0,0.0,0.0
P570,2,"{""time"": 2}","{""time"": 2}",1,2,0.5,1.0
P6058,2,"{""external-id"": 2}","{""string"": 2}",0,0,0.0,0.0
P607,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",0,0,0.0,0.0
P6379,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",0,2,0.0,1.0
P7029,2,"{""external-id"": 2}","{""string"": 2}",0,0,0.0,0.0
P7047,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",0,0,0.0,0.0
P793,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",1,0,0.5,0.0
P800,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",0,0,0.0,0.0
P8848,2,"{""external-id"": 2}","{""string"": 2}",0,0,0.0,0.0
P9282,2,"{""external-id"": 2}","{""string"": 2}",0,0,0.0,0.0
P1003,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P10031,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P1005,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P1006,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
