property,statement_count,datatypes,value_types,with_qualifiers,with_references,qualifier_rate,reference_rate
P793,7,"{""wikibase-item"": 7}","{""wikibase-entityid"": 7}",0,0,0.0,0.0
P31,4,"{""wikibase-item"": 4}","{""wikibase-entityid"": 4}",1,0,0.25,0.0
P30,3,"{""wikibase-item"": 3}","{""wikibase-entityid"": 3}",0,0,0.0,0.0
P527,3,"{""wikibase-item"": 3}","{""wikibase-entityid"": 3}",0,0,0.0,0.0
P1366,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",0,0,0.0,0.0
P156,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",0,0,0.0,0.0
P194,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",0,0,0.0,0.0
P2046,2,"{""quantity"": 2}","{""quantity"": 2}",2,2,1.0,1.0
P2936,2,"{""wikibase-item"": 2}","{""wikibase-entityid"": 2}",0,2,0.0,1.0
P3219,2,"{""external-id"": 2}","{""string"": 2}",0,0,0.0,0.0
P11835,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P122,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",0,1,0.0,1.0
P1245,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P12800,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P1282,1,"{""string"": 1}","{""string"": 1}",0,0,0.0,0.0
P13591,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P1365,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",0,0,0.0,0.0
P140,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",0,1,0.0,1.0
P1417,1,"{""external-id"": 1}","{""string"": 1}",1,0,1.0,0.0
P1448,1,"{""monolingualtext"": 1}","{""monolingualtext"": 1}",1,1,1.0,1.0
P155,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",0,0,0.0,0.0
P1617,1,"{""external-id"": 1}","{""string"": 1}",0,1,0.0,1.0
P1792,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",0,0,0.0,0.0
P1889,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",1,0,1.0,0.0
P1900,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P2348,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",0,0,0.0,0.0
P242,1,"{""commonsMedia"": 1}","{""string"": 1}",1,1,1.0,1.0
P244,1,"{""external-id"": 1}","{""string"": 1}",1,1,1.0,1.0
P2581,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P268,1,"{""external-id"": 1}","{""string"": 1}",1,0,1.0,0.0
P2950,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P3075,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",0,1,0.0,1.0
P3222,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P3417,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P3553,1,"{""external-id"": 1}","{""string"": 1}",1,0,1.0,0.0
P36,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",0,1,0.0,1.0
P361,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",0,0,0.0,0.0
P37,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",0,0,0.0,0.0
P373,1,"{""string"": 1}","{""string"": 1}",0,1,0.0,1.0
P38,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",0,1,0.0,1.0
P41,1,"{""commonsMedia"": 1}","{"""": 1}",0,0,0.0,0.0
P4212,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P4839,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P5008,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",1,0,1.0,0.0
P5063,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P571,1,"{""time"": 1}","{""time"": 1}",1,1,1.0,1.0
P576,1,"{""time"": 1}","{""time"": 1}",0,1,0.0,1.0
P580,1,"{""time"": 1}","{""time"": 1}",1,0,1.0,0.0
P582,1,"{""time"": 1}","{""time"": 1}",1,0,1.0,0.0
P625,1,"{""globe-coordinate"": 1}","{""globecoordinate"": 1}",0,1,0.0,1.0
P6366,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P646,1,"{""external-id"": 1}","{""string"": 1}",0,1,0.0,1.0
P6839,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P8168,1,"{""external-id"": 1}","{""string"": 1}",0,1,0.0,1.0
P8189,1,"{""external-id"": 1}","{""string"": 1}",0,1,0.0,1.0
P8814,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P8895,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P9000,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
P910,1,"{""wikibase-item"": 1}","{""wikibase-entityid"": 1}",0,0,0.0,0.0
P94,1,"{""commonsMedia"": 1}","{"""": 1}",0,0,0.0,0.0
P9957,1,"{""external-id"": 1}","{""string"": 1}",0,0,0.0,0.0
