p31,p31Label,cnt
http://www.wikidata.org/entity/Q41207,coin,25
http://www.wikidata.org/entity/Q113813711,coin type,24
http://www.wikidata.org/entity/Q5,human,16
http://www.wikidata.org/entity/Q13433827,encyclopedia article,7
http://www.wikidata.org/entity/Q11424,film,6
http://www.wikidata.org/entity/Q5398426,television series,3
http://www.wikidata.org/entity/Q3305213,painting,3
http://www.wikidata.org/entity/Q506240,television film,2
http://www.wikidata.org/entity/Q7725634,literary work,2
http://www.wikidata.org/entity/Q163323,Roman legion,2
http://www.wikidata.org/entity/Q839954,archaeological site,2
http://www.wikidata.org/entity/Q15632617,fictional human,2
http://www.wikidata.org/entity/Q4167836,Wikimedia category,2
http://www.wikidata.org/entity/Q1406161,artistic theme,2
http://www.wikidata.org/entity/Q56248884,Wikidata property related to the Ancient World,1
http://www.wikidata.org/entity/Q878249,alliance,1
http://www.wikidata.org/entity/Q19757,Roman theatre,1
http://www.wikidata.org/entity/Q19860854,destroyed building or structure,1
http://www.wikidata.org/entity/Q21752084,Roman archaeological site,1
http://www.wikidata.org/entity/Q8465,civil war,1
http://www.wikidata.org/entity/Q594648,exedra,1
http://www.wikidata.org/entity/Q5194727,curia,1
http://www.wikidata.org/entity/Q1114461,comics character,1
http://www.wikidata.org/entity/Q892492,third-rate,1
http://www.wikidata.org/entity/Q15773317,television character,1
http://www.wikidata.org/entity/Q321839,agreement,1
http://www.wikidata.org/entity/Q93288,contract,1
http://www.wikidata.org/entity/Q2202509,Roman city,1
http://www.wikidata.org/entity/Q26198154,civitas stipendaria,1
http://www.wikidata.org/entity/Q526877,web series,1
http://www.wikidata.org/entity/Q220659,archaeological artefact,1
http://www.wikidata.org/entity/Q476078,aureus,1
http://www.wikidata.org/entity/Q1580166,dictionary entry,1
http://www.wikidata.org/entity/Q1760610,comic book,1
http://www.wikidata.org/entity/Q179700,statue,1
http://www.wikidata.org/entity/Q782970,domus,1
http://www.wikidata.org/entity/Q27916659,former place,1
http://www.wikidata.org/entity/Q93184,drawing,1
http://www.wikidata.org/entity/Q2520735,government reorganization,1
http://www.wikidata.org/entity/Q241045,bust,1
http://www.wikidata.org/entity/Q24336466,mythical event,1
http://www.wikidata.org/entity/Q13418847,historical event,1
