category,relationship_type,description,wikidata_property,directionality,parent_relationship,specificity_level,lcc_code,lcsh_heading,fast_id,status,note,source,version,lifecycle_status
Application,DERIVED_FROM,Material extracted or derived from source organism,,forward,,1,T,Technology,1145002,active,Material extraction from biological source,discovery_schema,1.0,candidate
Application,DERIVES_MATERIAL,Source organism used to derive material,,inverse,,1,T,Technology,1145002,active,Inverse of DERIVED_FROM,discovery_schema,1.0,candidate
Application,DYED_BY,Dye used to dye object,,inverse,,1,T,Technology,1145002,active,Inverse of DYED_WITH,discovery_schema,1.0,candidate
Application,DYED_WITH,Object dyed with dye or pigment,,forward,,1,T,Technology,1145002,active,Dyeing/tinting relationship,discovery_schema,1.0,candidate
Application,MATERIAL_IN,Material used in,P186,inverse,,1,T,Technology,1145002,active,,bidirectional_csv,1.0,implemented
Application,MATERIAL_USED,Made from,P186,forward,,1,T,Technology,1145002,active,,bidirectional_csv,1.0,implemented
Application,PRODUCED_IN,Material produced or manufactured in location,,forward,,1,T,Technology,1145002,active,Production location for materials,discovery_schema,1.0,candidate
Application,PRODUCES_MATERIAL,Location produces this material,,inverse,,1,T,Technology,1145002,active,Inverse of PRODUCED_IN,discovery_schema,1.0,candidate
Application,USE,Used for,P366,forward,,1,T,Technology,1145002,active,,bidirectional_csv,1.0,implemented
Application,USED_BY,Used by entity,P366,inverse,,1,T,Technology,1145002,active,,bidirectional_csv,1.0,implemented
Attribution,ANALYZES,Citation provides analysis of entity,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented
Attribution,ATTRIBUTED_TO,Citation attributed to author,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented
Attribution,DESCRIBES,Citation describes entity/event,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented
Attribution,EXTRACTED_FROM,Citation extracted from work,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented
Attribution,INTERPRETS,Citation interprets entity/event,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented
Attribution,MENTIONS,Citation mentions entity,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented
Attribution,NAME,Has name,P2561,unidirectional,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented
