category,relationship_type,description,wikidata_property,directionality,parent_relationship,specificity_level,lcc_code,lcsh_heading,fast_id,status,note,source,version,lifecycle_status,reify_as,cidoc_crm_code,cidoc_crm_kind,wikidata_label,crminf_applicable,mapping_source,research_priority,recommended_scope
Attribution,ANALYZES,Citation provides analysis of entity,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented,OPTIONAL_EVENT,I5_Inference_Making + J3,,,true,relationship_types_seed.cypher,high,Consider CRMinf/CIDOC relation before Wikidata P mapping
Attribution,ATTRIBUTED_TO,Citation attributed to author,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented,OPTIONAL_EVENT,I7_Belief_Adoption + J6,,,true,relationship_types_seed.cypher,high,Consider CRMinf/CIDOC relation before Wikidata P mapping
Attribution,DESCRIBES,Citation describes entity/event,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented,OPTIONAL_EVENT,I7_Belief_Adoption + J7,,,true,relationship_types_seed.cypher,high,Consider CRMinf/CIDOC relation before Wikidata P mapping
Attribution,EXTRACTED_FROM,Citation extracted from work,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented,OPTIONAL_EVENT,I7_Belief_Adoption + J6,,,true,relationship_types_seed.cypher,high,Consider CRMinf/CIDOC relation before Wikidata P mapping
Attribution,INTERPRETS,Citation interprets entity/event,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented,OPTIONAL_EVENT,I5_Inference_Making + J3,,,true,relationship_types_seed.cypher,high,Consider CRMinf/CIDOC relation before Wikidata P mapping
Attribution,MENTIONS,Citation mentions entity,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented,OPTIONAL_EVENT,I7_Belief_Adoption + J7,,,true,relationship_types_seed.cypher,high,Consider CRMinf/CIDOC relation before Wikidata P mapping
Attribution,QUOTES,Citation is direct quote from source,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented,OPTIONAL_EVENT,I7_Belief_Adoption + J7,,,true,relationship_types_seed.cypher,high,Consider CRMinf/CIDOC relation before Wikidata P mapping
Attribution,SUMMARIZES,Citation summarizes entity/event,,forward,,1,Z,Bibliography,831351,active,,bidirectional_csv,1.0,implemented,OPTIONAL_EVENT,I7_Belief_Adoption + J7,,,true,relationship_types_seed.cypher,high,Consider CRMinf/CIDOC relation before Wikidata P mapping
Authorship,COMMISSIONED,Commissioned creation of work,,forward,,2,PN,Authorship,821688,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Authorship,COMMISSIONED_BY,Work commissioned by,,inverse,,2,PN,Authorship,821688,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Causality,ACTION_JUSTIFIED_BY,Action justified by claim,,inverse,CAUSED,2,BD,Causation,849680,active,,bidirectional_csv,1.0,implemented,PROPERTY,P17_was_motivated_by,PROPERTY,Motivation,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Causality,JUSTIFIED_ACTION,Claimed justification for action,,forward,CAUSED,2,BD,Causation,849680,active,,bidirectional_csv,1.0,implemented,PROPERTY,P17i_motivated,PROPERTY,(Inverse motivation),false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Causality,MARKED_START,Event marked beginning of new period,,forward,CAUSED,2,BD,Causation,849680,active,,bidirectional_csv,1.0,implemented,PROPERTY,P134_continued,PROPERTY,Continuity relation,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Causality,START_MARKED_BY,Period had its beginning marked by event,,inverse,CAUSED,2,BD,Causation,849680,active,,bidirectional_csv,1.0,implemented,PROPERTY,P134i_was_continued_by,PROPERTY,(Inverse continuity),false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Cultural,ASSIMILATED,Culture that absorbed another group,,inverse,,1,GN,Culture,885059,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Cultural,ASSIMILATED_TO,Group/people assimilated into another culture,,forward,,1,GN,Culture,885059,active,,extraction_appendix,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Cultural,CLAIMS_HERITAGE_FROM,Group claims heritage from earlier polity,,forward,,1,GN,Culture,885059,active,,bidirectional_csv,1.0,implemented,EVENT,E7_Activity,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
Cultural,EVOLVED_FROM,Form evolved from another form,,inverse,,1,GN,Culture,885059,active,,bidirectional_csv,1.0,implemented,EVENT,E81_Transformation,CLASS,,false,relationship_types_seed.cypher,high,May require no direct Wikidata property or custom relation
