
item,itemLabel,itemDescription,enwiki,period,periodLabel,start,end,instance,instanceLabel
http://www.wikidata.org/entity/Q5748082,Canton of Tedote,"Guanche canton of La Palma, Canary Islands",,http://www.wikidata.org/entity/Q219995,Guanches,http://www.wikidata.org/.well-known/genid/12c6e603ff6e0158cd3d1bff258be399,1493-05-12T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q3517541,Temple of Bêl,"temple building located on the northwest side of Dura-Europos, Syria","Temple of Bel, Dura-Europos",http://www.wikidata.org/entity/Q123437479,"Roman Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/174787c6c373d2336d1e0342e07b6af6,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q44539,temple
http://www.wikidata.org/entity/Q3517541,Temple of Bêl,"temple building located on the northwest side of Dura-Europos, Syria","Temple of Bel, Dura-Europos",http://www.wikidata.org/entity/Q123438122,"Arsacid Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/174787c6c373d2336d1e0342e07b6af6,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q44539,temple
http://www.wikidata.org/entity/Q3517541,Temple of Bêl,"temple building located on the northwest side of Dura-Europos, Syria","Temple of Bel, Dura-Europos",http://www.wikidata.org/entity/Q123437479,"Roman Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/174787c6c373d2336d1e0342e07b6af6,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q109607,ruins
http://www.wikidata.org/entity/Q3517541,Temple of Bêl,"temple building located on the northwest side of Dura-Europos, Syria","Temple of Bel, Dura-Europos",http://www.wikidata.org/entity/Q123438122,"Arsacid Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/174787c6c373d2336d1e0342e07b6af6,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q109607,ruins
http://www.wikidata.org/entity/Q3517541,Temple of Bêl,"temple building located on the northwest side of Dura-Europos, Syria","Temple of Bel, Dura-Europos",http://www.wikidata.org/entity/Q123437479,"Roman Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/174787c6c373d2336d1e0342e07b6af6,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q210272,cultural heritage
http://www.wikidata.org/entity/Q3517541,Temple of Bêl,"temple building located on the northwest side of Dura-Europos, Syria","Temple of Bel, Dura-Europos",http://www.wikidata.org/entity/Q123438122,"Arsacid Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/174787c6c373d2336d1e0342e07b6af6,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q210272,cultural heritage
http://www.wikidata.org/entity/Q3517541,Temple of Bêl,"temple building located on the northwest side of Dura-Europos, Syria","Temple of Bel, Dura-Europos",http://www.wikidata.org/entity/Q123437479,"Roman Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/174787c6c373d2336d1e0342e07b6af6,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q814254,feature
http://www.wikidata.org/entity/Q3517541,Temple of Bêl,"temple building located on the northwest side of Dura-Europos, Syria","Temple of Bel, Dura-Europos",http://www.wikidata.org/entity/Q123438122,"Arsacid Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/174787c6c373d2336d1e0342e07b6af6,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q814254,feature
http://www.wikidata.org/entity/Q3517541,Temple of Bêl,"temple building located on the northwest side of Dura-Europos, Syria","Temple of Bel, Dura-Europos",http://www.wikidata.org/entity/Q123437479,"Roman Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/174787c6c373d2336d1e0342e07b6af6,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q839954,archaeological site
http://www.wikidata.org/entity/Q3517541,Temple of Bêl,"temple building located on the northwest side of Dura-Europos, Syria","Temple of Bel, Dura-Europos",http://www.wikidata.org/entity/Q123438122,"Arsacid Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/174787c6c373d2336d1e0342e07b6af6,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q839954,archaeological site
http://www.wikidata.org/entity/Q3517541,Temple of Bêl,"temple building located on the northwest side of Dura-Europos, Syria","Temple of Bel, Dura-Europos",http://www.wikidata.org/entity/Q123437479,"Roman Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/174787c6c373d2336d1e0342e07b6af6,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2065736,cultural property
http://www.wikidata.org/entity/Q3517541,Temple of Bêl,"temple building located on the northwest side of Dura-Europos, Syria","Temple of Bel, Dura-Europos",http://www.wikidata.org/entity/Q123438122,"Arsacid Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/174787c6c373d2336d1e0342e07b6af6,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2065736,cultural property
http://www.wikidata.org/entity/Q9904423,Dapeng,state during the late Shang dynasty,Dapeng (state),http://www.wikidata.org/entity/Q11761,Bronze Age,http://www.wikidata.org/.well-known/genid/45e555cb438320bdca0b79168a9b7209,-1059-01-01T00:00:00Z,http://www.wikidata.org/entity/Q836688,ancient Chinese state
http://www.wikidata.org/entity/Q10971,Gallia Lugdunensis,province of the Roman Empire (area now part of France),Gallia Lugdunensis,http://www.wikidata.org/entity/Q2277,Roman Empire,http://www.wikidata.org/.well-known/genid/490e2a059cf2c715cc93620f5e919f79,0486-01-01T00:00:00Z,http://www.wikidata.org/entity/Q182547,Roman province
http://www.wikidata.org/entity/Q5748085,Canton of Tigalate,,,http://www.wikidata.org/entity/Q219995,Guanches,http://www.wikidata.org/.well-known/genid/9d7d96337d60ca96143fa60bd0c30247,1493-05-12T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q11330143,hinamori,Ancient Japanese title,Hinamori (official),http://www.wikidata.org/entity/Q207858,Yayoi period,http://www.wikidata.org/.well-known/genid/b8dfa2c241a210057ce048e50307bf5e,http://www.wikidata.org/.well-known/genid/7a9cd00b12df434f3acc2b9aa40f7dbf,http://www.wikidata.org/entity/Q11452125,East Asian government position
http://www.wikidata.org/entity/Q11330143,hinamori,Ancient Japanese title,Hinamori (official),http://www.wikidata.org/entity/Q207858,Yayoi period,http://www.wikidata.org/.well-known/genid/b8dfa2c241a210057ce048e50307bf5e,http://www.wikidata.org/.well-known/genid/7a9cd00b12df434f3acc2b9aa40f7dbf,http://www.wikidata.org/entity/Q16631188,military position
http://www.wikidata.org/entity/Q21280826,Q21280826,,,http://www.wikidata.org/entity/Q185047,Spring and Autumn period,http://www.wikidata.org/.well-known/genid/ba677e0d9971ac45e74310a094a44928,http://www.wikidata.org/.well-known/genid/844a784aa76c8aabb3e49c2f4d462085,http://www.wikidata.org/entity/Q836688,ancient Chinese state
http://www.wikidata.org/entity/Q86664800,Temple in Block X7,small temple located to the northeast inside the military sector at Dura-Europos,Dolicheneum,http://www.wikidata.org/entity/Q123437479,"Roman Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/ce4c1e958dd1b678f09dee6cefd76236,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q44539,temple
http://www.wikidata.org/entity/Q86664800,Temple in Block X7,small temple located to the northeast inside the military sector at Dura-Europos,Dolicheneum,http://www.wikidata.org/entity/Q123437479,"Roman Period, Dura-Europos (Syria)",http://www.wikidata.org/.well-known/genid/ce4c1e958dd1b678f09dee6cefd76236,0256-01-01T00:00:00Z,http://www.wikidata.org/entity/Q109607,ruins
