qid,qid_label,cip_id,cip_label
Q11451,agriculture,01.0000,"Agriculture, General."
Q3606845,agricultural science,01.0101,"Agricultural Business and Management, General."
Q396622,agribusiness,01.0102,Agribusiness/Agricultural Business Operations.
Q396340,agricultural economics,01.0103,Agricultural Economics.
Q131596,farm,01.0104,Farm/Farm and Ranch Management.
Q131596,farm,01.0105,Agricultural/Farm Supplies Retailing and Wholesaling.
,,01.0106,Agricultural Business Technology.
Q1520981,mechanised agriculture,01.0201,"Agricultural Mechanization, General."
,,01.0204,Agricultural Power Machinery Operation.
,,01.0205,Agricultural Mechanics and Equipment/Machine Technology.
,,01.0301,"Agricultural Production Operations, General."
Q729,Animalia,01.0302,Animal/Livestock Husbandry and Production.
Q4782629,Aquaculture,01.0303,Aquaculture.
Q1283714,crop production,01.0304,Crop Production.
,,01.0306,Dairy Husbandry and Production.
Q1520089,horse care,01.0307,Horse Husbandry/Equine Science and Management.
,,01.0308,Agroecology and Sustainable Agriculture.
Q110735073,oenology and viticulture,01.0309,Viticulture and Enology.
,,01.0401,Agricultural and Food Products Processing.
Q144,dog,01.0504,Dog/Pet/Animal Grooming.
Q1193939,animal training,01.0505,Animal Training.
Q2730732,equestrian,01.0507,Equestrian/Equine Studies.
Q243237,taxidermy,01.0508,Taxidermy/Taxidermist.
,,01.0601,"Applied Horticulture/Horticulture Operations, General."
Q50817636,Ornamental Horticulture,01.0603,Ornamental Horticulture.
,,01.0604,Greenhouse Operations and Management.
,,01.0605,Landscaping and Groundskeeping.
,,01.0606,Plant Nursery Operations and Management.
,,01.0607,Turf and Turfgrass Management.
Q199169,floriculture,01.0608,Floriculture/Floristry Operations and Management.
Q60125178,International Agriculture,01.0701,International Agriculture.
,,01.0801,Agricultural and Extension Education Services.
Q4693953,agricultural communication,01.0802,Agricultural Communication/Journalism.
Q168091,animal science,01.0901,"Animal Sciences, General."
,,01.0902,Agricultural Animal Breeding.
Q64812946,animal health,01.0903,Animal Health.
Q51915142,Animal Nutrition,01.0904,Animal Nutrition.
