property_id,property_label,first_seen_in_chunk
P31,instance of,chunk_01
P279,subclass of,chunk_01
P361,part of,chunk_01
P101,field of work,chunk_01
P2579,studied by,chunk_01
P921,main subject,chunk_01
P527,has part,chunk_01
P2283,uses,chunk_01
P366,has use,chunk_01
P1889,different from,chunk_01
P1343,described by source,chunk_01
P1269,facet of,chunk_01
P1268,represents,chunk_01
P2578,studies,chunk_01
P228,has cause,chunk_01
P155,preceded by,chunk_01
P156,followed by,chunk_01
P170,inventor,chunk_01
P176,manufacturer,chunk_01
P178,developer,chunk_01
P279,subclass of,chunk_02
P361,part of,chunk_02
P527,has part,chunk_02
P138,named after,chunk_02
P1889,different from,chunk_02
P2579,studied by,chunk_02
P101,field of work,chunk_02
P921,main subject,chunk_02
P2578,studies,chunk_02
P366,has use,chunk_02
P2283,uses,chunk_02
P2348,time period,chunk_03
P580,start time,chunk_03
P582,end time,chunk_03
P585,point in time,chunk_03
P155,preceded by,chunk_03
P156,followed by,chunk_03
P793,significant event,chunk_03
P276,location,chunk_03
P17,country,chunk_03
P131,located in the administrative territorial entity,chunk_03
P625,coordinate location,chunk_03
P2043,length,chunk_04
P2048,surface area,chunk_04
P2049,width,chunk_04
P2054,density,chunk_04
P2068,thermal conductivity,chunk_04
P2101,melting point,chunk_04
P2102,boiling point,chunk_04
P2325,mean age,chunk_05
P2326,geological period,chunk_05
P2327,geological formation,chunk_05
P4511,environmental impact,chunk_06
P4512,hazard,chunk_06
P4513,risk factor,chunk_06
P215,spectral class,chunk_07
P2114,half-life,chunk_07
P2115,radius,chunk_07
P2120,speed,chunk_07
P1538,number of households,chunk_08
P1539,female population,chunk_08
P1540,male population,chunk_08
P2669,discharge,chunk_08
P1419,shape,chunk_09
P1880,measured by,chunk_09
