cip_id,cip_label,cip_header,cip_category,cip_subclass,cip_level,qid,qid_label,qid_description,P31_qids,P31_labels,P279_qids,P279_labels,P361_qids,P361_labels,P101_qids,P101_labels,P2579_qids,P2579_labels,P921_qids,P921_labels,P527_qids,P527_labels,P2283_qids,P2283_labels,P366_qids,P366_labels,P1889_qids,P1889_labels,P1343_qids,P1343_labels,P1269_qids,P1269_labels,P1268_qids,P1268_labels,P2578_qids,P2578_labels,P228_qids,P228_labels,P155_qids,P155_labels,P156_qids,P156_labels,P170_qids,P170_labels,P176_qids,P176_labels,P178_qids,P178_labels,P138_qids,P138_labels,P2348_qids,P2348_labels,P580_qids,P580_labels,P582_qids,P582_labels,P585_qids,P585_labels,P793_qids,P793_labels,P276_qids,P276_labels,P17_qids,P17_labels,P131_qids,P131_labels,P625_qids,P625_labels,P2043_qids,P2043_labels,P2048_qids,P2048_labels,P2049_qids,P2049_labels,P2054_qids,P2054_labels,P2068_qids,P2068_labels,P2101_qids,P2101_labels,P2102_qids,P2102_labels,P2325_qids,P2325_labels,P2326_qids,P2326_labels,P2327_qids,P2327_labels,P4511_qids,P4511_labels,P4512_qids,P4512_labels,P4513_qids,P4513_labels,P215_qids,P215_labels,P2114_qids,P2114_labels,P2115_qids,P2115_labels,P2120_qids,P2120_labels,P1538_qids,P1538_labels,P1539_qids,P1539_labels,P1540_qids,P1540_labels,P2669_qids,P2669_labels,P1419_qids,P1419_labels,P1880_qids,P1880_labels,node_type,subject_type,broader_than,broader_than_label,narrower_than,narrower_than_label
01.0101,"Agricultural Business and Management, General.",01,01,01,6-digit,Q3606845,agricultural science,academic field about agriculture and farming,Q11862829,academic discipline,Q441,botany,,,,,,,,,,,,,,,Q173113,agronomy,Q19219752,"Meyers Konversations-Lexikon, 4th edition (1885–1890)",,,,,Q1402889,agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q2920921,management,Q396152,agrometeorology
01.0309,Viticulture and Enology.,01,03,09,6-digit,Q110735073,oenology and viticulture,field of study and research,Q1047113,field of study,Q3606845,agricultural science,,,,,,,,,Q253140,viticulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q3606845,agricultural science,Q253140,viticulture
01.0901,"Animal Sciences, General.",01,09,01,6-digit,Q168091,animal science,"science and business of producing domestic livestock species, including but not limited to beef cattle, dairy cattle, horses, poultry, sheep, and swine, and of nutrition, care, and welfare of companion animals",Q2465832,branch of science,Q3606845,agricultural science,,,,,,,,,,,,,,,Q431,zoology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q3606845,agricultural science,Q80962,animal husbandry
03.0103,Environmental Studies.,03,01,03,6-digit,Q5381367,environmental studies,multidisciplinary academic field which systematically studies human interaction with the environment in the interests of solving complex problems,Q2465832,branch of science,Q1071,geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q1071,geography,Q1049876,environmental security
05.0103,Asian Studies/Civilization.,05,01,03,6-digit,Q476294,oriental studies,"study of Asia and Asian history, cultures, languages, peoples, etc.",Q4671286,academic major,Q928786,area studies,,,,,,,,,Q3621186,Arabic studies,,,,,Q42865,Orientalism,Q4532135,Encyclopedic Lexicon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q928786,area studies,Q8427,Turkology
05.0104,East Asian Studies.,05,01,04,6-digit,Q162817,East Asian studies,field of scholarly enquiry and education about East Asia,Q627436,field of work,Q4806809,Asian studies,,,,,,,,,,,,,,,,,,,,,,,Q27231,East Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q4806809,Asian studies,Q199625,Zhuang studies
05.0106,European Studies/Civilization.,05,01,06,6-digit,Q1377029,European studies,academic discipline,Q11862829,academic discipline,Q1595873,domestic studies,,,,,,,,,,,,,,,,,,,,,,,Q46,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q1595873,domestic studies,Q41259,caucasology
05.0107,Latin American Studies.,05,01,07,6-digit,Q28617,Latin American studies,academic discipline focused on the analysis of Latin American culture,Q4671286,academic major,Q928786,area studies,,,,,,,,,,,,,,,,,,,,,,,Q12585,Latin America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q928786,area studies,Q85710429,Caribbean studies
05.0108,Near and Middle Eastern Studies.,05,01,08,6-digit,Q12211529,Middle Eastern studies,academic discipline,Q4671286,academic major,Q476294,oriental studies,,,,,,,,,Q4785363,genetic history of the Middle East,,,,,,,,,,,,,Q7204,Middle East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q476294,oriental studies,Q1367176,Iranian studies
05.0109,Pacific Area/Pacific Rim Studies.,05,01,09,6-digit,Q7122791,Pacific studies,"the study of the Pacific region (Oceania) across academic disciplines such as anthropology, archeology, art, economics, geography, history, linguistics, literature, music, politics, or sociology",,,Q928786,area studies,,,,,,,,,,,,,,,,,,,,,,,Q98,Pacific Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concept_subject,discipline,Q928786,area studies,Q5684622,Hawaiian studies
