cip_code,cip_title,lcc_classes,lcsh_terms,notes
01.0000,Agriculture, General,"S1–S671","Agriculture; Agricultural systems; Sustainable agriculture; Agricultural ecology","General agriculture domain"
01.0101,Agricultural Business and Management,"HD1401–HD2210; S560–S571","Agriculture—Economic aspects; Farm management; Agricultural industries","Bridges economics (HD) and agriculture (S)"
01.0201,Agricultural Mechanization,"S675–S679; TJ","Agricultural machinery; Farm equipment; Mechanization, Agricultural","Applied mechanical systems in agriculture"
01.0301,Agricultural Production Operations,"S600–S679","Agriculture—Production methods; Crop production; Livestock production","Covers both plant and animal production"
01.0401,Agricultural and Food Products Processing,"TP368–TP456; TX341–TX641","Food—Processing; Food industry and trade; Food—Preservation","Maps to food technology and nutrition"
01.0504,Agricultural and Domestic Animal Services,"SF41–SF110","Animal welfare; Veterinary services; Livestock—Management","Animal care and service operations"
01.0601,Applied Horticulture/Horticulture Operations,"SB317–SB353","Horticulture; Nursery management; Greenhouse management","Plant cultivation and controlled environments"
01.0701,International Agriculture,"S441–S494; HD1411–HD1419","Agriculture—International cooperation; Agricultural development projects; Agriculture—Economic aspects—Developing countries","International and development‑focused agriculture"
01.0801,Agricultural Public Services,"S540–S549; S560–S571","Agricultural extension work; Agricultural education; Rural development","Public outreach and extension services"
01.0901,Animal Sciences,"SF1–SF110","Animal science; Livestock; Domesticated animals","Core animal science domain"
01.1001,Food Science and Technology,"TP368–TP456; TX341–TX641","Food—Analysis; Food—Technology; Nutrition","Food chemistry, safety, and processing"
01.1101,Plant Sciences,"SB1–SB111; QK","Botany; Plant physiology; Plant ecology; Plant breeding","Bridges applied plant science (SB) and pure botany (QK)"
01.1201,Soil Sciences,"S590–S599; QE421–QE499","Soil science; Soil fertility; Soil conservation; Soil chemistry","Soils as both agricultural and geological domain"
cip_code,cip_title,lcc_classes,lcsh_terms,notes
03.0101,Natural Resources/Conservation, General,"S900–S999; GE170–GE190","Natural resources; Conservation of natural resources; Environmental protection","Bridges agriculture (S) and environmental studies (GE)"
03.0201,Natural Resources Management and Policy,"GE170–GE190; HC79.E5; S900–S999","Environmental policy; Natural resources management; Environmental economics","Policy-oriented; overlaps with economics (HC)"
03.0204,Environmental/Natural Resource Economics,"HC79.E5; HD75–HD78","Environmental economics; Natural resources—Economic aspects","Economics-heavy CIP within natural resources"
03.0301,Fishing and Fisheries Sciences and Management,"SH201–SH399","Fishery management; Fisheries; Aquatic resources","Maps cleanly to SH (Fisheries)"
03.0501,Forestry, General,"SD1–SD669","Forestry; Forest management; Forest ecology","Core forestry domain"
03.0502,Forest Sciences and Biology,"SD390–SD409; QK","Forest biology; Forest ecology; Trees—Growth","Biology-heavy forestry programs"
03.0508,Urban Forestry,"SD420–SD428; HT241–HT255","Urban forestry; Urban ecology; Trees in cities","Interdisciplinary: forestry + urban planning"
03.0510,Forest Resources Production and Management,"SD1–SD669","Forest management; Forest products; Silviculture","Applied forestry operations"
03.0511,Forest Technology/Technician,"SD1–SD669","Forestry—Fieldwork; Forest technology","Technical forestry training"
03.0601,Wildlife and Wildlands Science and Management,"SK1–SK590","Wildlife management; Wildlife conservation; Habitat conservation","Maps to SK (Hunting/Wildlife) and conservation"
03.0606,Range Science and Management,"SF85–SF105","Range management; Rangelands; Grazing","Animal/land interface; overlaps with SF"
03.9999,Natural Resources and Conservation, Other,"S900–S999; GE170–GE190","Natural resources; Conservation; Environmental sciences","General or interdisciplinary programs"
cip_code,cip_title,lcc_classes,lcsh_terms,notes
04.0201,Architecture,"NA1–NA9428","Architecture; Architectural design; Architectural practice","Core architecture domain"
04.0301,City/Urban, Community and Regional Planning,"HT165–HT395; NA9000–NA9428","City planning; Urban planning; Regional planning","Urban planning spans HT (communities) and NA (built environment)"
04.0401,Environmental Design/Architecture,"NA2542.35–NA2542.36; GE170–GE190","Environmental design; Sustainable architecture; Green building","Interdisciplinary: architecture + environmental studies"
04.0501,Interior Architecture,"NA2850–NA2859","Interior architecture; Interior design; Space planning","Focused on interior built environments"
04.0601,Landscape Architecture,"SB469–SB476; NA9125–NA9428","Landscape architecture; Landscape design; Urban landscapes","Bridges horticulture (SB) and built environment (NA)"
04.0801,Architectural History and Criticism,"NA190–NA680","Architecture—History; Architectural criticism; Historic buildings","Historical and analytical focus"
04.0901,Architectural Technology/Technician,"TH2031–TH2131; NA710–NA790","Building—Design and construction; Architectural drafting; Building technology","Technical and construction‑oriented"
04.9999,Architecture and Related Services, Other,"NA1–NA9428","Architecture; Built environment; Architectural services","General or interdisciplinary programs"
cip_code,cip_title,lcc_classes,lcsh_terms,notes
05.0101,Area Studies,"DS1–DS937; DT1–DT3410; E11–E184; F1201–F3799","Area studies; Regional studies; Civilization—Study and teaching","Maps to geographic/civilizational classes depending on region"
05.0102,African Studies,"DT1–DT3410","Africa—Study and teaching; African civilization; Africans","Region-specific within DT"
05.0103,Asian Studies,"DS1–DS937","Asia—Study and teaching; Asian civilization; Asians","Region-specific within DS"
05.0104,East Asian Studies,"DS501–DS799","East Asia—Study and teaching; East Asian civilization","Subset of DS"
05.0105,Russian, Central European, East European & Eurasian Studies,"DK1–DK949; DR1–DR2285","Europe, Eastern—Study and teaching; Slavic countries—Civilization","Maps to DK/DR depending on focus"
05.0106,European Studies,"D105–D203","Europe—Study and teaching; European civilization","General European focus"
05.0107,Latin American Studies,"F1201–F3799","Latin America—Study and teaching; Latin American civilization","Maps to F1201–F3799"
05.0108,Near/Middle Eastern Studies,"DS41–DS326","Middle East—Study and teaching; Middle Eastern civilization","Region-specific within DS"
05.0109,Pacific Rim Studies,"DU1–DU950","Pacific Area—Study and teaching; Pacific Rim—Civilization","Maps to DU"
05.0110,Scandinavian Studies,"DL1–DL999","Scandinavia—Study and teaching; Scandinavian civilization","Maps to DL"
05.0111,Canadian Studies,"FC1–FC3999","Canada—Study and teaching; Canadian civilization","Maps to FC"
05.0112,Irish Studies,"DA900–DA995","Ireland—Study and teaching; Irish civilization","Maps to DA"
05.0113,Latin American & Caribbean Studies,"F1201–F3799; F1401–F2199","Caribbean Area—Study and teaching; Caribbean civilization","Subset of Latin American studies"
05.0201,Ethnic, Cultural Minority, Gender, and Group Studies,"E184–E185; HT1501–HT1595; HQ1101–HQ2030","Ethnic groups; Minorities; Gender studies; Women—Social conditions","Interdisciplinary: history, sociology, gender studies"
05.0202,African-American/Black Studies,"E184.5–E185.98","African Americans; African American culture; African Americans—History","Maps cleanly to E184–E185"
05.0203,American Indian/Native American Studies,"E75–E99","Indians of North America; Native Americans—History; Indigenous peoples—Culture","Maps to E75–E99"
