qid,qid_label,cip_id,cip_label
Q11451,agriculture,01.0000,"Agriculture, General."
Q396622,agribusiness,01.0102,Agribusiness/Agricultural Business Operations.
Q396340,agricultural economics,01.0103,Agricultural Economics.
Q1520981,mechanised agriculture,01.0201,"Agricultural Mechanization, General."
Q4782629,Aquaculture,01.0303,Aquaculture.
Q1283714,crop production,01.0304,Crop Production.
Q110735073,oenology and viticulture,01.0309,Viticulture and Enology.
Q1193939,animal training,01.0505,Animal Training.
Q2730732,equestrian,01.0507,Equestrian/Equine Studies.
Q243237,taxidermy,01.0508,Taxidermy/Taxidermist.
Q50817636,Ornamental Horticulture,01.0603,Ornamental Horticulture.
Q199169,floriculture,01.0608,Floriculture/Floristry Operations and Management.
Q60125178,International Agriculture,01.0701,International Agriculture.
,,01.0801,Agricultural and Extension Education Services.
Q4693953,agricultural communication,01.0802,Agricultural Communication/Journalism.
Q168091,animal science,01.0901,"Animal Sciences, General."
Q64812946,animal health,01.0903,Animal Health.
Q51915142,Animal Nutrition,01.0904,Animal Nutrition.
Q15752727,Dairy Science and Technology,01.0905,Dairy Science.
Q1999242,Poultry Science,01.0907,Poultry Science.
Q1637030,food science,01.1001,Food Science.
,,01.1002,Food Technology and Processing.
Q441,botany,01.1101,"Plant Sciences, General."
,,01.1102,Agronomy and Crop Science.
Q27725869,"Zahradnictvi (Prague, Czech Republic : 1992)",01.1103,Horticultural Science.
,,01.1104,Agricultural and Horticultural Plant Breeding.
,,01.1105,Plant Protection and Integrated Pest Management.
,,01.1106,Range Science and Management.
,,01.1201,"Soil Science and Agronomy, General."
,,01.1202,Soil Chemistry and Physics.
Q7554937,soil microbiology,01.1203,Soil Microbiology.
Q188460,natural resource,03.0101,"Natural Resources/Conservation, General."
Q5381367,environmental studies,03.0103,Environmental Studies.
Q27020386,Environmental Science,03.0104,Environmental Science.
,,03.0201,Natural Resources Management and Policy.
Q56557294,resource economics,03.0204,Natural Resource Economics.
Q283,water,03.0205,"Water, Wetlands, and Marine Resources Management."
,,03.0206,Land Use Planning and Management/Development.
,,03.0207,Natural Resource Recreation and Tourism.
,,03.0208,Natural Resources Law Enforcement and Protective Services.
,,03.0301,Fishing and Fisheries Sciences and Management.
Q38112,forestry,03.0501,"Forestry, General."
,,03.0502,Forest Sciences and Biology.
Q372561,forest management,03.0506,Forest Management/Forest Resources Management.
Q822620,urban forestry,03.0508,Urban Forestry.
,,03.0509,Wood Science and Wood Products/Pulp and Paper Technology.
,,03.0510,Forest Resources Production and Management.
,,03.0511,Forest Technology/Technician.
,,03.0601,Wildlife and Wildlands Science and Management.
,,04.0201,"Architecture (BArch, BA/BS, MArch, MA/MS, PhD)."
Q515,city,04.0301,"City/Urban, Community and Regional Planning."
Q16000091,environmental design,04.0401,Environmental Design/Architecture.
Q1329946,interior architecture,04.0501,Interior Architecture.
,,04.0601,"Landscape Architecture (BS, BSLA, BLA, MSLA, MLA, PhD)."
,,04.0801,"Architectural History and Criticism, General."
Q4787070,architectural technology,04.0901,Architectural Technology/Technician.
,,04.0902,Architectural and Building Sciences/Technology.
Q695829,real estate development,04.1001,Real Estate Development.
Q4689921,African Studies,05.0101,African Studies.
Q7976,American English,05.0102,American/United States Studies/Civilization.
Q476294,oriental studies,05.0103,Asian Studies/Civilization.
Q162817,East Asian studies,05.0104,East Asian Studies.
Q372461,Central Department,05.0105,Central/Middle and Eastern European Studies.
Q1377029,European studies,05.0106,European Studies/Civilization.
Q28617,Latin American studies,05.0107,Latin American Studies.
Q12211529,Middle Eastern studies,05.0108,Near and Middle Eastern Studies.
Q7122791,Pacific studies,05.0109,Pacific Area/Pacific Rim Studies.
Q63717754,Russian Studies,05.0110,Russian Studies.
Q922219,Scandinavian studies,05.0111,Scandinavian Studies.
Q15746530,South Asian Studies,05.0112,South Asian Studies.
Q7569309,Southeast Asian studies,05.0113,Southeast Asian Studies.
,,05.0114,Western European Studies.
Q4676302,Canadian studies,05.0115,Canadian Studies.
Q464974,Balkan studies,05.0116,Balkans Studies.
Q156864,Slavic studies,05.0118,Slavic Studies.
Q27715697,Caribbean Studies,05.0119,Caribbean Studies.
,,05.0120,Ural-Altaic and Central Asian Studies.
,,05.0121,Commonwealth Studies.
,,05.0122,"Regional Studies (U.S., Canadian, Foreign)"
Q269915,sinology,05.0123,Chinese Studies.
Q5501928,French Studies,05.0124,French Studies.
Q166153,German studies,05.0125,German Studies.
Q15764180,Italian Studies,05.0126,Italian Studies.
Q15753133,Japanese Studies,05.0127,Japanese Studies.
Q714838,Korean studies,05.0128,Korean Studies.
Q1463332,Polish studies,05.0129,Polish Studies.
,,05.0130,Spanish and Iberian Studies.
Q96728129,Tibetan Studies,05.0131,Tibetan Studies.
,,05.0132,Ukraine Studies.
Q15765966,Irish Studies Review,05.0133,Irish Studies.
Q96724347,Latin American and Caribbean Studies,05.0134,Latin American and Caribbean Studies.
Q41870,ethnic studies,05.0200,Ethnic Studies.
Q49085,African Americans,05.0201,African-American/Black Studies.
Q15751537,American Indian and Alaska Native Mental Health Research,05.0202,American Indian/Native American Studies.
Q1464994,Latino,05.0203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies."
Q4806576,Asian American studies,05.0206,Asian-American Studies.
Q35069,women's studies,05.0207,Women's Studies.
Q592,gay,05.0208,Gay/Lesbian Studies.
Q132116,folkloristics,05.0209,Folklore Studies.
Q627208,disability studies,05.0210,Disability Studies.
Q5245796,deaf studies,05.0211,Deaf Studies.
Q11024,communication,09.0100,"Communication, General."
Q65007508,communication,09.0101,Communication Studies/Speech Communication and Rhetoric.
Q853710,mass communication,09.0102,Mass Communication/Media Studies.
Q11030,journalism,09.0401,Journalism.
Q2081584,broadcast journalism,09.0402,Broadcast Journalism.
Q506858,photojournalism,09.0404,Photojournalism.
Q80959271,radio and television,09.0701,Radio and Television.
,,09.0702,Digital Communication and Media/Multimedia.
Q39809,marketing,09.0900,"Public Relations, Advertising, and Applied Communication."
Q1937189,organizational communication,09.0901,"Organizational Communication, General."
Q39809,marketing,09.0902,Public Relations/Image Management.
Q37038,advertising,09.0903,Advertising.
Q1660049,political communication,09.0904,Political Communication.
Q15756151,Health Communication,09.0905,Health Communication.
Q7579398,sports communication,09.0906,Sports Communication.
,,09.0907,International and Intercultural Communication.
Q50737227,Technical and scientific communication: a reply to Calvert,09.0908,Technical and Scientific Communication.
Q3972943,publishing,09.1001,Publishing.
Q1780543,communication technology,10.0105,Communications Technology/Technician.
,,10.0201,Photographic and Film/Video Technology/Technician and Assistant.
,,10.0202,Radio and Television Broadcasting Technology/Technician.
,,10.0203,Recording Arts Technology/Technician.
Q105309987,Graphic Communications International Union Local 767-M,10.0301,"Graphic Communications, General."
Q121361920,"Printing management apparatus, printing system, and computer readable medium",10.0302,Printing Management.
Q389675,prepress,10.0303,Prepress/Desktop Publishing and Digital Imaging Design.
Q202866,animated film,10.0304,"Animation, Interactive Technology, Video Graphics and Special Effects."
,,10.0305,"Graphic and Printing Equipment Operator, General Production."
,,10.0306,Platemaker/Imager.
,,10.0307,Printing Press Operator.
,,10.0308,Computer Typography and Composition Equipment Operator.
Q106337977,"Computer and Information Sciences - ISCIS 2004, 19th International Symposium, Kemer-Antalya, Turkey, October 27-29, 2004",11.0101,"Computer and Information Sciences, General."
