cip_id,cip_label,cip_type,cip_header,cip_category,cip_subclass
01.0000,"Agriculture, General.",main,01,00,00
01.0101,"Agricultural Business and Management, General.",main,01,01,01
01.0102,Agribusiness/Agricultural Business Operations.,main,01,01,02
01.0103,Agricultural Economics.,main,01,01,03
01.0104,Farm/Farm and Ranch Management.,main,01,01,04
01.0105,Agricultural/Farm Supplies Retailing and Wholesaling.,main,01,01,05
01.0106,Agricultural Business Technology.,main,01,01,06
01.0201,"Agricultural Mechanization, General.",main,01,02,01
01.0204,Agricultural Power Machinery Operation.,main,01,02,04
01.0205,Agricultural Mechanics and Equipment/Machine Technology.,main,01,02,05
01.0301,"Agricultural Production Operations, General.",main,01,03,01
01.0302,Animal/Livestock Husbandry and Production.,main,01,03,02
01.0303,Aquaculture.,main,01,03,03
01.0304,Crop Production.,main,01,03,04
01.0306,Dairy Husbandry and Production.,main,01,03,06
01.0307,Horse Husbandry/Equine Science and Management.,main,01,03,07
01.0308,Agroecology and Sustainable Agriculture.,main,01,03,08
01.0309,Viticulture and Enology.,main,01,03,09
01.0401,Agricultural and Food Products Processing.,main,01,04,01
01.0504,Dog/Pet/Animal Grooming.,main,01,05,04
01.0505,Animal Training.,main,01,05,05
01.0507,Equestrian/Equine Studies.,main,01,05,07
01.0508,Taxidermy/Taxidermist.,main,01,05,08
01.0601,"Applied Horticulture/Horticulture Operations, General.",main,01,06,01
01.0603,Ornamental Horticulture.,main,01,06,03
01.0604,Greenhouse Operations and Management.,main,01,06,04
01.0605,Landscaping and Groundskeeping.,main,01,06,05
01.0606,Plant Nursery Operations and Management.,main,01,06,06
01.0607,Turf and Turfgrass Management.,main,01,06,07
01.0608,Floriculture/Floristry Operations and Management.,main,01,06,08
01.0701,International Agriculture.,main,01,07,01
01.0801,Agricultural and Extension Education Services.,main,01,08,01
01.0802,Agricultural Communication/Journalism.,main,01,08,02
01.0901,"Animal Sciences, General.",main,01,09,01
01.0902,Agricultural Animal Breeding.,main,01,09,02
01.0903,Animal Health.,main,01,09,03
01.0904,Animal Nutrition.,main,01,09,04
01.0905,Dairy Science.,main,01,09,05
01.0906,Livestock Management.,main,01,09,06
01.0907,Poultry Science.,main,01,09,07
01.1001,Food Science.,main,01,10,01
01.1002,Food Technology and Processing.,main,01,10,02
01.1101,"Plant Sciences, General.",main,01,11,01
01.1102,Agronomy and Crop Science.,main,01,11,02
01.1103,Horticultural Science.,main,01,11,03
01.1104,Agricultural and Horticultural Plant Breeding.,main,01,11,04
01.1105,Plant Protection and Integrated Pest Management.,main,01,11,05
01.1106,Range Science and Management.,main,01,11,06
01.1201,"Soil Science and Agronomy, General.",main,01,12,01
01.1202,Soil Chemistry and Physics.,main,01,12,02
01.1203,Soil Microbiology.,main,01,12,03
03.0101,"Natural Resources/Conservation, General.",main,03,01,01
03.0103,Environmental Studies.,main,03,01,03
03.0104,Environmental Science.,main,03,01,04
03.0201,Natural Resources Management and Policy.,main,03,02,01
03.0204,Natural Resource Economics.,main,03,02,04
03.0205,"Water, Wetlands, and Marine Resources Management.",main,03,02,05
03.0206,Land Use Planning and Management/Development.,main,03,02,06
03.0207,Natural Resource Recreation and Tourism.,main,03,02,07
03.0208,Natural Resources Law Enforcement and Protective Services.,main,03,02,08
03.0301,Fishing and Fisheries Sciences and Management.,main,03,03,01
03.0501,"Forestry, General.",main,03,05,01
03.0502,Forest Sciences and Biology.,main,03,05,02
03.0506,Forest Management/Forest Resources Management.,main,03,05,06
03.0508,Urban Forestry.,main,03,05,08
03.0509,Wood Science and Wood Products/Pulp and Paper Technology.,main,03,05,09
03.0510,Forest Resources Production and Management.,main,03,05,10
03.0511,Forest Technology/Technician.,main,03,05,11
03.0601,Wildlife and Wildlands Science and Management.,main,03,06,01
04.0201,"Architecture (BArch, BA/BS, MArch, MA/MS, PhD).",main,04,02,01
04.0301,"City/Urban, Community and Regional Planning.",main,04,03,01
04.0401,Environmental Design/Architecture.,main,04,04,01
04.0501,Interior Architecture.,main,04,05,01
04.0601,"Landscape Architecture (BS, BSLA, BLA, MSLA, MLA, PhD).",main,04,06,01
04.0801,"Architectural History and Criticism, General.",main,04,08,01
04.0901,Architectural Technology/Technician.,main,04,09,01
04.0902,Architectural and Building Sciences/Technology.,main,04,09,02
04.1001,Real Estate Development.,main,04,10,01
05.0101,African Studies.,main,05,01,01
05.0102,American/United States Studies/Civilization.,main,05,01,02
05.0103,Asian Studies/Civilization.,main,05,01,03
05.0104,East Asian Studies.,main,05,01,04
05.0105,Central/Middle and Eastern European Studies.,main,05,01,05
05.0106,European Studies/Civilization.,main,05,01,06
05.0107,Latin American Studies.,main,05,01,07
05.0108,Near and Middle Eastern Studies.,main,05,01,08
05.0109,Pacific Area/Pacific Rim Studies.,main,05,01,09
05.0110,Russian Studies.,main,05,01,10
05.0111,Scandinavian Studies.,main,05,01,11
05.0112,South Asian Studies.,main,05,01,12
05.0113,Southeast Asian Studies.,main,05,01,13
05.0114,Western European Studies.,main,05,01,14
05.0115,Canadian Studies.,main,05,01,15
05.0116,Balkans Studies.,main,05,01,16
05.0117,Baltic Studies.,main,05,01,17
05.0118,Slavic Studies.,main,05,01,18
05.0119,Caribbean Studies.,main,05,01,19
05.0120,Ural-Altaic and Central Asian Studies.,main,05,01,20
05.0121,Commonwealth Studies.,main,05,01,21
05.0122,"Regional Studies (U.S., Canadian, Foreign)",main,05,01,22
05.0123,Chinese Studies.,main,05,01,23
05.0124,French Studies.,main,05,01,24
05.0125,German Studies.,main,05,01,25
05.0126,Italian Studies.,main,05,01,26
05.0127,Japanese Studies.,main,05,01,27
05.0128,Korean Studies.,main,05,01,28
05.0129,Polish Studies.,main,05,01,29
05.0130,Spanish and Iberian Studies.,main,05,01,30
05.0131,Tibetan Studies.,main,05,01,31
05.0132,Ukraine Studies.,main,05,01,32
05.0133,Irish Studies.,main,05,01,33
05.0134,Latin American and Caribbean Studies.,main,05,01,34
05.0200,Ethnic Studies.,main,05,02,00
05.0201,African-American/Black Studies.,main,05,02,01
05.0202,American Indian/Native American Studies.,main,05,02,02
05.0203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.",main,05,02,03
05.0206,Asian-American Studies.,main,05,02,06
05.0207,Women's Studies.,main,05,02,07
05.0208,Gay/Lesbian Studies.,main,05,02,08
05.0209,Folklore Studies.,main,05,02,09
05.0210,Disability Studies.,main,05,02,10
05.0211,Deaf Studies.,main,05,02,11
09.0100,"Communication, General.",main,09,01,00
09.0101,Communication Studies/Speech Communication and Rhetoric.,main,09,01,01
09.0102,Mass Communication/Media Studies.,main,09,01,02
09.0401,Journalism.,main,09,04,01
09.0402,Broadcast Journalism.,main,09,04,02
09.0404,Photojournalism.,main,09,04,04
09.0701,Radio and Television.,main,09,07,01
09.0702,Digital Communication and Media/Multimedia.,main,09,07,02
09.0900,"Public Relations, Advertising, and Applied Communication.",main,09,09,00
09.0901,"Organizational Communication, General.",main,09,09,01
09.0902,Public Relations/Image Management.,main,09,09,02
09.0903,Advertising.,main,09,09,03
09.0904,Political Communication.,main,09,09,04
09.0905,Health Communication.,main,09,09,05
09.0906,Sports Communication.,main,09,09,06
09.0907,International and Intercultural Communication.,main,09,09,07
09.0908,Technical and Scientific Communication.,main,09,09,08
09.1001,Publishing.,main,09,10,01
10.0105,Communications Technology/Technician.,main,10,01,05
10.0201,Photographic and Film/Video Technology/Technician and Assistant.,main,10,02,01
10.0202,Radio and Television Broadcasting Technology/Technician.,main,10,02,02
10.0203,Recording Arts Technology/Technician.,main,10,02,03
10.0301,"Graphic Communications, General.",main,10,03,01
10.0302,Printing Management.,main,10,03,02
10.0303,Prepress/Desktop Publishing and Digital Imaging Design.,main,10,03,03
10.0304,"Animation, Interactive Technology, Video Graphics and Special Effects.",main,10,03,04
10.0305,"Graphic and Printing Equipment Operator, General Production.",main,10,03,05
10.0306,Platemaker/Imager.,main,10,03,06
10.0307,Printing Press Operator.,main,10,03,07
10.0308,Computer Typography and Composition Equipment Operator.,main,10,03,08
11.0101,"Computer and Information Sciences, General.",main,11,01,01
11.0102,Artificial Intelligence and Robotics.,main,11,01,02
11.0103,Information Technology.,main,11,01,03
11.0104,Informatics.,main,11,01,04
11.0201,"Computer Programming/Programmer, General.",main,11,02,01
11.0202,"Computer Programming, Specific Applications.",main,11,02,02
11.0203,"Computer Programming, Vendor/Product Certification.",main,11,02,03
11.0301,Data Processing and Data Processing Technology/Technician.,main,11,03,01
11.0401,Information Science/Studies.,main,11,04,01
11.0501,Computer Systems Analysis/Analyst.,main,11,05,01
11.0601,"Data Entry/Microcomputer Applications, General.",main,11,06,01
11.0602,Word Processing.,main,11,06,02
11.0701,Computer Science.,main,11,07,01
11.0801,"Web Page, Digital/Multimedia and Information Resources Design.",main,11,08,01
11.0802,Data Modeling/Warehousing and Database Administration.,main,11,08,02
11.0803,Computer Graphics.,main,11,08,03
11.0804,"Modeling, Virtual Environments and Simulation.",main,11,08,04
11.0901,Computer Systems Networking and Telecommunications.,main,11,09,01
11.1001,System Administration/Administrator.,main,11,10,01
11.1002,"System, Networking, and LAN/WAN Management/Manager.",main,11,10,02
11.1003,Computer and Information Systems Security.,main,11,10,03
11.1004,Web/Multimedia Management and Webmaster.,main,11,10,04
11.1005,Information Technology Project Management.,main,11,10,05
11.1006,Computer Support Specialist.,main,11,10,06
12.0301,"Funeral Service and Mortuary Science, General.",main,12,03,01
12.0302,Funeral Direction/Service.,main,12,03,02
12.0303,Mortuary Science and Embalming/Embalmer.,main,12,03,03
12.0401,"Cosmetology/Cosmetologist, General.",main,12,04,01
12.0402,Barbering/Barber.,main,12,04,02
12.0404,Electrolysis/Electrology and Electrolysis Technician.,main,12,04,04
12.0406,Make-Up Artist/Specialist.,main,12,04,06
12.0407,Hair Styling/Stylist and Hair Design.,main,12,04,07
12.0408,Facial Treatment Specialist/Facialist.,main,12,04,08
12.0409,Aesthetician/Esthetician and Skin Care Specialist.,main,12,04,09
12.0410,Nail Technician/Specialist and Manicurist.,main,12,04,10
12.0411,Permanent Cosmetics/Makeup and Tattooing.,main,12,04,11
12.0412,Salon/Beauty Salon Management/Manager.,main,12,04,12
12.0413,"Cosmetology, Barber/Styling, and Nail Instructor.",main,12,04,13
12.0414,Master Aesthetician/Esthetician.,main,12,04,14
12.0500,"Cooking and Related Culinary Arts, General.",main,12,05,00
12.0501,Baking and Pastry Arts/Baker/Pastry Chef.,main,12,05,01
12.0502,Bartending/Bartender.,main,12,05,02
12.0503,Culinary Arts/Chef Training.,main,12,05,03
12.0504,"Restaurant, Culinary, and Catering Management/Manager.",main,12,05,04
12.0505,Food Preparation/Professional Cooking/Kitchen Assistant.,main,12,05,05
12.0506,Meat Cutting/Meat Cutter.,main,12,05,06
12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager.",main,12,05,07
12.0508,Institutional Food Workers.,main,12,05,08
12.0509,Culinary Science/Culinology.,main,12,05,09
12.0510,Wine Steward/Sommelier.,main,12,05,10
13.0101,"Education, General.",main,13,01,01
