cip_id,cip_label,cip_header,cip_category,cip_subclass,cip_level,qid,qid_label,qid_description,P31_qids,P31_labels,P279_qids,P279_labels,P361_qids,P361_labels,P101_qids,P101_labels,P2579_qids,P2579_labels,P921_qids,P921_labels,P527_qids,P527_labels,P2283_qids,P2283_labels,P366_qids,P366_labels,P1889_qids,P1889_labels,P1343_qids,P1343_labels,P1269_qids,P1269_labels,P1268_qids,P1268_labels,P2578_qids,P2578_labels,P228_qids,P228_labels,P155_qids,P155_labels,P156_qids,P156_labels,P170_qids,P170_labels,P176_qids,P176_labels,P178_qids,P178_labels,P138_qids,P138_labels,P2348_qids,P2348_labels,P580_qids,P580_labels,P582_qids,P582_labels,P585_qids,P585_labels,P793_qids,P793_labels,P276_qids,P276_labels,P17_qids,P17_labels,P131_qids,P131_labels,P625_qids,P625_labels,P2043_qids,P2043_labels,P2048_qids,P2048_labels,P2049_qids,P2049_labels,P2054_qids,P2054_labels,P2068_qids,P2068_labels,P2101_qids,P2101_labels,P2102_qids,P2102_labels,P2325_qids,P2325_labels,P2326_qids,P2326_labels,P2327_qids,P2327_labels,P4511_qids,P4511_labels,P4512_qids,P4512_labels,P4513_qids,P4513_labels,P215_qids,P215_labels,P2114_qids,P2114_labels,P2115_qids,P2115_labels,P2120_qids,P2120_labels,P1538_qids,P1538_labels,P1539_qids,P1539_labels,P1540_qids,P1540_labels,P2669_qids,P2669_labels,P1419_qids,P1419_labels,P1880_qids,P1880_labels
01.0000,"Agriculture, General.",01,00,00,2-digit,Q11451,agriculture,cultivation of plants and animals to provide useful products,Q627436,,Q357279,,Q55640,,,,Q173113,,,,,,Q102192,,,,Q29584242,,Q867541,,,,,,,,,,Q2991771,,,,,,,,,,,,,,-8000-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0101,"Agricultural Business and Management, General.",01,01,01,6-digit,Q3606845,agricultural science,academic field about agriculture and farming,Q11862829,,Q441,,,,,,,,,,,,,,,,Q173113,,Q19219752,,,,,,Q11451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0103,Agricultural Economics.,01,01,03,6-digit,Q396340,agricultural economics,applied field of economics that optimizes the production of food and fiber for agricultural development,Q1047113,,Q8134,,Q11451,,,,,,,,,,,,,,,,,,Q11451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0201,"Agricultural Mechanization, General.",01,02,01,6-digit,Q1520981,mechanised agriculture,agriculture using powered machinery,,,Q11451,,,,,,,,,,,,,,,,,,Q20078554,,Q11451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0303,Aquaculture.,01,03,03,6-digit,Q4782629,Aquaculture,scientific journal,Q685935,,,,,,,,,,Q188989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0307,Horse Husbandry/Equine Science and Management.,01,03,07,6-digit,Q1520089,horse care,covers all aspects of the care and keeping of horses and related species,Q12737077,,Q80962,,Q1265288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0309,Viticulture and Enology.,01,03,09,6-digit,Q110735073,oenology and viticulture,field of study and research,Q1047113,,Q3606845,,,,,,,,,,Q253140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0507,Equestrian/Equine Studies.,01,05,07,6-digit,Q2730732,equestrian,sportsperson who rides horses,Q28640,,Q2066131,,,,,,,,,,,,Q726,,,,Q178521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0603,Ornamental Horticulture.,01,06,03,6-digit,Q50817636,Ornamental Horticulture,"Academic journal published by Sociedade Brasileira de Floricultura e Plantas Ornamentais, covering the subjects: Agriculture: Plant culture",Q737498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0701,International Agriculture.,01,07,01,6-digit,Q60125178,International Agriculture,scientific article published in Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0802,Agricultural Communication/Journalism.,01,08,02,6-digit,Q4693953,agricultural communication,spreading info about agriculture,Q11862829,,,,,,,,,,,,,,,,,,,,,,Q11451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0901,"Animal Sciences, General.",01,09,01,6-digit,Q168091,animal science,"science and business of producing domestic livestock species, including but not limited to beef cattle, dairy cattle, horses, poultry, sheep, and swine, and of nutrition, care, and welfare of companion animals",Q2465832,,Q3606845,,,,,,,,,,,,,,,,Q431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0903,Animal Health.,01,09,03,6-digit,Q64812946,animal health,"field of health care, nursing and advice on the health and welfare of farm, companion and aquatic animals",Q11862829,,Q168091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0905,Dairy Science.,01,09,05,6-digit,Q15752727,Dairy Science and Technology,journal,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.0907,Poultry Science.,01,09,07,6-digit,Q1999242,Poultry Science,journal,Q773668,,,,,,,,,,Q45098068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
