cip_id,cip_label
01.0000,Agriculture, General
01.0101,Agricultural Business and Management, General
01.0102,Agribusiness/Agricultural Business Operations
01.0103,Agricultural Economics
01.0104,Farm/Farm and Ranch Management
01.0105,Agricultural/Farm Supplies Retailing and Wholesaling
01.0106,Agricultural Business Technology
01.0199,Agricultural Business and Management, Other
01.0201,Agricultural Mechanization, General
01.0204,Agricultural Power Machinery Operation
01.0205,Agricultural Mechanics and Equipment/Machine Technology
01.0299,Agricultural Mechanization, Other
01.0301,Agricultural Production Operations, General
01.0302,Animal/Livestock Husbandry and Production
01.0303,Aquaculture
01.0304,Crop Production
01.0306,Dairy Husbandry and Production
01.0307,Horse Husbandry/Equine Science and Management
01.0308,Agroecology and Sustainable Agriculture
01.0309,Viticulture and Enology
01.0399,Agricultural Production Operations, Other
01.0401,Agricultural and Food Products Processing
01.0504,Dog/Pet/Animal Grooming
01.0505,Animal Training
01.0507,Equestrian/Equine Studies
01.0508,Taxidermy/Taxidermist
01.0599,Agricultural and Domestic Animal Services, Other
01.0601,Applied Horticulture/Horticulture Operations, General
01.0603,Ornamental Horticulture
01.0604,Greenhouse Operations and Management
01.0605,Landscaping and Groundskeeping
01.0606,Plant Nursery Operations and Management
01.0607,Turf and Turfgrass Management
01.0608,Floriculture/Floristry Operations and Management
01.0699,Applied Horticulture/Horticultural Business Services, Other
01.0701,International Agriculture
01.0801,Agricultural and Extension Education Services
01.0802,Agricultural Communication/Journalism
01.0899,Agricultural Public Services, Other
01.0901,Animal Sciences, General
01.0902,Agricultural Animal Breeding
01.0903,Animal Health
01.0904,Animal Nutrition
01.0905,Dairy Science
01.0906,Livestock Management
01.0907,Poultry Science
01.0999,Animal Sciences, Other
01.1001,Food Science
01.1002,Food Technology and Processing
01.1099,Food Science and Technology, Other
01.1101,Plant Sciences, General
01.1102,Agronomy and Crop Science
01.1103,Horticultural Science
01.1104,Agricultural and Horticultural Plant Breeding
01.1105,Plant Protection and Integrated Pest Management
01.1106,Range Science and Management
01.1199,Plant Sciences, Other
01.1201,Soil Science and Agronomy, General
01.1202,Soil Chemistry and Physics
01.1203,Soil Microbiology
01.1299,Soil Sciences, Other
01.9999,Agriculture, Agriculture Operations, and Related Sciences, Other
03.0101,Natural Resources/Conservation, General
03.0103,Environmental Studies
03.0104,Environmental Science
03.0199,Natural Resources Conservation and Research, Other
03.0201,Natural Resources Management and Policy
03.0204,Natural Resource Economics
03.0205,Water, Wetlands, and Marine Resources Management
03.0206,Land Use Planning and Management/Development
03.0207,Natural Resource Recreation and Tourism
03.0208,Natural Resources Law Enforcement and Protective Services
03.0299,Natural Resources Management and Policy, Other
03.0301,Fishing and Fisheries Sciences and Management
03.0501,Forestry, General
03.0502,Forest Sciences and Biology
03.0506,Forest Management/Forest Resources Management
03.0508,Urban Forestry
03.0509,Wood Science and Wood Products/Pulp and Paper Technology
03.0510,Forest Resources Production and Management
03.0511,Forest Technology/Technician
