discipline,disciplineLabel
http://www.wikidata.org/entity/L1234840,L1234840
http://www.wikidata.org/entity/Q102077247,Q102077247
http://www.wikidata.org/entity/Q10308243,Q10308243
http://www.wikidata.org/entity/Q10405762,Q10405762
http://www.wikidata.org/entity/Q104673525,Q104673525
http://www.wikidata.org/entity/Q10479191,Q10479191
http://www.wikidata.org/entity/Q10494349,Q10494349
http://www.wikidata.org/entity/Q105462032,Q105462032
http://www.wikidata.org/entity/Q10548170,Q10548170
http://www.wikidata.org/entity/Q105834508,Q105834508
http://www.wikidata.org/entity/Q10607905,Q10607905
http://www.wikidata.org/entity/Q10614449,Q10614449
http://www.wikidata.org/entity/Q106484750,Q106484750
http://www.wikidata.org/entity/Q106545901,Q106545901
http://www.wikidata.org/entity/Q106625624,Q106625624
http://www.wikidata.org/entity/Q106625753,Q106625753
http://www.wikidata.org/entity/Q10680340,Q10680340
http://www.wikidata.org/entity/Q10685452,Q10685452
http://www.wikidata.org/entity/Q108603816,Q108603816
http://www.wikidata.org/entity/Q10877842,Q10877842
http://www.wikidata.org/entity/Q108805509,Q108805509
http://www.wikidata.org/entity/Q109356841,Q109356841
http://www.wikidata.org/entity/Q109364835,Q109364835
http://www.wikidata.org/entity/Q109450440,Q109450440
http://www.wikidata.org/entity/Q10958685,Q10958685
http://www.wikidata.org/entity/Q109595305,Q109595305
http://www.wikidata.org/entity/Q109660040,Q109660040
http://www.wikidata.org/entity/Q109674603,Q109674603
http://www.wikidata.org/entity/Q109806590,Q109806590
http://www.wikidata.org/entity/Q109888405,Q109888405
http://www.wikidata.org/entity/Q110566862,Q110566862
http://www.wikidata.org/entity/Q1110600,Q1110600
http://www.wikidata.org/entity/Q111261380,Q111261380
http://www.wikidata.org/entity/Q111596971,Q111596971
http://www.wikidata.org/entity/Q112207072,Q112207072
http://www.wikidata.org/entity/Q112598291,Q112598291
http://www.wikidata.org/entity/Q112997184,Q112997184
http://www.wikidata.org/entity/Q113296423,Q113296423
http://www.wikidata.org/entity/Q113476418,Q113476418
http://www.wikidata.org/entity/Q113547265,Q113547265
http://www.wikidata.org/entity/Q113563933,Q113563933
http://www.wikidata.org/entity/Q113563934,Q113563934
http://www.wikidata.org/entity/Q113563935,Q113563935
http://www.wikidata.org/entity/Q113563936,Q113563936
http://www.wikidata.org/entity/Q113563937,Q113563937
http://www.wikidata.org/entity/Q113563938,Q113563938
http://www.wikidata.org/entity/Q114284672,Q114284672
http://www.wikidata.org/entity/Q114284676,Q114284676
http://www.wikidata.org/entity/Q1147173,Q1147173
http://www.wikidata.org/entity/Q115160211,Q115160211
http://www.wikidata.org/entity/Q11533186,Q11533186
http://www.wikidata.org/entity/Q11569020,Q11569020
http://www.wikidata.org/entity/Q115800114,Q115800114
http://www.wikidata.org/entity/Q11615971,Q11615971
http://www.wikidata.org/entity/Q116201778,Q116201778
http://www.wikidata.org/entity/Q11685795,Q11685795
http://www.wikidata.org/entity/Q11777885,Q11777885
http://www.wikidata.org/entity/Q117883451,Q117883451
http://www.wikidata.org/entity/Q11790212,Q11790212
http://www.wikidata.org/entity/Q118163457,Q118163457
http://www.wikidata.org/entity/Q11893116,Q11893116
http://www.wikidata.org/entity/Q11903225,Q11903225
http://www.wikidata.org/entity/Q11906702,Q11906702
