cip_id,cip_label,cip_header,cip_category,cip_subclass,cip_level,qid,qid_label,qid_description,P31_qids,P31_labels,P279_qids,P279_labels,P361_qids,P361_labels,P101_qids,P101_labels,P2579_qids,P2579_labels,P921_qids,P921_labels,P527_qids,P527_labels,P2283_qids,P2283_labels,P366_qids,P366_labels,P1889_qids,P1889_labels,P1343_qids,P1343_labels,P1269_qids,P1269_labels,P1268_qids,P1268_labels,P2578_qids,P2578_labels,P228_qids,P228_labels,P155_qids,P155_labels,P156_qids,P156_labels,P170_qids,P170_labels,P176_qids,P176_labels,P178_qids,P178_labels,P138_qids,P138_labels,P2348_qids,P2348_labels,P580_qids,P580_labels,P582_qids,P582_labels,P585_qids,P585_labels,P793_qids,P793_labels,P276_qids,P276_labels,P17_qids,P17_labels,P131_qids,P131_labels,P625_qids,P625_labels,P2043_qids,P2043_labels,P2048_qids,P2048_labels,P2049_qids,P2049_labels,P2054_qids,P2054_labels,P2068_qids,P2068_labels,P2101_qids,P2101_labels,P2102_qids,P2102_labels,P2325_qids,P2325_labels,P2326_qids,P2326_labels,P2327_qids,P2327_labels,P4511_qids,P4511_labels,P4512_qids,P4512_labels,P4513_qids,P4513_labels,P215_qids,P215_labels,P2114_qids,P2114_labels,P2115_qids,P2115_labels,P2120_qids,P2120_labels,P1538_qids,P1538_labels,P1539_qids,P1539_labels,P1540_qids,P1540_labels,P2669_qids,P2669_labels,P1419_qids,P1419_labels,P1880_qids,P1880_labels,node_type,subject_type
01.0303,Aquaculture.,01,03,03,6-digit,Q4782629,Aquaculture,scientific journal,Q685935,,,,,,,,,,Q188989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
01.0307,Horse Husbandry/Equine Science and Management.,01,03,07,6-digit,Q1520089,horse care,covers all aspects of the care and keeping of horses and related species,Q12737077,,Q80962,,Q1265288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_profession,
01.0507,Equestrian/Equine Studies.,01,05,07,6-digit,Q2730732,equestrian,sportsperson who rides horses,Q28640,,Q2066131,,,,,,,,,,,,Q726,,,,Q178521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_profession,
01.0603,Ornamental Horticulture.,01,06,03,6-digit,Q50817636,Ornamental Horticulture,"Academic journal published by Sociedade Brasileira de Floricultura e Plantas Ornamentais, covering the subjects: Agriculture: Plant culture",Q737498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
01.0905,Dairy Science.,01,09,05,6-digit,Q15752727,Dairy Science and Technology,journal,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
01.0907,Poultry Science.,01,09,07,6-digit,Q1999242,Poultry Science,journal,Q773668,,,,,,,,,,Q45098068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
01.1103,Horticultural Science.,01,11,03,6-digit,Q27725869,"Zahradnictvi (Prague, Czech Republic : 1992)",journal,Q737498,,,,,,,,,,Q173113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
03.0104,Environmental Science.,03,01,04,6-digit,Q27020386,Environmental Science,journal,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
05.0101,African Studies.,05,01,01,6-digit,Q4689921,African Studies,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
05.0110,Russian Studies.,05,01,10,6-digit,Q63717754,Russian Studies,Chinese journal,Q737498,,,,,,,,,,,,,,,,,,Q375470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
05.0112,South Asian Studies.,05,01,12,6-digit,Q15746530,South Asian Studies,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
05.0115,Canadian Studies.,05,01,15,6-digit,Q4676302,Canadian studies,"academic field studying Canadian culture and society, history, government, literature, etc.",Q4671286,,Q27968,,,,,,,,,,Q2945,,,,,,,,,,,,,,Q16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organization,
05.0119,Caribbean Studies.,05,01,19,6-digit,Q27715697,Caribbean Studies,"multidisciplinary academic journal published by the Institute of Caribbean Studies at the University of Puerto Rico, Río Piedras",Q737498,,,,,,Q1071,,,,Q1071,,,,,,,,Q3592588,,Q109717365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
05.0124,French Studies.,05,01,24,6-digit,Q5501928,French Studies,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,Q1450761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
05.0126,Italian Studies.,05,01,26,6-digit,Q15764180,Italian Studies,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
05.0127,Japanese Studies.,05,01,27,6-digit,Q15753133,Japanese Studies,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
05.0133,Irish Studies.,05,01,33,6-digit,Q15765966,Irish Studies Review,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
05.0202,American Indian/Native American Studies.,05,02,02,6-digit,Q15751537,American Indian and Alaska Native Mental Health Research,academic journal,Q5633421,,,,,,,,,,Q309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
09.0905,Health Communication.,09,09,05,6-digit,Q15756151,Health Communication,journal,Q5633421,,,,,,,,,,Q4353774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
11.0601,"Data Entry/Microcomputer Applications, General.",11,06,01,6-digit,Q918751,data entry clerk,profession,Q28640,,Q58487031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_profession,
11.1005,Information Technology Project Management.,11,10,05,6-digit,Q131411262,Information Technology Project Management,book by Jack T. Marchewka,Q47461344,,,,,,,,,,Q21198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,
12.0406,Make-Up Artist/Specialist.,12,04,06,6-digit,Q935666,make-up artist,"person who applies make-up, style and applies special effects make-up, prosthetic make-up",Q28640,,Q55187,,,,,,,,,,,,Q131207,,,,Q2752318,,Q22001375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_profession,
12.0409,Aesthetician/Esthetician and Skin Care Specialist.,12,04,09,6-digit,Q21550346,aesthetician,philosopher,Q28640,,Q4964182,,,,,,,,,,,,,,,,Q12367504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_profession,
12.0410,Nail Technician/Specialist and Manicurist.,12,04,10,6-digit,Q11325221,nail technician,nail technician or manicurist,Q28640,,Q2752318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_profession,
12.0510,Wine Steward/Sommelier.,12,05,10,6-digit,Q191493,sommelier,person with proficiency in wine tasting,Q28640,,Q104590991,,,,,,,,,,,,,,,,Q833899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_profession,
13.0701,International and Comparative Education.,13,07,01,6-digit,Q63718196,International and Comparative Education,Chinese journal,Q737498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
13.1501,Teacher Assistant/Aide.,13,15,01,6-digit,Q7691294,teaching assistant,in the United Kingdom,Q28640,,Q2070313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_profession,
14.0601,Ceramic Sciences and Engineering.,14,06,01,6-digit,Q96700141,Ceramic Sciences and Engineering,scientific journal,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
14.0702,Chemical and Biomolecular Engineering.,14,07,02,6-digit,Q96700311,Chemical and Biomolecular Engineering,US scientific journal,Q5633421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
14.0901,"Computer Engineering, General.",14,09,01,6-digit,Q428691,computer engineering,engineering discipline specializing in the design of computer hardware and software systems,Q1047113,,Q11023,,Q21198,,,,Q21198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event,
14.0902,Computer Hardware Engineering.,14,09,02,6-digit,Q5656403,hardware architecture,identification of a system's physical components and their interrelationships,,,Q11023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event,
14.1101,Engineering Mechanics.,14,11,01,6-digit,Q96329007,Engineering Mechanics,Chinese journal,Q5633421,,,,,,,,,,Q19801895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
14.1401,Environmental/Environmental Health Engineering.,14,14,01,6-digit,Q15766990,Environmental Pollution,scientific journal,Q5633421,,,,,,,,,,Q58734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
14.3201,Polymer/Plastics Engineering.,14,32,01,6-digit,Q3395619,Polymer,British journal,Q41298,,,,,,,,,,Q3456979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journal,
14.3301,Construction Engineering.,14,33,01,6-digit,Q2674423,construction engineering,"professional discipline dealing with the designing, planning, construction and management of infrastructures",Q627436,,Q11023,,Q77590,,,,,,,,Q811115,,,,,,Q633538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exclude_profession,
