id,code,prefix,start,end,label
DF10-951,DF10-951,DF,10,951,History of Greece
DF10-289,DF10-289,DF,10,289,Ancient Greece
DF10-16,DF10-16,DF,10,16,General
DF27-41,DF27-41,DF,27,41,"Geography. Travel"
DF75-136,DF75-136,DF,75,136,"Antiquities. Civilization. Culture. Ethnography"
DF207-241,DF207-241,DF,207,241,History
DF207-218,DF207-218,DF,207,218,General
DF220-241,DF220-241,DF,220,241,By period
DF220-221,DF220-221,DF,220,221,"Bronze Age, Minoan, and Mycenaean ages"
DF221.2-224,DF221.2-224,DF,221.2,224,"ca. 1125-500 B.C. Age of Tyrants"
DF225-226,DF225-226,DF,225,226,"Persian wars, 499-479 B.C."
DF227-228,DF227-228,DF,227,228,"Athenian supremacy. Age of Pericles. 479-431 B.C."
DF229-230,DF229-230,DF,229,230,"Peloponnesian War, 431-404 B.C."
DF230.9-231.9,DF230.9-231.9,DF,230.9,231.9,"Spartan and Theban supremacies, 404-362 B.C."
DF232.5-233.8,DF232.5-233.8,DF,232.5,233.8,"Macedonian epoch. Age of Philip. 359-336 B.C."
DF234-234.9,DF234-234.9,DF,234,234.9,"Alexander the Great, 336-323 B.C."
DF235-238.9,DF235-238.9,DF,235,238.9,"Hellenistic period, 323-146 B.C."
DF239-241,DF239-241,DF,239,241,"Roman epoch, 140 B.C.-323/476 A.D."
DF251-289,DF251-289,DF,251,289,"Local history and description"
DF501-649,DF501-649,DF,501,649,"Medieval Greece. Byzantine Empire, 323-1453"
DF501-518,DF501-518,DF,501,518,General
DF520-542.4,DF520-542.4,DF,520,542.4,"Antiquities. Social life and customs. Ethnography"
DF545-548,DF545-548,DF,545,548,"Military history. Political history. Empire and papacy"
DF550-649,DF550-649,DF,550,649,History
DF550-552.8,DF550-552.8,DF,550,552.8,General
DF553-599.5,DF553-599.5,DF,553,599.5,"Eastern Empire, 323/476-1057. Constantine the Great"
DF599.8-649,DF599.8-649,DF,599.8,649,"1057-1453"
DF610-629,DF610-629,DF,610,629,"1204-1261. Latin Empire"
DF630-649,DF630-649,DF,630,649,"1261-1453. Palaeologi"
DF645-649,DF645-649,DF,645,649,"1453. Fall of Constantinople"
DF701-951,DF701-951,DF,701,951,Modern Greece
DF701-720,DF701-720,DF,701,720,General
DF720.5-728,DF720.5-728,DF,720.5,728,"Description and travel"
DF741-748,DF741-748,DF,741,748,"Social life and customs. Ethnography"
DF750-854.32,DF750-854.32,DF,750,854.32,History
DF750-760,DF750-760,DF,750,760,General
DF765-787,DF765-787,DF,765,787,"Military, naval, and political history. Foreign relations"
DF801-854.32,DF801-854.32,DF,801,854.32,By period
DF801-801.9,DF801-801.9,DF,801,801.9,"Turkish rule, 1453-1821"
DF802-832,DF802-832,DF,802,832,"1821-1913"
DF804-815,DF804-815,DF,804,815,"War of Independence, 1821-1829"
DF816-818,DF816-818,DF,816,818,"Kapodistrias, 1827-1831"
DF833-854.32,DF833-854.32,DF,833,854.32,"20th century"
DF848,DF848,DF,848,848,"Republic, 1924-1935"
DF895-951,DF895-951,DF,895,951,"Local history and description"
DF901,DF901,DF,901,901,"Regions, provinces, islands, etc., A-Z"
DF901-C88,DF901-C88,DF,901,901,Crete
DF915-936,DF915-936,DF,915,936,Athens
DF951,DF951,DF,951,951,"Other cities, towns, etc., A-Z"
