id,code,prefix,start,end,label
DG1-999,DG1-999,DG,1,999,Italy. Malta
DG1-365,DG1-365,DG,1,365,Ancient Italy. Ancient Rome
DG11-16,DG11-16,DG,11,16,General works on Ancient Italy
DG11,DG11,DG,11,11,General works
DG13,DG13,DG,13,13,"Ethnography, peoples of Italy"
DG15,DG15,DG,15,15,Pre-Roman Italy
DG16,DG16,DG,16,16,Etruscans
DG21-190,DG21-190,DG,21,190,Ancient Rome (General)
DG21,DG21,DG,21,21,General works
DG31,DG31,DG,31,31,Sources
DG35,DG35,DG,35,35,Historiography
DG37,DG37,DG,37,37,Archaeology
DG41,DG41,DG,41,41,Topography of Rome
DG42,DG42,DG,42,42,Monuments
DG45,DG45,DG,45,45,Public buildings
DG51,DG51,DG,51,51,Private buildings
DG55,DG55,DG,55,55,"Streets, fora, public spaces"
DG59,DG59,DG,59,59,Roman life and customs
DG61,DG61,DG,61,61,Social life
DG65,DG65,DG,65,65,Religion
DG69,DG69,DG,69,69,Festivals, rituals
DG75,DG75,DG,75,75,Art
DG78,DG78,DG,78,78,Architecture / Topography
DG79,DG79,DG,79,79,Inscriptions
DG83,DG83,DG,83,83,Education
DG87,DG87,DG,87,87,Law
DG89,DG89,DG,89,89,Constitution
DG91,DG91,DG,91,91,Political institutions
DG95,DG95,DG,95,95,Magistracies
DG99,DG99,DG,99,99,Senate
DG101,DG101,DG,101,101,Assemblies
DG105,DG105,DG,105,105,Army
DG109,DG109,DG,109,109,Navy
DG113,DG113,DG,113,113,Finance, taxation
DG115,DG115,DG,115,115,Economy
DG119,DG119,DG,119,119,Slavery
DG121,DG121,DG,121,121,Women
DG125,DG125,DG,125,125,Family
DG129,DG129,DG,129,129,Daily life
DG131,DG131,DG,131,131,"Manners and customs"
DG135,DG135,DG,135,135,"Science, technology"
DG139,DG139,DG,139,139,Medicine
DG143,DG143,DG,143,143,"Literature (historical context)"
DG147,DG147,DG,147,147,Philosophy (Roman)
DG151,DG151,DG,151,151,Education
DG155,DG155,DG,155,155,"Law (general)"
DG159,DG159,DG,159,159,Private law
DG163,DG163,DG,163,163,Criminal law
DG167,DG167,DG,167,167,Public law
DG171,DG171,DG,171,171,"Religion (general)"
DG175,DG175,DG,175,175,Cults
DG179,DG179,DG,179,179,Priesthoods
DG183,DG183,DG,183,183,Temples
DG187,DG187,DG,187,187,Sacred places
DG190,DG190,DG,190,190,Miscellaneous topics
DG201-365,DG201-365,DG,201,365,Roman History by period
DG201-209,DG201-209,DG,201,209,Early Rome
DG211-219,DG211-219,DG,211,219,Regal period
DG221-239,DG221-239,DG,221,239,Early Republic
DG241-259,DG241-259,DG,241,259,Middle Republic
DG261-269,DG261-269,DG,261,269,Late Republic
DG261,DG261,DG,261,261,Triumvirates
DG271-309,DG271-309,DG,271,309,Early Empire
DG311-339,DG311-339,DG,311,339,High Empire
DG341-365,DG341-365,DG,341,365,Late Empire
