id,code,prefix,start,end,label
KJA2-3660,KJA2-3660,KJA,2,3660,Roman law
KJA160-174,KJA160-174,KJA,160,174,Roman law compared with other legal systems
KJA190-2152,KJA190-2152,KJA,190,2152,Sources
KJA200-994,KJA200-994,KJA,200,994,Pre-Justinian periods
KJA211-220,KJA211-220,KJA,211,220,Leges regiae
KJA231-240,KJA231-240,KJA,231,240,"Leges XII tabularum, 452-450 B.C."
KJA265,KJA265,KJA,265,265,Senatus consulta
KJA285-365,KJA285-365,KJA,285,365,Edicta magistratum
KJA390-500,KJA390-500,KJA,390,500,Constitutiones principum
KJA520-540,KJA520-540,KJA,520,540,Provincial laws
KJA690-994,KJA690-994,KJA,690,994,Jurists law (Jus)
KJA1030-1345,KJA1030-1345,KJA,1030,1345,Later periods
KJA2095-2100,KJA2095-2100,KJA,2095,2100,"Roman constitutional law. Provincial command"
