id,code,prefix,start,end,label
E11-143,E11-143,E,11.0,143.0,America
E11-29,E11-29,E,11.0,29.0,General
E29,E29,E,29.0,29.0,Elements in the population
E31-49.2,E31-49.2,E,31.0,49.2,North America
E51-73,E51-73,E,51.0,73.0,Pre-Columbian America.  The Indians
E75-99,E75-99,E,75.0,99.0,Indians of North America
E81-83,E81-83,E,81.0,83.0,Indian wars
E99,E99,E,99.0,99.0,Indian tribes and cultures
E101-135,E101-135,E,101.0,135.0,Discovery of America and early explorations
E103-110,E103-110,E,103.0,110.0,Pre-Columbian period
E111-120,E111-120,E,111.0,120.0,Columbus
E121-135,E121-135,E,121.0,135.0,Post-Columbian period.  El Dorado
E141-143,E141-143,E,141.0,143.0,Descriptive accounts of America.  Earliest to 1810
E151-889,E151-889,E,151.0,889.0,United States
E151-169.12,E151-169.12,E,151.0,169.12,General
E171-183.9,E171-183.9,E,171.0,183.9,History
E171-180,E171-180,E,171.0,180.0,General
E173,E173,E,173.0,173.0,Sources and documents
E175-175.7,E175-175.7,E,175.0,175.7,Historiography
E176-176.8,E176-176.8,E,176.0,176.8,Biography
E179.5,E179.5,E,179.5,179.5,Historical geography
E181,E181,E,181.0,181.0,Military history
E182,E182,E,182.0,182.0,Naval history
E183-183.3,E183-183.3,E,183.0,183.3,Political history
E183.7-183.9,E183.7-183.9,E,183.7,183.9,Diplomatic history.  Foreign and general relations.
E183.8,E183.8,E,183.8,183.8,Relations with individual countries E184-185.98                               Elements in the population
E184.5-185.98,E184.5-185.98,E,184.5,185.98,Afro-Americans
E185.2-185.89,E185.2-185.89,E,185.2,185.89,Status and development since emancipation
E185.96-185.98,E185.96-185.98,E,185.96,185.98,Biography.  Genealogy E186-199                                    Colonial history (1607-1775)
E186-189,E186-189,E,186.0,189.0,General
E191-199,E191-199,E,191.0,199.0,By period
E191,E191,E,191.0,191.0,1607-1689
E195-199,E195-199,E,195.0,199.0,1689-1775
E196,E196,E,196.0,196.0,"King William's War, 1689-1697"
E197,E197,E,197.0,197.0,"Queen Anne's War, 1702-1713"
E198,E198,E,198.0,198.0,"King George's War, 1744-1748"
E199,E199,E,199.0,199.0,"French and Indian War, 1755-1763 E201-298                                    The Revolution, 1775-1783"
E300-453,E300-453,E,300.0,453.0,"Revolution to the Civil War, 1775/1783-1861"
E300-302.6,E300-302.6,E,300.0,302.6,General
E302,E302,E,302.0,302.0,Collected works of American statesmen
E302.1,E302.1,E,302.1,302.1,Political history
E302.5-302.6,E302.5-302.6,E,302.5,302.6,Biography (Late eighteenth century)
E303-440.5,E303-440.5,E,303.0,440.5,By period
E303-309,E303-309,E,303.0,309.0,"1775-1789.  The Confederation, 1783-1789"
E310-337,E310-337,E,310.0,337.0,1789-1809.  Constitutional period
E310.7,E310.7,E,310.7,310.7,Diplomatic history.  Foreign and general relations
E311-320,E311-320,E,311.0,320.0,"Washington's administrations, 1789-1797"
E321-330,E321-330,E,321.0,330.0,"John Adams' administration, 1797-1801"
E323,E323,E,323.0,323.0,"Troubles with France, 1796-1800"
E331-337,E331-337,E,331.0,337.0,"Jefferson's administrations, 1801-1809"
E333,E333,E,333.0,333.0,"Purchase of Louisiana, 1803"
E335,E335,E,335.0,335.0,"War with Tripoli, 1801-1805"
E336-336.5,E336-336.5,E,336.0,336.5,"Neutral trade and its restrictions, 1800-1810 E337.5                                               Nineteenth century (General)"
E337.8-400,E337.8-400,E,337.8,400.0,"Early nineteenth century, 1801/1809-1845"
E337.8-340,E337.8-340,E,337.8,340.0,General
E337.8,E337.8,E,337.8,337.8,Collected works of American statesmen
E339-340,E339-340,E,339.0,340.0,Biography
E341-370,E341-370,E,341.0,370.0,"Madison's administrations, 1809-1817"
E351.5-364.9,E351.5-364.9,E,351.5,364.9,War of 1812
E365,E365,E,365.0,365.0,"War with Algeria, 1815"
E371-375,E371-375,E,371.0,375.0,"Monroe's administrations, 1817-1825"
E373,E373,E,373.0,373.0,"Missouri Compromise, 1820"
E374,E374,E,374.0,374.0,Diplomatic history.  Foreign relations
E376-380,E376-380,E,376.0,380.0,"John Quincy Adams' administration, 1825-1829"
E381-385,E381-385,E,381.0,385.0,"Jackson's administrations, 1829-1837"
E384.3,E384.3,E,384.3,384.3,Nullification
E386-390,E386-390,E,386.0,390.0,"Van Buren's administration, 1837-1841"
E391-392,E391-392,E,391.0,392.0,"William H. Harrison's administration, March 4- April 4, 1841"
E396-400,E396-400,E,396.0,400.0,"Tyler's administration, April 4, 1841-1845"
E398,E398,E,398.0,398.0,"Northeastern boundary disputes, 1783-1845 E401-415.2                                        Mexican War, 1846-1848"
E408,E408,E,408.0,408.0,Mexican cessions of 1848
E415.6-440.5,E415.6-440.5,E,415.6,440.5,"Middle nineteenth century, 1845/1848-1861"
E415.6-415.9,E415.6-415.9,E,415.6,415.9,General
E415.6,E415.6,E,415.6,415.6,Collected works of American statesmen
E415.8-415.9,E415.8-415.9,E,415.8,415.9,Biography
E416-420,E416-420,E,416.0,420.0,"Polk's administration, 1845-1849"
E421-423,E421-423,E,421.0,423.0,"Taylor's administration, 1849-July 9, 1850"
E423,E423,E,423.0,423.0,"Slavery question, 1849-1853"
E426-430,E426-430,E,426.0,430.0,"Fillmore's administration, July 9, 1850-1853"
E431-435,E431-435,E,431.0,435.0,"Pierce's administration, 1853-1857"
E433,E433,E,433.0,433.0,"Slavery question, 1853-1857"
E436-440.5,E436-440.5,E,436.0,440.5,"Buchanan's administration, 1857-1861"
E438,E438,E,438.0,438.0,"Slavery question, 1857-1861"
E440.5,E440.5,E,440.5,440.5,"State of the country, November 1860- March 4, 1861"
E441-453,E441-453,E,441.0,453.0,Slavery in the United States.  Antislavery movements
E456-655,E456-655,E,456.0,655.0,"Civil War period, 1861-1865"
E456-459,E456-459,E,456.0,459.0,"Lincoln's administrations, 1861-April 15, 1865"
E461-655,E461-655,E,461.0,655.0,"The Civil War, 1861-1865"
E482-489,E482-489,E,482.0,489.0,Confederate States of America
E491-586,E491-586,E,491.0,586.0,Armies.  Troops
E591-600,E591-600,E,591.0,600.0,Naval history
E660-738,E660-738,E,660.0,738.0,"Late nineteenth century, 1865-1900"
E660-664,E660-664,E,660.0,664.0,General
E660,E660,E,660.0,660.0,Collected works of American statesmen
E661.7,E661.7,E,661.7,661.7,Diplomatic history.  Foreign and general relations
E663-664,E663-664,E,663.0,664.0,Biography
E666-670,E666-670,E,666.0,670.0,"Johnson's administration, April 15, 1865-1869"
E668,E668,E,668.0,668.0,"Reconstruction, 1865-1877"
E669,E669,E,669.0,669.0,"Purchase of Alaska, 1867"
E671-680,E671-680,E,671.0,680.0,"Grant's administrations, 1869-1877"
E681-685,E681-685,E,681.0,685.0,"Hayes' administration, 1877-1881"
E686-687.9,E686-687.9,E,686.0,687.9,"Garfield's administration, March 4-September 19, 1881"
E691-695,E691-695,E,691.0,695.0,"Arthur's administration, September 19, 1881-1885"
E696-700,E696-700,E,696.0,700.0,"Cleveland's first administration, 1885-1889"
E701-705,E701-705,E,701.0,705.0,"Benjamin Harrison's administration, 1889-1893"
E706-710,E706-710,E,706.0,710.0,"Cleveland's second administration, 1893-1897"
E711-738,E711-738,E,711.0,738.0,"McKinley's first administration, 1897-1901"
E713,E713,E,713.0,713.0,"Annexation in 1898 of Hawaii, the Philippines, and Puerto Rico"
E714-735,E714-735,E,714.0,735.0,War of 1898 (Spanish-American War)
E740-837.7,E740-837.7,E,740.0,837.7,Twentieth century
E740-749,E740-749,E,740.0,749.0,General
