item,itemLabel
http://www.wikidata.org/entity/Q465656,History of devaluation of the Hungarian forint
http://www.wikidata.org/entity/Q467816,Q467816
http://www.wikidata.org/entity/Q988493,Chuang Guandong
http://www.wikidata.org/entity/Q1035808,History of Heréd
http://www.wikidata.org/entity/Q1299776,History of Szolnok
http://www.wikidata.org/entity/Q1545771,Cross border commuters in the Berlin area 1948–1961
http://www.wikidata.org/entity/Q1627692,History of the Naval Infantry (Russia)
http://www.wikidata.org/entity/Q2046649,Names of Khyber Pakhtunkhwa
http://www.wikidata.org/entity/Q2562650,history of Xinjiang
http://www.wikidata.org/entity/Q2643575,Kingdom of Italy
http://www.wikidata.org/entity/Q3136566,History of Aix-en-Provence
http://www.wikidata.org/entity/Q3136955,History of the French Army
http://www.wikidata.org/entity/Q3136996,history of hypnosis
http://www.wikidata.org/entity/Q3137330,history of silk production in Lyon
http://www.wikidata.org/entity/Q3137991,Q3137991
http://www.wikidata.org/entity/Q3374989,United States occupation of Cuba
http://www.wikidata.org/entity/Q3376121,The Holocaust in Romania
http://www.wikidata.org/entity/Q3792908,Q3792908
http://www.wikidata.org/entity/Q3855348,Bf 110 night fighter operational history
http://www.wikidata.org/entity/Q3855349,Bf 110 operational history part 1
http://www.wikidata.org/entity/Q3911916,reception history of Jane Austen
http://www.wikidata.org/entity/Q3973907,Q3973907
http://www.wikidata.org/entity/Q3973919,Q3973919
http://www.wikidata.org/entity/Q3973971,Q3973971
http://www.wikidata.org/entity/Q3974109,Q3974109
http://www.wikidata.org/entity/Q3974276,Q3974276
http://www.wikidata.org/entity/Q3974305,Q3974305
http://www.wikidata.org/entity/Q4204565,history of Belozersk
http://www.wikidata.org/entity/Q4823739,Australia on the Map
http://www.wikidata.org/entity/Q5266831,Developments at Zoo Basel
http://www.wikidata.org/entity/Q5423584,F-14 Tomcat operational history
http://www.wikidata.org/entity/Q5474808,homosexuality in pre-Columbian civilizations
http://www.wikidata.org/entity/Q5686717,Rahat al-sudur
http://www.wikidata.org/entity/Q5775412,History of Bristol City Council
http://www.wikidata.org/entity/Q5776002,History of Edinburgh Zoo
http://www.wikidata.org/entity/Q5866048,History of Popes Creek
http://www.wikidata.org/entity/Q5867319,History of Zoo Basel
http://www.wikidata.org/entity/Q5868510,history of rail transport in India
http://www.wikidata.org/entity/Q5868627,history of rapid transit
http://www.wikidata.org/entity/Q5868879,History of soil science
http://www.wikidata.org/entity/Q5869236,history of the Church of the Nazarene
http://www.wikidata.org/entity/Q5899511,Q5899511
http://www.wikidata.org/entity/Q5899812,Q5899812
http://www.wikidata.org/entity/Q5900527,Q5900527
http://www.wikidata.org/entity/Q5954143,history of the Eastern Orthodox Church
http://www.wikidata.org/entity/Q6027786,history of Anıtkabir
http://www.wikidata.org/entity/Q6091308,history of Galata Tower
http://www.wikidata.org/entity/Q6796750,Maya city
http://www.wikidata.org/entity/Q7239962,Prehistory Museum of Tripoli
http://www.wikidata.org/entity/Q7419035,Sanssouci at the time of Frederick William IV
http://www.wikidata.org/entity/Q9292960,History of wars
http://www.wikidata.org/entity/Q9384423,Salt in Chinese history
http://www.wikidata.org/entity/Q10297540,history of Rondônia
http://www.wikidata.org/entity/Q10297548,Q10297548
http://www.wikidata.org/entity/Q10297555,history of Sao Paulo
http://www.wikidata.org/entity/Q10524651,historical murders and executions in Stockholm
http://www.wikidata.org/entity/Q10788702,Q10788702
http://www.wikidata.org/entity/Q11437142,Ōnuma-Kaidō
http://www.wikidata.org/entity/Q11463115,history of Odakyū operational timetable
http://www.wikidata.org/entity/Q11481877,Hadzu kaidō
http://www.wikidata.org/entity/Q11517920,Q11517920
http://www.wikidata.org/entity/Q11530419,Q11530419
http://www.wikidata.org/entity/Q11532247,Q11532247
http://www.wikidata.org/entity/Q11583457,Shimpukujimichi
http://www.wikidata.org/entity/Q11585510,Q11585510
http://www.wikidata.org/entity/Q11603376,History of Mount Hakone
http://www.wikidata.org/entity/Q11607722,Q11607722
http://www.wikidata.org/entity/Q11621442,Gamagōri Kaidō
http://www.wikidata.org/entity/Q11629591,Q11629591
http://www.wikidata.org/entity/Q11654962,Q11654962
http://www.wikidata.org/entity/Q11863006,Bata Shoes
http://www.wikidata.org/entity/Q11925930,Q11925930
http://www.wikidata.org/entity/Q12191145,Q12191145
http://www.wikidata.org/entity/Q12195220,Human rights in Saddam Hussein's Iraq
http://www.wikidata.org/entity/Q12412143,Q12412143
http://www.wikidata.org/entity/Q12760665,Photography in Serbia
http://www.wikidata.org/entity/Q12987403,Q12987403
http://www.wikidata.org/entity/Q12989070,Q12989070
http://www.wikidata.org/entity/Q14505583,Q14505583
http://www.wikidata.org/entity/Q15918698,Castellaro Vecchio culture
http://www.wikidata.org/entity/Q16157302,History of the International Society for Krishna Consciousness
http://www.wikidata.org/entity/Q16166338,Gukjobogam
http://www.wikidata.org/entity/Q16181190,Q16181190
http://www.wikidata.org/entity/Q16837802,History of PAX
http://www.wikidata.org/entity/Q16963197,Q16963197
http://www.wikidata.org/entity/Q16972897,History of George Mason basketball
http://www.wikidata.org/entity/Q17000612,History of the Australian Labor Party
http://www.wikidata.org/entity/Q17004715,History of rail transport in Morocco
http://www.wikidata.org/entity/Q17004721,History of the Franco-Americans
http://www.wikidata.org/entity/Q17023589,History of Puli
http://www.wikidata.org/entity/Q17029486,history of High Efficiency Video Coding implementations and products
http://www.wikidata.org/entity/Q17215853,Camphor industry in Taiwan
http://www.wikidata.org/entity/Q17231201,history of news agencies
http://www.wikidata.org/entity/Q18206450,history of Northern Nigeria
http://www.wikidata.org/entity/Q19173236,Q19173236
http://www.wikidata.org/entity/Q19630663,History of Idar
http://www.wikidata.org/entity/Q19757558,History of the South Africa national rugby union team
http://www.wikidata.org/entity/Q19807355,Q19807355
http://www.wikidata.org/entity/Q19893696,Mannar treaty
http://www.wikidata.org/entity/Q19895319,History of Persian domes
http://www.wikidata.org/entity/Q20008725,Q20008725
http://www.wikidata.org/entity/Q20104887,Q20104887
http://www.wikidata.org/entity/Q20105574,Q20105574
http://www.wikidata.org/entity/Q20724000,French cavalry in World War I
http://www.wikidata.org/entity/Q20878150,History of the Wales national rugby union team
http://www.wikidata.org/entity/Q21174715,History of Kutch
http://www.wikidata.org/entity/Q22079219,Opening up the Mountains and Pacifying the Aborigines
http://www.wikidata.org/entity/Q22083519,Discovery of Hawaii
http://www.wikidata.org/entity/Q22936481,Prehistory of Marinduque
http://www.wikidata.org/entity/Q23808242,History of the Ireland national rugby union team
http://www.wikidata.org/entity/Q23893358,History of cardistry
http://www.wikidata.org/entity/Q26155298,Q26155298
http://www.wikidata.org/entity/Q26202905,football in Vienna
http://www.wikidata.org/entity/Q27147935,Q27147935
http://www.wikidata.org/entity/Q27914667,Q27914667
http://www.wikidata.org/entity/Q27925173,Qin Shi Huang's inspection tours
http://www.wikidata.org/entity/Q28454351,Nigeria national football team all-time record
http://www.wikidata.org/entity/Q28484393,History of Bulgarian historiography
http://www.wikidata.org/entity/Q30502405,History of Kutná Hora
http://www.wikidata.org/entity/Q30941574,diversions of the Yellow River
http://www.wikidata.org/entity/Q31086147,Q31086147
http://www.wikidata.org/entity/Q31747721,history of Punjabi orthography
http://www.wikidata.org/entity/Q46449232,Hitler At Home
http://www.wikidata.org/entity/Q48750361,Q48750361
http://www.wikidata.org/entity/Q48750991,timeline of Narita airport problem
http://www.wikidata.org/entity/Q48754677,history of school education
http://www.wikidata.org/entity/Q50377174,World War II Uffizi Museum
http://www.wikidata.org/entity/Q51722535,Karl Haberstock. Umstrittener Kunsthändler und Mäzen
http://www.wikidata.org/entity/Q51947526,A Survey of Nazi and Pro-Nazi Groups in Switzerland: 1930-1945
http://www.wikidata.org/entity/Q51948377,"Organisationen, Institutionen, Bewegungen"
http://www.wikidata.org/entity/Q52148704,"Hitler's Art Thief: Hildebrand Gurlitt, the Nazis, and the Looting of Europe's Treasures"
http://www.wikidata.org/entity/Q52152845,Q52152845
http://www.wikidata.org/entity/Q52152849,Q52152849
http://www.wikidata.org/entity/Q54423937,Schwarzbuch Bührle : Raubkunst für das Kunsthaus Zürich?
http://www.wikidata.org/entity/Q54803780,history of dubbing in Spain
http://www.wikidata.org/entity/Q56318788,Q56318788
http://www.wikidata.org/entity/Q56347675,history of Belém
http://www.wikidata.org/entity/Q56561941,Q56561941
http://www.wikidata.org/entity/Q56753340,"Paul Graupe (1881-1953). Ein Berliner Kunsthändler zwischen Republik, Nationalsozialismus und Exil"
http://www.wikidata.org/entity/Q59274235,The Obligation of Ownership - An Art Collection Under Scrutiny
http://www.wikidata.org/entity/Q59457683,The Nazis next door : how America became a safe haven for Hitler's men
http://www.wikidata.org/entity/Q60528371,history of Amazon
http://www.wikidata.org/entity/Q60959458,Prehistory of Morocco
http://www.wikidata.org/entity/Q61751115,History of territorial organization of power in Spain
http://www.wikidata.org/entity/Q63099003,Le Marché de l'art sous l'occupation: 1940 -1944
http://www.wikidata.org/entity/Q64210940,Arabian Navy
http://www.wikidata.org/entity/Q65216199,Coins of the vascones
http://www.wikidata.org/entity/Q66458807,Q66458807
http://www.wikidata.org/entity/Q66485955,Q66485955
http://www.wikidata.org/entity/Q67045014,History of Afragola
http://www.wikidata.org/entity/Q73562510,Works Progress Administration Circus
http://www.wikidata.org/entity/Q76574283,"Lost Lives, Lost Art: Jewish Collectors, Nazi Art Theft, and the Quest for Justice"
http://www.wikidata.org/entity/Q81644706,Witch-hunt in Basque Country
http://www.wikidata.org/entity/Q83467277,Building 18011-20
http://www.wikidata.org/entity/Q83639059,Building 18010-118
http://www.wikidata.org/entity/Q83702262,Building 18011-12
http://www.wikidata.org/entity/Q83788656,Building 18013-262
http://www.wikidata.org/entity/Q85882384,Q85882384
http://www.wikidata.org/entity/Q86367772,Building 18010-111-110
http://www.wikidata.org/entity/Q86740536,history of Moji
http://www.wikidata.org/entity/Q87992192,Building 18010-116
http://www.wikidata.org/entity/Q94410390,History of Caltanissetta
http://www.wikidata.org/entity/Q95946215,Excrement disposal system at Taiwan's Japanese occupation
http://www.wikidata.org/entity/Q97041431,Fashion and Persecution The Fate of Jewish Clothiers in the Nazi Dictatorship on the Premises of Today’s Justice Ministry
http://www.wikidata.org/entity/Q97055139,Holocaust: From the persecution of the Jews to mass murder
http://www.wikidata.org/entity/Q97299972,Midwife regulations in Japanese Taiwan
http://www.wikidata.org/entity/Q97300335,Mao Zedong thanking Japan controversy
http://www.wikidata.org/entity/Q98000087,Operation Paperclip: The Secret Intelligence Program to Bring Nazi Scientists to America
http://www.wikidata.org/entity/Q98034326,"Bloodlines: Recovering Hitler’s Nuremberg Laws, From Patton’s Trophy to Public Memorial"
http://www.wikidata.org/entity/Q98556750,Robbery and restitution : the conflict over Jewish property in Europe
http://www.wikidata.org/entity/Q98556774,Betrifft 'Aktion 3'. Deutsche verwerten jüdische Nachbarn
http://www.wikidata.org/entity/Q100272930,History of Transylvania until the Hungarian conquest of the Carpathian Basin
http://www.wikidata.org/entity/Q101506327,Geheim-Depot Schweiz : wie Banken am Holocaust verdienen
http://www.wikidata.org/entity/Q101583181,History of Transylvania from the Hungarian conquest until the battle of Mohács
http://www.wikidata.org/entity/Q104520680,Göring's man in Paris : the story of a Nazi art plunderer and his world
http://www.wikidata.org/entity/Q104843137,Inside the House of Zyklon B
http://www.wikidata.org/entity/Q105332734,Q105332734
http://www.wikidata.org/entity/Q106584454,Q106584454
http://www.wikidata.org/entity/Q106827405,An Oral and Documentary History of Hong Kong Protestant Christians
http://www.wikidata.org/entity/Q106827439,Interviewee: Chan Cho Wai
http://www.wikidata.org/entity/Q106827472,Interviewee: Chiu Sin Wing
http://www.wikidata.org/entity/Q106827473,Interviewee: Choi Yuen Wan
http://www.wikidata.org/entity/Q106827474,Interviewee: Fung Chi Wood
http://www.wikidata.org/entity/Q106827475,Interviewee: Fung Wai Man
http://www.wikidata.org/entity/Q106827476,Interviewee: Kwok Nai Wang
http://www.wikidata.org/entity/Q106827477,Interviewee: Lau Chin Shek
http://www.wikidata.org/entity/Q106827478,Interviewee: Li Sook Kit
http://www.wikidata.org/entity/Q106827479,Interviewee: Leung Tai Fai
http://www.wikidata.org/entity/Q106827480,Interviewee: Sung Yun Wing
http://www.wikidata.org/entity/Q106827482,Interviewee: Tam Yik Fai
http://www.wikidata.org/entity/Q106827483,Interviewee: Wu Chi Wai
http://www.wikidata.org/entity/Q106827484,Interviewee: Wu Lo Sai
http://www.wikidata.org/entity/Q106827485,Interviewee: Wong Pik Wan
http://www.wikidata.org/entity/Q106827486,Interviewee: Wong Wai Ching
http://www.wikidata.org/entity/Q106827487,Interviewee: Yu Miu Wan
http://www.wikidata.org/entity/Q106827488,Interviewee: Yu Wai Kan
http://www.wikidata.org/entity/Q106827489,Interviewee: Yung Wai Yip
http://www.wikidata.org/entity/Q106827494,Interviewee: Tso Man King
http://www.wikidata.org/entity/Q106984458,"Cueva del Diablo, Western Sahara"
http://www.wikidata.org/entity/Q107343508,history of Istanbul Metro
http://www.wikidata.org/entity/Q397648,agrément
http://www.wikidata.org/entity/Q523135,Bismarck diplomacy
http://www.wikidata.org/entity/Q938711,diplomatic corps
http://www.wikidata.org/entity/Q1018748,Byzantine diplomacy
http://www.wikidata.org/entity/Q1518429,panda diplomacy
http://www.wikidata.org/entity/Q1837041,dual accreditation
http://www.wikidata.org/entity/Q2811983,Q2811983
http://www.wikidata.org/entity/Q5251284,defence diplomacy
http://www.wikidata.org/entity/Q5468597,foreign relations of the United Arab Emirates
http://www.wikidata.org/entity/Q5811890,"Columbia-ELN peace talks, 1998-2002"
http://www.wikidata.org/entity/Q7225186,politics and sports
http://www.wikidata.org/entity/Q11410326,Q11410326
http://www.wikidata.org/entity/Q11909635,Q11909635
http://www.wikidata.org/entity/Q11912602,Q11912602
http://www.wikidata.org/entity/Q11915476,Q11915476
http://www.wikidata.org/entity/Q11915481,Q11915481
http://www.wikidata.org/entity/Q11917302,Q11917302
http://www.wikidata.org/entity/Q11917307,Q11917307
http://www.wikidata.org/entity/Q11917310,Q11917310
http://www.wikidata.org/entity/Q11917318,Q11917318
http://www.wikidata.org/entity/Q11917768,Q11917768
http://www.wikidata.org/entity/Q11926776,Q11926776
http://www.wikidata.org/entity/Q11938955,Q11938955
http://www.wikidata.org/entity/Q11945305,Q11945305
http://www.wikidata.org/entity/Q12592569,Gumi Foreign Affairs Committee of the Provisional Government of the Republic of Korea
http://www.wikidata.org/entity/Q16927722,Twitter diplomacy
http://www.wikidata.org/entity/Q19372458,Q19372458
http://www.wikidata.org/entity/Q20105471,Q20105471
http://www.wikidata.org/entity/Q21081723,Q21081723
http://www.wikidata.org/entity/Q21081893,Q21081893
http://www.wikidata.org/entity/Q21082018,Q21082018
http://www.wikidata.org/entity/Q21082862,Q21082862
http://www.wikidata.org/entity/Q21087198,Q21087198
http://www.wikidata.org/entity/Q21087371,Q21087371
http://www.wikidata.org/entity/Q21087492,Q21087492
http://www.wikidata.org/entity/Q22684630,Joint Declaration of Pope Francis and Patriarch Kiril
http://www.wikidata.org/entity/Q24960353,recall of an ambassador
http://www.wikidata.org/entity/Q96371960,American Spaces
http://www.wikidata.org/entity/Q106231683,Crimea Platform
http://www.wikidata.org/entity/Q112075684,Arab League–Egypt relations
http://www.wikidata.org/entity/Q112075685,Arab League–Sudan relations
http://www.wikidata.org/entity/Q112151527,Zhong Yuan Qigong
http://www.wikidata.org/entity/Q1931566,turtle plastron
http://www.wikidata.org/entity/Q7532571,Siwu Tang Wan
http://www.wikidata.org/entity/Q10405662,Pien tze huang
http://www.wikidata.org/entity/Q11260252,uirō
http://www.wikidata.org/entity/Q17038663,Polyporus Decoction
http://www.wikidata.org/entity/Q24864133,Q24864133
http://www.wikidata.org/entity/Q24868782,otsujito
http://www.wikidata.org/entity/Q27701902,anchu-san
http://www.wikidata.org/entity/Q27702239,Ophiopogon Decoction
http://www.wikidata.org/entity/Q27702376,bofutsushosan
http://www.wikidata.org/entity/Q27702431,boi-ogi-to
http://www.wikidata.org/entity/Q27702512,Tuckahoe Decoction
http://www.wikidata.org/entity/Q27702514,Tuckahoe Drink with Pinellia and Magnolia bark Decoction
http://www.wikidata.org/entity/Q27702608,white-tiger and ginseng decoction
http://www.wikidata.org/entity/Q27730847,Gallbladder-Warming Decoction
http://www.wikidata.org/entity/Q27730851,choijokito
http://www.wikidata.org/entity/Q27730855,choreitogoshimotsuto
http://www.wikidata.org/entity/Q27730950,chotosan
http://www.wikidata.org/entity/Q27730980,daibofuto
http://www.wikidata.org/entity/Q27731021,daijokito
http://www.wikidata.org/entity/Q27731039,daikenchuto
http://www.wikidata.org/entity/Q27731210,daiobotampito
http://www.wikidata.org/entity/Q27731212,daiokanzoto
http://www.wikidata.org/entity/Q27731214,Major Bupleurum Decoction
http://www.wikidata.org/entity/Q27731325,eppikajutsuto
http://www.wikidata.org/entity/Q27731328,gokoto
http://www.wikidata.org/entity/Q27731330,goreisan
http://www.wikidata.org/entity/Q27731332,gorinsan
http://www.wikidata.org/entity/Q27731432,goshajinkigan
http://www.wikidata.org/entity/Q27731435,goshakusan
http://www.wikidata.org/entity/Q27731438,goshuyuto
http://www.wikidata.org/entity/Q27731440,hachimijiogan / hachimigan
http://www.wikidata.org/entity/Q27731443,hainosankyuto
http://www.wikidata.org/entity/Q27732572,hangebyakujutsutemmato
http://www.wikidata.org/entity/Q27732576,hangekobokuto
http://www.wikidata.org/entity/Q27732577,hangeshashinto
http://www.wikidata.org/entity/Q27732579,heiisan
http://www.wikidata.org/entity/Q27732581,hochuekkito
http://www.wikidata.org/entity/Q27732631,ifuto
http://www.wikidata.org/entity/Q27732633,inchingoreisan
http://www.wikidata.org/entity/Q27732636,inchinkoto
http://www.wikidata.org/entity/Q27732638,ireito
http://www.wikidata.org/entity/Q27732768,jidabokuippo
http://www.wikidata.org/entity/Q27732771,jiinkokato
