item,itemLabel,property,propertyLabel,startDate,endDate,pointInTime,location,locationLabel,instanceOf,instanceOfLabel,partOf,partOfLabel,follows,followsLabel,followedBy,followedByLabel,subclassOf,subclassOfLabel,commonsCategory,lcnaf,commonsCategoryLink
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q83311,Persian Empire,http://www.wikidata.org/entity/Q379821,Massagetae,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q3024240,historical country,http://www.wikidata.org/entity/Q114867307,Achaemenid Period,http://www.wikidata.org/entity/Q379821,Massagetae,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q114867307,Achaemenid Period,http://www.wikidata.org/entity/Q379821,Massagetae,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q3024240,historical country,http://www.wikidata.org/entity/Q124003554,Medo-Persia,http://www.wikidata.org/entity/Q379821,Massagetae,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q124003554,Medo-Persia,http://www.wikidata.org/entity/Q379821,Massagetae,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q3024240,historical country,http://www.wikidata.org/entity/Q83311,Persian Empire,http://www.wikidata.org/entity/Q486244,Sogdia,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q83311,Persian Empire,http://www.wikidata.org/entity/Q486244,Sogdia,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q3024240,historical country,http://www.wikidata.org/entity/Q114867307,Achaemenid Period,http://www.wikidata.org/entity/Q486244,Sogdia,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q114867307,Achaemenid Period,http://www.wikidata.org/entity/Q486244,Sogdia,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q3024240,historical country,http://www.wikidata.org/entity/Q124003554,Medo-Persia,http://www.wikidata.org/entity/Q486244,Sogdia,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q124003554,Medo-Persia,http://www.wikidata.org/entity/Q486244,Sogdia,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q3024240,historical country,http://www.wikidata.org/entity/Q83311,Persian Empire,http://www.wikidata.org/entity/Q620765,Lydia,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q83311,Persian Empire,http://www.wikidata.org/entity/Q620765,Lydia,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q3024240,historical country,http://www.wikidata.org/entity/Q114867307,Achaemenid Period,http://www.wikidata.org/entity/Q620765,Lydia,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q114867307,Achaemenid Period,http://www.wikidata.org/entity/Q620765,Lydia,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q3024240,historical country,http://www.wikidata.org/entity/Q124003554,Medo-Persia,http://www.wikidata.org/entity/Q620765,Lydia,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q124003554,Medo-Persia,http://www.wikidata.org/entity/Q620765,Lydia,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,http://www.wikidata.org/entity/P1013,criterion used,,,,,,http://www.wikidata.org/entity/Q3024240,historical country,http://www.wikidata.org/entity/Q83311,Persian Empire,http://www.wikidata.org/entity/Q624887,Neo-Babylonian Empire,http://www.wikidata.org/entity/Q486244,Sogdia,,,Achaemenid Empire,sh85000482,
