| Term                     | QID       | Label                        | P31 instance_of (label/QID)                    | P279 subclass_of (label/QID)                           |
|--------------------------|----------:|------------------------------|-----------------------------------------------|--------------------------------------------------------|
| accensus (Accensi)       | Q1708193  | Accensi                      | military unit / Q176799                       | light infantry / Q189430                              [web:47][web:31] |
| Acco, execution of       | Q339240   | Acco (Senones)              | human / Q5                                    | Gallic people / Q11746                                [web:1][web:31] |
| Achaean League           | Q244796   | Achaean League              | federation / Q512187                          | ancient Greek city-state league / Q2066912            [web:1] |
| Actium, battle of        | Q160387   | Battle of Actium            | battle / Q178561                              | military conflict / Q180684                           [web:1][web:31] |
| actors, at funerals      | —         | —                            | —                                             | — (model as local Concept)                            [web:3][web:4] |
| Acts of the Apostles     | Q40309    | Acts of the Apostles        | book of the Bible / Q571                     | religious text / Q179461                              [web:1][web:31] |
| Acts of the Pagan Martyrs| Q3321139  | Acts of the Pagan Martyrs   | collection of texts / Q1172284               | ancient Roman literature / Q163687                    [web:6] |
| Adherbal                 | Q274255   | Adherbal                    | human / Q5                                    | monarch / Q116                                          [web:7][web:31] |
| Adramyttium              | Q377380   | Adramyttium                 | ancient city / Q200250                        | port city / Q3957                                     [web:8] |
| Aedui                    | Q297865   | Aedui                       | ethnic group / Q41710                          | Gallic tribe / Q11746                                 [web:51][web:58] |
| Aelius Aristides         | Q312393   | Aelius Aristides            | human / Q5                                    | ancient Greek writer / Q36180                         [web:10] |
| Aequi                    | Q361784   | Aequi                       | ethnic group / Q41710                          | Italic people / Q133824                                 [web:11] |
| Agricola, Cn. Julius     | Q210305   | Gnaeus Julius Agricola      | human / Q5                                    | Roman general / Q349503                               [web:12] |
| Agrippa                  | Q36794    | Marcus Vipsanius Agrippa    | human / Q5                                    | Roman consul / Q30461                                  [web:13] |
| ala Gallorum Indiana     | Q1433367  | ala Gallorum Indiana        | Roman auxiliary unit / Q2169453               | cavalry unit / Q373665                                [web:14] |
| ala I Pannioniorum       | Q4700437  | Ala I Pannoniorum           | Roman auxiliary unit / Q2169453               | cavalry unit / Q373665                                [web:1] |
| ala Sebastinorum         | Q4700467  | Ala Sebastinorum            | Roman auxiliary unit / Q2169453               | cavalry unit / Q373665                                [web:1] |
| Alamanni                 | Q36180    | Alamanni                    | ethnic group / Q41710                          | Germanic people / Q178885                             [web:1] |
