periodo_ark,label,start_year,end_year,qid,source,authority,broader_periods,narrower_periods,spatial_coverage
http://n2t.net/ark:/99152/p0qhb66zdzz,Vroeg Mesolithicum,-8800,-7101,,ARIADNE Data Collection | ARIADNE Consortium |,http://n2t.net/ark:/99152/p0qhb66,http://n2t.net/ark:/99152/p0qhb66hzfs,,Netherlands
http://n2t.net/ark:/99152/p0pqptckfbt,Mesolithicum vroeg,-8799,-7099,,Het Archeologisch Basisregister (ABR) | Rijksdienst voor het Cultureel Erfgoed,http://n2t.net/ark:/99152/p0pqptc,,,Netherlands
http://n2t.net/ark:/99152/p0m448vx5q4,Paleoindian,-12550,-7050,,The radiocarbon chronology of the Lower Pecos River Region | Solveig A. Turpin,http://n2t.net/ark:/99152/p0m448v,,http://n2t.net/ark:/99152/p0m448vg59n http://n2t.net/ark:/99152/p0m448v7jdt,Lower Pecos River Region | Texas
http://n2t.net/ark:/99152/p06g4sdw94z,Bloque 1,-10050,-7050,,"Últimos  avances  de  la  investigación  arqueológica  en  el  sector  central  de  las  Sierras  de  Córdoba,  Argentina | Roldán  F | López  M.  L | Medina  M.E | Rivero  D.E |  Pastor  S. | Berberián  E.E.",http://n2t.net/ark:/99152/p06g4sd,,,"Córdoba (provincia, Argentina) | Argentina"
http://n2t.net/ark:/99152/p086kj9ssnw,Hell Gap,-7450,-7050,,Digital Index of North American Archaeology (DINAA) | Thaddeus Bissett | David G. Anderson | Sephen Yerka | Eric C. Kansa | Sarah W. Kansa | R Carl DeMuth | Joshua Wells | Kelsey Noack Myers,http://n2t.net/ark:/99152/p086kj9,,,Iowa
http://n2t.net/ark:/99152/p0qhb66v7cz,Paleolítico,-1200000,-7001,,ARIADNE Data Collection | ARIADNE Consortium |,http://n2t.net/ark:/99152/p0qhb66,,,"Spain less Galicia, Asturias, Castilla y Leon"
http://n2t.net/ark:/99152/p0qhb66fr9m,Paleolítico Superior,-50000,-7001,,ARIADNE Data Collection | ARIADNE Consortium |,http://n2t.net/ark:/99152/p0qhb66,,,Spain
http://n2t.net/ark:/99152/p0qhb66bbvk,Early Mesolithic,-10000,-7001,,ARIADNE Data Collection | ARIADNE Consortium |,http://n2t.net/ark:/99152/p0qhb66,,,Britain
http://n2t.net/ark:/99152/p0qhb66mccg,Мезолит,-10000,-7001,,ARIADNE Data Collection | ARIADNE Consortium |,http://n2t.net/ark:/99152/p0qhb66,,,Macedonia | North Macedonia | Republic of Macedonia
http://n2t.net/ark:/99152/p02chr4txtc,Préboréal,-8300,-7001,,PACTOLS chronology periods used in DOLIA data | INRAP: Institut National de Recherches Archeologiques Preventive,http://n2t.net/ark:/99152/p02chr4,,,France
http://n2t.net/ark:/99152/p0qhb66hxr7,Μεσολιθική,-8200,-7001,,ARIADNE Data Collection | ARIADNE Consortium |,http://n2t.net/ark:/99152/p0qhb66,,,Greece except Crete
http://n2t.net/ark:/99152/p07h9k69vsj,Paleolítico Superior,-50000,-7000,,SIA+ Chrono-Cultural Categories | César Gonzalez-Perez | César Parcero Oubiña,http://n2t.net/ark:/99152/p07h9k6,,,Galicia and neighbouring areas in NW Spain | Castilla y Leon | Castile and León | Galicia | Asturias
http://n2t.net/ark:/99152/p0m64tdhjzg,Epipalaeolithic,-10000,-7000,,EAMENA Database | University of Southampton | University of Oxford,http://n2t.net/ark:/99152/p0m64td,,,North Africa | Mauritania | Algeria | Egypt | Morocco | Libya | Western Sahara | Tunisia
http://n2t.net/ark:/99152/p0zj6g8ttsk,Mesolithic,-10000,-7000,,ARENA - The ARENA Portal | Stewart Waller | ADS,http://n2t.net/ark:/99152/p0zj6g8,,,Romania
http://n2t.net/ark:/99152/p06v8w4kw45,Mesolithic,-10000,-7000,,FASTI - Home | L - P : Archaeology | AIAC,http://n2t.net/ark:/99152/p06v8w4,,,Kosovo
http://n2t.net/ark:/99152/p06v8w4k39z,Mesolithic,-10000,-7000,,FASTI - Home | L - P : Archaeology | AIAC,http://n2t.net/ark:/99152/p06v8w4,,,Macedonia | North Macedonia | Republic of Macedonia
http://n2t.net/ark:/99152/p06v8w4658d,Mesolithic,-10000,-7000,,FASTI - Home | L - P : Archaeology | AIAC,http://n2t.net/ark:/99152/p06v8w4,,,Serbia
http://n2t.net/ark:/99152/p06v8w4jhjm,Mezolit,-10000,-7000,,FASTI - Home | L - P : Archaeology | AIAC,http://n2t.net/ark:/99152/p06v8w4,,,Albania
http://n2t.net/ark:/99152/p0gjgrsvxp3,Early Mesolithic,-9999,-7000,,Periods used on the database | Portable Antiquities Scheme,http://n2t.net/ark:/99152/p0gjgrs,,,United Kingdom
http://n2t.net/ark:/99152/p0xxt6t8p7d,Early Mesolithic,-9800,-7000,,Scottish Archaeological Periods & Ages (ScAPA) | Historic Environment Scotland | Dumfries & Galloway HER | Highlands HER | Shetland HER | East & Midlothian HER | Stirling HER | Perth & Kinross HER | Aberdeenshire HER,http://n2t.net/ark:/99152/p0xxt6t,http://n2t.net/ark:/99152/p0xxt6twj8n,,Scotland
http://n2t.net/ark:/99152/p02chr4mw28,Néolithique précéramique,-9000,-7000,,PACTOLS chronology periods used in DOLIA data | INRAP: Institut National de Recherches Archeologiques Preventive,http://n2t.net/ark:/99152/p02chr4,,,France
http://n2t.net/ark:/99152/p086kj9562j,Dalton,-8500,-7000,,Digital Index of North American Archaeology (DINAA) | Thaddeus Bissett | David G. Anderson | Sephen Yerka | Eric C. Kansa | Sarah W. Kansa | R Carl DeMuth | Joshua Wells | Kelsey Noack Myers,http://n2t.net/ark:/99152/p086kj9,,,Florida
http://n2t.net/ark:/99152/p0m64tdb7cz,"Neolithic, Early/Aceramic/Pre-pottery",-8500,-7000,,EAMENA Database | University of Southampton | University of Oxford,http://n2t.net/ark:/99152/p0m64td,http://n2t.net/ark:/99152/p0m64tdp3pt,,"Central Zagros, Iran | Iran"
http://n2t.net/ark:/99152/p0qhb66bshz,Tidigmesolitikum,-8200,-7000,,ARIADNE Data Collection | ARIADNE Consortium |,http://n2t.net/ark:/99152/p0qhb66,,,Sweden
http://n2t.net/ark:/99152/p086kj9xgsm,Dalton,-8000,-7000,,Digital Index of North American Archaeology (DINAA) | Thaddeus Bissett | David G. Anderson | Sephen Yerka | Eric C. Kansa | Sarah W. Kansa | R Carl DeMuth | Joshua Wells | Kelsey Noack Myers,http://n2t.net/ark:/99152/p086kj9,,,Missouri
http://n2t.net/ark:/99152/p0r8d9c3kxj,Mell. Maglemosekultur,-7800,-7000,,MUD - Museernes Udgravningsdata Danmark Dateringskodetabel | Fund og Fortidsminder (Slots og Kulturstyrelsen) | MUD - Museernes Udgravningsdata Danmark  |,http://n2t.net/ark:/99152/p0r8d9c,,,Denmark
http://n2t.net/ark:/99152/p0m64td45fq,"Neolithic, Early/Aceramic/Pre-pottery",-7600,-7000,,EAMENA Database | University of Southampton | University of Oxford,http://n2t.net/ark:/99152/p0m64td,http://n2t.net/ark:/99152/p0m64tdp3pt,,"Khuzestan, Iran | Iran"
http://n2t.net/ark:/99152/p0qk76zs7m3,Final Palaeolithic,-24999,-6999,,UCLA Encyclopedia of Egyptology | Willeke Wendrich,http://n2t.net/ark:/99152/p0qk76z,,,Egypt
http://n2t.net/ark:/99152/p0kh9ds6t9k,Early Mesolithic,-9999,-6999,,Historic England Archaeological and Cultural Periods | Historic England,http://n2t.net/ark:/99152/p0kh9ds,http://n2t.net/ark:/99152/p0kh9dskb4m,,England
