period_qid,period_label,periodo_id,latitude,longitude
Q3641960,Bombing of Rome in World War II,6c6g3pmfn,41.89305556,12.48277778
Q791313,Bathonian,9qtgwcdrv,43.9606,6.3153
Q1054850,Bactria–Margiana Archaeological Complex,8m57hq9gh,37.30111111111111,64.15530555555556
Q638530,Texas Revolution,6c6g3fdwd,31,-100
Q123437424,Mithraeum I,mx5nbjmkh,34.7490288049,40.7278076774
Q15224558,Euromaidan,6c6g3bc6j,50.45025,30.52389
Q123911600,Late Mithraeum,pkpgkwxn7,34.7500339667,40.7256578859
Q633834,Hettangian,9qtgwrf75,47.48388888888889,11.530555555555555
Q300887,Aalenian,9qtgw2x4f,41.07913888888889,-1.8303333333333334
Q301728,Albian,9qtgw7bg4,44.496605555555554,5.311766666666666
Q540479,Pliensbachian,9qtgw3hf7,54.4069,-0.4975
Q911869,Sinemurian,9qtgwgbxh,51.19083333333333,-3.236388888888889
