place_qid,canonical_label,raw_labels_seen,aliases,parent_qids,country_qids,lat,long,depth
Q1060042,South Region,South Region,Southern Brazil | South Region of Brazil | Brazílie jižní | Region Sud | Sur del Brasil | Sur de Brasil | Región Sur del Brasil | Region sur de Brasil | Region Sur del Brasil | Regione Sul del Brasile | Brasile meridionale | Южная Бразилия | ブラジル南部地方 | 南部地域 | 南伯 | スル,Q155,Q155,,,0
Q1060616,China–North Korea border,China–North Korea border,border between China and North Korea | border between North Korea and China | North Korea–China border | Chinese–Korean border fence | Frontière entre la Corée du Nord et la République populaire de Chine | Frontière terrestre entre la chine et la corée du nord | Frontiere terrestre entre la Chine et la Coree du Nord | Frontière terrestre entre la Corée du Nord et la Chine | Frontière entre la République populaire de Chine et la Corée du Nord | 中華人民共和国と朝鮮民主主義人民共和国の国境 | 中朝边境 | 中朝邊界 | 中朝邊境,,Q148 | Q423,,,0
Q1108445,Kievan Rus',,Rus | Kyivska Rus' | Kyivan Rus | Kyivan Rus' | Kyivan Rusʼ | Kyivan Rusʹ | Kyivan state | Kievan Rus | Rysslands historia: Varjagerna och Kievriket | Rysk historia: Varjagerna och Kievriket | Kiev Rus | Kievryssland | Kiev-Rus | Kiev Rus' | Kievrus | Kievrysk | Kristnandet av Ryssland | Kievryska riket | Kyjivska Rus | Kiewer Reich,,Q1108445,,,1
Q114,Kenya,Kenya,Republic of Kenya | KE | KEN | ke | Republiken Kenya | Republik Kenia | Kénya | la République du Kenya | Kenya | República de Kenia | Kenia | Chenia | Республика Кения | ケニア共和国 | ケニヤ | 肯雅 | 肯亞 | 肯尼亚共和国,,Q114,,,0
Q11767,Mesopotamia,Mesopotamia,ancient Mesopotamia | Jazeera | Two Rivers | Zweistromland | Zwischenstromland | Древняя Месопотамия | Двуречье | Междуречье | 米所波大米 | ما بين النهرين | حضارة بلاد الرافدين | بلاد ما بين النهرين | ميسوبوتاميا | بين النهرين | تاريخ العراق القديم | وادي الرافدين | بلاد ما بين الرافدين | ميزوبوتاميا | بلاد ما بين النهرين ( آلهة الموت السومرية ) | بلاد النهرين,,Q796,,,0
Q11772,Ancient Greece,Ancient Greece,Greek antiquity | Greece | Hellas | classical Greece | Griechische Antike | Altes Griechenland | Antiquité grecque | Grecia antigua | Hélade | Grecia antica | Античная Греция | 古代ギリシャ | 古代ギリシャ文明 | 古希腊,,,,,0
Q12560,Ottoman Empire,Ottoman Empire,Ottoman State | Turkish Empire | Sublime Ottoman State | Ottomanska riket | Turkiska riket | Ottomanisches Reich | Türkisches Reich | Sublime Porte | otomanos | Imperio turco | Imperio osmanlí | Turquía | El Turco | La Sublime Puerta (para el gobierno) | Imperio turco otomano | Sublime Imperio otomano | estado otomano | Sublime Estado Otomano | sultanato otomano | Impero turco-ottomano,,Q12560,,,0
Q1282,Lazio,,Latium | Lazio | IT-62 | Regione Lazio | 拉齐奥 | 拉齊奧 | لاتسيو | لتسية | لتسيو,Q38 | Q172579,Q38,,,2
Q128904,Elam,Elam,Elamites | Susiana | Atamti | Elamti | Hatamti | Alamti | Haltamti | Halamti | Elamtu | Elamiter | Elamer | Reich von Elam | Reich Elam | Civilisation élamite | Elamitas | Elamita | Elam | Elán | Elymais | Elimaide,,,,,0
Q133356,Ukrainian Soviet Socialist Republic,,Ukrainian SSR | Soviet Ukraine | Ukrainian S.S.R | Communist Ukraine | Ukrainska socialistiska sovjetrepubliken | Sovjetrepubliken Ukraina | Ukrainska sovjetrepubliken | Ukrainische SSR | Ukrainische Sowjetrepublik | République socialiste soviétique ukrainienne | Republique socialiste sovietique d'Ukraine | RSS d'Ukraine | RSS d’Ukraine | République socialiste soviétique d’Ukraine | Ukraine soviétique | República Sovietica de Ucrania | Ucrania soviética | Republica Soviética de Ucrania | RSS Ucrananiana | RSS Ucraniana,Q15180,Q15180,,,1
Q1372503,Syria Vilayet,Syria Vilayet,Vilayet of Damascus | Vilayet of Sham | Suriye Vilayet | Сирия (вилайет) | シャム | 叙利亚省 | 奥斯曼帝国叙利亚省 | 敘利亞行省 | سوريا,Q12560,Q12560,,,0
Q1419574,Kyiv Voivodship,,Kyiv Voivodeship | Wojewodschaft Kiew | palatinado de Kiev | Kiev | Kyiv | voivodato de Kyiv | voivodato di Kijów,Q49683 | Q5763782,Q172107 | Q49683,,,1
Q142,France,France,French Republic | France | La France | République française | Republiken Frankrike | Franska republiken | Französische Republik | fr | RF | la République française | Fr. | L'Hexagone | República Francesa | Repubblica francese | Repubblica Francese | Французская Республика | ФР | Французская республика | Республика Франция | Пятая Французская Республика,,Q142,,,0
Q1437277,Kiev Governorate,,Kyiv Guberniia | Kyiv Government,Q34266 | Q133356 | Q243610,Q34266 | Q243610 | Q15180,,,1
Q145,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland | U K | G B | Great Britain | Great Britain and Northern Ireland | the United Kingdom of Great Britain and Northern Ireland | the UK | Storbritannien och Nordirland | Förenade konungariket Storbritannien och Nordirland | Förenade kungariket | Stor-Britannien | Stor-Britannien och Nordirland | Stor-Britannien och Nord-Irland | Stora Britannien | Vereinigtes Königreich Großbritannien und Nordirland | Großbritannien | G B R | Vereinigte Königreich | Royaume-Uni de Grande-Bretagne et d'Irlande du Nord | Royaume Uni,,Q145,,,0
Q148,People's Republic of China,People's Republic of China,Red China | PR China | Communist China | China PR | RPC | cn | The PRC | China | Zhōngguó | P.R.C. | Folkrepubliken Kina | Mittens rike | VR China | Rotchina | V.R. China | Chinesische Volksrepublik | Chine communiste | Chine populaire | Chine continentale | Chine,,Q148,,,0
Q1483430,Principality of Kyiv,,Duchy of Kyiv | Kyiv principality | Großfürstentum Kiew | duché de Kiev | Principado de kiev | Granducato di Kiev | Великое княжество Киевское | Киевская земля,Q1108445 | Q49683,Q1483430 | Q2090473 | Q1108445 | Q12557 | Q79965 | Q49683,,,1
Q1500660,Oeste Subregion,,West | Oeste | Sous-région Ouest,,Q45,,,1
Q1508143,Ukrainian State,,Hetmanate | Hetman state | Hetman government | Hetmanshchyna | Ukrainska staten | État ukrainien | État d'Ukraine | Hetmanato 1918 | Украинское государство | Гетманат | Гетманат Скоропадского | Второй Гетманат | Гетманщина 1918 | держава Скоропадского | ヘーチマン政府 | دولة أوكرانية,,Q1508143,,,1
Q15119,Province of Rome,,provincia di Roma | IT-RM | Roma,Q1282,Q38,,,1
Q15180,Soviet Union,,USSR | U.S.S.R. | Soviets | U.S.S.R | the Union of Soviet Socialist Republics | the Soviet Union | Union of Soviet Socialist Republics | The Soviets | CCCP | SU | URS | The USSR | UdSSR | UDSSR | U.D.S.S.R. | Union der Sozialistischen Sowjetrepubliken | Union des républiques socialistes soviétiques | U.R.S.S. | URSS | Unión de Repúblicas Socialistas Soviéticas,,Q15180,,,2
Q155,Brazil,,Federative Republic of Brazil | Brasil | Föderative Republik Brasilien | République fédérative du Brésil | Brésilienne | Brésilien | Brézil | Amérique lusophone | Auriverde | République des États-Unis du Brésil | Brazil | la République fédérative du Brésil | Brés. | Bré. | Bresil | República Federativa de Brasil | República Federativa del Brasil | Repubblica Federativa del Brasile | Estados Unidos del Brazil | Федеративная Республика Бразилия,,Q200464 | Q155,,,1
Q1558632,Rome,,Rome Department | département de Rome | Roma (Departamento) | Roma | dipartimento del Tevere,Q142,Q142,,,1
Q159,Russia,Russia,Russian Federation | Federation of Russia | Rossija | Rossijskaja Federatsija | Ryska federationen | Russische Föderation | Russländische Föderation | Rußland | Rußische Föderation | Rußländische Föderation | Rus. | Fédération de Russie | Fédération russe | Federación Rusa | Federación de Rusia | Federazione Russa | Российская Федерация | РФ | ロシア連邦 | 俄羅斯,,Q159,,,0
Q16852240,Kiev Governorate,,,Q34266,Q34266,,,1
