qid,qid_label,periodo_ids,canonical_type,confidence,has_temporal,has_geographical,coverage_badge,p31_rows_count,geo_rows_count,temporal_rows_count,decision_rationale_json
Q1054850,Bactria–Margiana Archaeological Complex,8m57hq9gh,UNRESOLVED_FOR_SCA,0.00,true,true,gold_star,1,6,3,"{""qid"": {""id"": ""Q1054850"", ""label"": ""Bactria–Margiana Archaeological Complex""}, ""decision"": {""canonical_type"": ""UNRESOLVED_FOR_SCA"", ""confidence"": 0.0, ""vote_scores"": {}, ""coverage_badge"": ""gold_star""}, ""periodo_ids"": [""8m57hq9gh""], ""property_groups"": {""hierarchy"": [{""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q8432"", ""label"": ""civilization""}}, {""property"": {""id"": ""P361"", ""label"": ""part of""}, ""value"": {""id"": ""Q11761"", ""label"": ""Bronze Age""}}], ""temporal"": [{""property"": {""id"": ""P580"", ""label"": ""start time""}, ""value"": {""id"": null, ""label"": ""time=-2200-01-01T00:00:00Z;precision=9""}}, {""property"": {""id"": ""P582"", ""label"": ""end time""}, ""value"": {""id"": null, ""label"": ""time=-1700-01-01T00:00:00Z;precision=9""}}, {""property"": {""id"": ""P9350"", ""label"": ""PeriodO period ID""}, ""value"": {""id"": null, ""label"": ""8m57hq9gh""}}], ""geographical"": [{""property"": {""id"": ""P17"", ""label"": ""country""}, ""value"": {""id"": ""Q265"", ""label"": ""Uzbekistan""}}, {""property"": {""id"": ""P625"", ""label"": ""coordinate location""}, ""value"": {""id"": null, ""label"": ""{'latitude': 37.30111111111111, 'longitude': 64.15530555555556, 'altitude': None, 'precision': 2.777777777777778e-05, 'globe': 'http://www.wikidata.org/entity/Q2'}""}}, {""property"": {""id"": ""P276"", ""label"": ""location""}, ""value"": {""id"": ""Q172702"", ""label"": ""Karakum Desert""}}, {""property"": {""id"": ""P276"", ""label"": ""location""}, ""value"": {""id"": ""Q874"", ""label"": ""Turkmenistan""}}, {""property"": {""id"": ""P276"", ""label"": ""location""}, ""value"": {""id"": ""Q889"", ""label"": ""Afghanistan""}}, {""property"": {""id"": ""P131"", ""label"": ""located in the administrative territorial entity""}, ""value"": {""id"": ""Q399899"", ""label"": ""Ahal Region""}}]}, ""coverage_flags"": {""has_temporal"": true, ""has_geographical"": true}, ""evidence"": [{""kind"": ""extraction_only"", ""message"": ""Deterministic type mapping disabled. Route to SCA adjudication."", ""qid"": {""id"": ""Q1054850"", ""label"": ""Bactria–Margiana Archaeological Complex""}, ""periodo_ids"": [""8m57hq9gh""], ""property_ids"": [""P131"", ""P17"", ""P276"", ""P31"", ""P361"", ""P580"", ""P582"", ""P625"", ""P9350""]}]}"
Q1076902,Chremonidean War,6c6g382rh,UNRESOLVED_FOR_SCA,0.00,true,true,gold_star,1,1,3,"{""qid"": {""id"": ""Q1076902"", ""label"": ""Chremonidean War""}, ""decision"": {""canonical_type"": ""UNRESOLVED_FOR_SCA"", ""confidence"": 0.0, ""vote_scores"": {}, ""coverage_badge"": ""gold_star""}, ""periodo_ids"": [""6c6g382rh""], ""property_groups"": {""hierarchy"": [{""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q198"", ""label"": ""war""}}], ""temporal"": [{""property"": {""id"": ""P582"", ""label"": ""end time""}, ""value"": {""id"": null, ""label"": ""time=-0261-00-00T00:00:00Z;precision=9""}}, {""property"": {""id"": ""P580"", ""label"": ""start time""}, ""value"": {""id"": null, ""label"": ""time=-0267-00-00T00:00:00Z;precision=9""}}, {""property"": {""id"": ""P9350"", ""label"": ""PeriodO period ID""}, ""value"": {""id"": null, ""label"": ""6c6g382rh""}}], ""geographical"": [{""property"": {""id"": ""P276"", ""label"": ""location""}, ""value"": {""id"": ""Q41"", ""label"": ""Greece""}}]}, ""coverage_flags"": {""has_temporal"": true, ""has_geographical"": true}, ""evidence"": [{""kind"": ""extraction_only"", ""message"": ""Deterministic type mapping disabled. Route to SCA adjudication."", ""qid"": {""id"": ""Q1076902"", ""label"": ""Chremonidean War""}, ""periodo_ids"": [""6c6g382rh""], ""property_ids"": [""P276"", ""P31"", ""P580"", ""P582"", ""P9350""]}]}"
Q1080207,Norian,9qtgwnfdx,UNRESOLVED_FOR_SCA,0.00,true,false,silver,2,0,3,"{""qid"": {""id"": ""Q1080207"", ""label"": ""Norian""}, ""decision"": {""canonical_type"": ""UNRESOLVED_FOR_SCA"", ""confidence"": 0.0, ""vote_scores"": {}, ""coverage_badge"": ""silver""}, ""periodo_ids"": [""9qtgwnfdx""], ""property_groups"": {""hierarchy"": [{""property"": {""id"": ""P155"", ""label"": ""follows""}, ""value"": {""id"": ""Q911899"", ""label"": ""Carnian""}}, {""property"": {""id"": ""P156"", ""label"": ""followed by""}, ""value"": {""id"": ""Q530828"", ""label"": ""Rhaetian""}}, {""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q1123245"", ""label"": ""stage""}}, {""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q568683"", ""label"": ""age""}}, {""property"": {""id"": ""P361"", ""label"": ""part of""}, ""value"": {""id"": ""Q917293"", ""label"": ""Late Triassic""}}, {""property"": {""id"": ""P361"", ""label"": ""part of""}, ""value"": {""id"": ""Q63463770"", ""label"": ""ICS Standard Global Chronostratigraphic (Geochronologic) Scale""}}], ""temporal"": [{""property"": {""id"": ""P580"", ""label"": ""start time""}, ""value"": {""id"": null, ""label"": ""time=-227000000-00-00T00:00:00Z;precision=3""}}, {""property"": {""id"": ""P582"", ""label"": ""end time""}, ""value"": {""id"": null, ""label"": ""time=-208500000-00-00T00:00:00Z;precision=4""}}, {""property"": {""id"": ""P9350"", ""label"": ""PeriodO period ID""}, ""value"": {""id"": null, ""label"": ""9qtgwnfdx""}}], ""geographical"": []}, ""coverage_flags"": {""has_temporal"": true, ""has_geographical"": false}, ""evidence"": [{""kind"": ""extraction_only"", ""message"": ""Deterministic type mapping disabled. Route to SCA adjudication."", ""qid"": {""id"": ""Q1080207"", ""label"": ""Norian""}, ""periodo_ids"": [""9qtgwnfdx""], ""property_ids"": [""P155"", ""P156"", ""P31"", ""P361"", ""P580"", ""P582"", ""P9350""]}]}"
Q109384761,Ur III period,7ffbfhfkn,UNRESOLVED_FOR_SCA,0.00,true,true,gold_star,2,1,3,"{""qid"": {""id"": ""Q109384761"", ""label"": ""Ur III period""}, ""decision"": {""canonical_type"": ""UNRESOLVED_FOR_SCA"", ""confidence"": 0.0, ""vote_scores"": {}, ""coverage_badge"": ""gold_star""}, ""periodo_ids"": [""7ffbfhfkn""], ""property_groups"": {""hierarchy"": [{""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q465299"", ""label"": ""archaeological culture""}}, {""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q11514315"", ""label"": ""historical period""}}, {""property"": {""id"": ""P155"", ""label"": ""follows""}, ""value"": {""id"": ""Q114868851"", ""label"": ""Lagash II Period""}}, {""property"": {""id"": ""P156"", ""label"": ""followed by""}, ""value"": {""id"": ""Q114867465"", ""label"": ""Early Old Babylonian Period""}}, {""property"": {""id"": ""P156"", ""label"": ""followed by""}, ""value"": {""id"": ""Q15782728"", ""label"": ""Old-Assyrian period""}}, {""property"": {""id"": ""P156"", ""label"": ""followed by""}, ""value"": {""id"": ""Q13577667"", ""label"": ""Isin-Larsa period""}}], ""temporal"": [{""property"": {""id"": ""P580"", ""label"": ""start time""}, ""value"": {""id"": null, ""label"": ""time=-2100-00-00T00:00:00Z;precision=9""}}, {""property"": {""id"": ""P582"", ""label"": ""end time""}, ""value"": {""id"": null, ""label"": ""time=-2000-00-00T00:00:00Z;precision=9""}}, {""property"": {""id"": ""P9350"", ""label"": ""PeriodO period ID""}, ""value"": {""id"": null, ""label"": ""7ffbfhfkn""}}], ""geographical"": [{""property"": {""id"": ""P276"", ""label"": ""location""}, ""value"": {""id"": ""Q11767"", ""label"": ""Mesopotamia""}}]}, ""coverage_flags"": {""has_temporal"": true, ""has_geographical"": true}, ""evidence"": [{""kind"": ""extraction_only"", ""message"": ""Deterministic type mapping disabled. Route to SCA adjudication."", ""qid"": {""id"": ""Q109384761"", ""label"": ""Ur III period""}, ""periodo_ids"": [""7ffbfhfkn""], ""property_ids"": [""P155"", ""P156"", ""P276"", ""P31"", ""P580"", ""P582"", ""P9350""]}]}"
Q110209550,Early Dynastic IIIa,7ffbfx3sh,UNRESOLVED_FOR_SCA,0.00,true,true,gold_star,3,1,3,"{""qid"": {""id"": ""Q110209550"", ""label"": ""Early Dynastic IIIa""}, ""decision"": {""canonical_type"": ""UNRESOLVED_FOR_SCA"", ""confidence"": 0.0, ""vote_scores"": {}, ""coverage_badge"": ""gold_star""}, ""periodo_ids"": [""7ffbfx3sh""], ""property_groups"": {""hierarchy"": [{""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q465299"", ""label"": ""archaeological culture""}}, {""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q15401633"", ""label"": ""archaeological period""}}, {""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q11514315"", ""label"": ""historical period""}}, {""property"": {""id"": ""P361"", ""label"": ""part of""}, ""value"": {""id"": ""Q109386511"", ""label"": ""Early Dynastic III""}}, {""property"": {""id"": ""P156"", ""label"": ""followed by""}, ""value"": {""id"": ""Q110209565"", ""label"": ""Early Dynastic IIIb""}}], ""temporal"": [{""property"": {""id"": ""P580"", ""label"": ""start time""}, ""value"": {""id"": null, ""label"": ""time=-2600-00-00T00:00:00Z;precision=9""}}, {""property"": {""id"": ""P582"", ""label"": ""end time""}, ""value"": {""id"": null, ""label"": ""time=-2500-00-00T00:00:00Z;precision=9""}}, {""property"": {""id"": ""P9350"", ""label"": ""PeriodO period ID""}, ""value"": {""id"": null, ""label"": ""7ffbfx3sh""}}], ""geographical"": [{""property"": {""id"": ""P276"", ""label"": ""location""}, ""value"": {""id"": ""Q11767"", ""label"": ""Mesopotamia""}}]}, ""coverage_flags"": {""has_temporal"": true, ""has_geographical"": true}, ""evidence"": [{""kind"": ""extraction_only"", ""message"": ""Deterministic type mapping disabled. Route to SCA adjudication."", ""qid"": {""id"": ""Q110209550"", ""label"": ""Early Dynastic IIIa""}, ""periodo_ids"": [""7ffbfx3sh""], ""property_ids"": [""P156"", ""P276"", ""P31"", ""P361"", ""P580"", ""P582"", ""P9350""]}]}"
Q110209565,Early Dynastic IIIb,7ffbfjtm2,UNRESOLVED_FOR_SCA,0.00,true,true,gold_star,3,1,3,"{""qid"": {""id"": ""Q110209565"", ""label"": ""Early Dynastic IIIb""}, ""decision"": {""canonical_type"": ""UNRESOLVED_FOR_SCA"", ""confidence"": 0.0, ""vote_scores"": {}, ""coverage_badge"": ""gold_star""}, ""periodo_ids"": [""7ffbfjtm2""], ""property_groups"": {""hierarchy"": [{""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q465299"", ""label"": ""archaeological culture""}}, {""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q15401633"", ""label"": ""archaeological period""}}, {""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q11514315"", ""label"": ""historical period""}}, {""property"": {""id"": ""P361"", ""label"": ""part of""}, ""value"": {""id"": ""Q109386511"", ""label"": ""Early Dynastic III""}}, {""property"": {""id"": ""P155"", ""label"": ""follows""}, ""value"": {""id"": ""Q110209550"", ""label"": ""Early Dynastic IIIa""}}, {""property"": {""id"": ""P156"", ""label"": ""followed by""}, ""value"": {""id"": ""Q419594"", ""label"": ""Akkad period""}}], ""temporal"": [{""property"": {""id"": ""P580"", ""label"": ""start time""}, ""value"": {""id"": null, ""label"": ""time=-2500-00-00T00:00:00Z;precision=9""}}, {""property"": {""id"": ""P582"", ""label"": ""end time""}, ""value"": {""id"": null, ""label"": ""time=-2340-00-00T00:00:00Z;precision=9""}}, {""property"": {""id"": ""P9350"", ""label"": ""PeriodO period ID""}, ""value"": {""id"": null, ""label"": ""7ffbfjtm2""}}], ""geographical"": [{""property"": {""id"": ""P276"", ""label"": ""location""}, ""value"": {""id"": ""Q11767"", ""label"": ""Mesopotamia""}}]}, ""coverage_flags"": {""has_temporal"": true, ""has_geographical"": true}, ""evidence"": [{""kind"": ""extraction_only"", ""message"": ""Deterministic type mapping disabled. Route to SCA adjudication."", ""qid"": {""id"": ""Q110209565"", ""label"": ""Early Dynastic IIIb""}, ""periodo_ids"": [""7ffbfjtm2""], ""property_ids"": [""P155"", ""P156"", ""P276"", ""P31"", ""P361"", ""P580"", ""P582"", ""P9350""]}]}"
Q111656626,Bronsålder Period I,vn2frbvn2,UNRESOLVED_FOR_SCA,0.00,true,false,silver,1,0,3,"{""qid"": {""id"": ""Q111656626"", ""label"": ""Bronsålder Period I""}, ""decision"": {""canonical_type"": ""UNRESOLVED_FOR_SCA"", ""confidence"": 0.0, ""vote_scores"": {}, ""coverage_badge"": ""silver""}, ""periodo_ids"": [""vn2frbvn2""], ""property_groups"": {""hierarchy"": [{""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q15401633"", ""label"": ""archaeological period""}}, {""property"": {""id"": ""P361"", ""label"": ""part of""}, ""value"": {""id"": ""Q1471923"", ""label"": ""Early Bronze Age""}}, {""property"": {""id"": ""P155"", ""label"": ""follows""}, ""value"": {""id"": ""Q1340637"", ""label"": ""Final Neolithic in Central Europe""}}, {""property"": {""id"": ""P156"", ""label"": ""followed by""}, ""value"": {""id"": ""Q111656882"", ""label"": ""Bronsålder Period II""}}], ""temporal"": [{""property"": {""id"": ""P580"", ""label"": ""start time""}, ""value"": {""id"": null, ""label"": ""time=-1700-00-00T00:00:00Z;precision=8""}}, {""property"": {""id"": ""P582"", ""label"": ""end time""}, ""value"": {""id"": null, ""label"": ""time=-1500-00-00T00:00:00Z;precision=8""}}, {""property"": {""id"": ""P9350"", ""label"": ""PeriodO period ID""}, ""value"": {""id"": null, ""label"": ""vn2frbvn2""}}], ""geographical"": []}, ""coverage_flags"": {""has_temporal"": true, ""has_geographical"": false}, ""evidence"": [{""kind"": ""extraction_only"", ""message"": ""Deterministic type mapping disabled. Route to SCA adjudication."", ""qid"": {""id"": ""Q111656626"", ""label"": ""Bronsålder Period I""}, ""periodo_ids"": [""vn2frbvn2""], ""property_ids"": [""P155"", ""P156"", ""P31"", ""P361"", ""P580"", ""P582"", ""P9350""]}]}"
Q111656882,Bronsålder Period II,vn2frzrfs,UNRESOLVED_FOR_SCA,0.00,true,false,silver,1,0,3,"{""qid"": {""id"": ""Q111656882"", ""label"": ""Bronsålder Period II""}, ""decision"": {""canonical_type"": ""UNRESOLVED_FOR_SCA"", ""confidence"": 0.0, ""vote_scores"": {}, ""coverage_badge"": ""silver""}, ""periodo_ids"": [""vn2frzrfs""], ""property_groups"": {""hierarchy"": [{""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q15401633"", ""label"": ""archaeological period""}}, {""property"": {""id"": ""P361"", ""label"": ""part of""}, ""value"": {""id"": ""Q1471923"", ""label"": ""Early Bronze Age""}}, {""property"": {""id"": ""P155"", ""label"": ""follows""}, ""value"": {""id"": ""Q111656626"", ""label"": ""Bronsålder Period I""}}, {""property"": {""id"": ""P156"", ""label"": ""followed by""}, ""value"": {""id"": ""Q111657246"", ""label"": ""Bronsålder Period III""}}], ""temporal"": [{""property"": {""id"": ""P580"", ""label"": ""start time""}, ""value"": {""id"": null, ""label"": ""time=-1500-00-00T00:00:00Z;precision=8""}}, {""property"": {""id"": ""P582"", ""label"": ""end time""}, ""value"": {""id"": null, ""label"": ""time=-1300-00-00T00:00:00Z;precision=8""}}, {""property"": {""id"": ""P9350"", ""label"": ""PeriodO period ID""}, ""value"": {""id"": null, ""label"": ""vn2frzrfs""}}], ""geographical"": []}, ""coverage_flags"": {""has_temporal"": true, ""has_geographical"": false}, ""evidence"": [{""kind"": ""extraction_only"", ""message"": ""Deterministic type mapping disabled. Route to SCA adjudication."", ""qid"": {""id"": ""Q111656882"", ""label"": ""Bronsålder Period II""}, ""periodo_ids"": [""vn2frzrfs""], ""property_ids"": [""P155"", ""P156"", ""P31"", ""P361"", ""P580"", ""P582"", ""P9350""]}]}"
Q111657246,Bronsålder Period III,vn2fr68nx,UNRESOLVED_FOR_SCA,0.00,true,false,silver,1,0,3,"{""qid"": {""id"": ""Q111657246"", ""label"": ""Bronsålder Period III""}, ""decision"": {""canonical_type"": ""UNRESOLVED_FOR_SCA"", ""confidence"": 0.0, ""vote_scores"": {}, ""coverage_badge"": ""silver""}, ""periodo_ids"": [""vn2fr68nx""], ""property_groups"": {""hierarchy"": [{""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q15401633"", ""label"": ""archaeological period""}}, {""property"": {""id"": ""P361"", ""label"": ""part of""}, ""value"": {""id"": ""Q1471923"", ""label"": ""Early Bronze Age""}}, {""property"": {""id"": ""P155"", ""label"": ""follows""}, ""value"": {""id"": ""Q111656882"", ""label"": ""Bronsålder Period II""}}, {""property"": {""id"": ""P156"", ""label"": ""followed by""}, ""value"": {""id"": ""Q111657361"", ""label"": ""Bronsålder Period IV""}}], ""temporal"": [{""property"": {""id"": ""P580"", ""label"": ""start time""}, ""value"": {""id"": null, ""label"": ""time=-1300-00-00T00:00:00Z;precision=8""}}, {""property"": {""id"": ""P582"", ""label"": ""end time""}, ""value"": {""id"": null, ""label"": ""time=-1100-00-00T00:00:00Z;precision=8""}}, {""property"": {""id"": ""P9350"", ""label"": ""PeriodO period ID""}, ""value"": {""id"": null, ""label"": ""vn2fr68nx""}}], ""geographical"": []}, ""coverage_flags"": {""has_temporal"": true, ""has_geographical"": false}, ""evidence"": [{""kind"": ""extraction_only"", ""message"": ""Deterministic type mapping disabled. Route to SCA adjudication."", ""qid"": {""id"": ""Q111657246"", ""label"": ""Bronsålder Period III""}, ""periodo_ids"": [""vn2fr68nx""], ""property_ids"": [""P155"", ""P156"", ""P31"", ""P361"", ""P580"", ""P582"", ""P9350""]}]}"
Q111657361,Bronsålder Period IV,vn2frrx4q,UNRESOLVED_FOR_SCA,0.00,true,false,silver,1,0,3,"{""qid"": {""id"": ""Q111657361"", ""label"": ""Bronsålder Period IV""}, ""decision"": {""canonical_type"": ""UNRESOLVED_FOR_SCA"", ""confidence"": 0.0, ""vote_scores"": {}, ""coverage_badge"": ""silver""}, ""periodo_ids"": [""vn2frrx4q""], ""property_groups"": {""hierarchy"": [{""property"": {""id"": ""P31"", ""label"": ""instance of""}, ""value"": {""id"": ""Q15401633"", ""label"": ""archaeological period""}}, {""property"": {""id"": ""P361"", ""label"": ""part of""}, ""value"": {""id"": ""Q1758757"", ""label"": ""Late Bronze Age (Europe)""}}, {""property"": {""id"": ""P155"", ""label"": ""follows""}, ""value"": {""id"": ""Q111657246"", ""label"": ""Bronsålder Period III""}}, {""property"": {""id"": ""P156"", ""label"": ""followed by""}, ""value"": {""id"": ""Q111657374"", ""label"": ""Bronsålder Period V""}}], ""temporal"": [{""property"": {""id"": ""P580"", ""label"": ""start time""}, ""value"": {""id"": null, ""label"": ""time=-1100-00-00T00:00:00Z;precision=8""}}, {""property"": {""id"": ""P582"", ""label"": ""end time""}, ""value"": {""id"": null, ""label"": ""time=-0900-00-00T00:00:00Z;precision=8""}}, {""property"": {""id"": ""P9350"", ""label"": ""PeriodO period ID""}, ""value"": {""id"": null, ""label"": ""vn2frrx4q""}}], ""geographical"": []}, ""coverage_flags"": {""has_temporal"": true, ""has_geographical"": false}, ""evidence"": [{""kind"": ""extraction_only"", ""message"": ""Deterministic type mapping disabled. Route to SCA adjudication."", ""qid"": {""id"": ""Q111657361"", ""label"": ""Bronsålder Period IV""}, ""periodo_ids"": [""vn2frrx4q""], ""property_ids"": [""P155"", ""P156"", ""P31"", ""P361"", ""P580"", ""P582"", ""P9350""]}]}"
