qid,label,periodo_ids,property_count,property_ids,p31_qids,p31_labels,p279_qids,p361_qids,geo_edge_props,geo_objects
Q1054850,Bactria–Margiana Archaeological Complex,8m57hq9gh,24,P103 | P1036 | P131 | P1412 | P17 | P18 | P227 | P242 | P268 | P269 | P276 | P31 | P361 | P373 | P4212 | P508 | P580 | P582 | P625 | P646 | P8313 | P8885 | P9350 | P948,Q8432,civilization,,Q11761,P131 | P17 | P276,Q172702:Karakum Desert | Q265:Uzbekistan | Q399899:Ahal Region | Q874:Turkmenistan | Q889:Afghanistan
Q1076902,Chremonidean War,6c6g382rh,14,P1343 | P138 | P1417 | P18 | P276 | P2924 | P31 | P443 | P580 | P582 | P646 | P710 | P8069 | P9350,Q198,war,,,P276,Q41:Greece
Q109384761,Ur III period,7ffbfhfkn,11,P1014 | P138 | P155 | P156 | P1889 | P276 | P31 | P460 | P580 | P582 | P9350,Q465299 | Q11514315,archaeological culture | historical period,,,P276,Q11767:Mesopotamia
Q110209550,Early Dynastic IIIa,7ffbfx3sh,7,P156 | P276 | P31 | P361 | P580 | P582 | P9350,Q465299 | Q15401633 | Q11514315,archaeological culture | archaeological period | historical period,,Q109386511,P276,Q11767:Mesopotamia
Q110209565,Early Dynastic IIIb,7ffbfjtm2,8,P155 | P156 | P276 | P31 | P361 | P580 | P582 | P9350,Q465299 | Q15401633 | Q11514315,archaeological culture | archaeological period | historical period,,Q109386511,P276,Q11767:Mesopotamia
Q1135852,Guangxu Era,8m57hg5gw,11,P155 | P156 | P17 | P170 | P31 | P3553 | P580 | P582 | P646 | P910 | P9350,Q845538,Chinese era name,,,P17,Q8733:Qing dynasty
Q117326694,"Ṣafavid dynasty, 1501-1736",6c6g35q9w,8,P138 | P17 | P1889 | P31 | P361 | P580 | P582 | P9350,Q11514315,historical period,,Q28926 | Q83311,P17,Q18234383:Safavid Iran | Q794:Iran | Q83311:Persian Empire
Q1196237,Proto-Elamite period,7ffbfn97j,14,P1014 | P155 | P156 | P17 | P276 | P31 | P361 | P373 | P4212 | P571 | P580 | P582 | P646 | P9350,Q11514315 | Q15401633,historical period | archaeological period,,Q35355,P17 | P276,Q128904:Elam | Q794:Iran
Q123437424,Mithraeum I,mx5nbjmkh,13,P1382 | P155 | P156 | P1584 | P17 | P31 | P361 | P5008 | P527 | P580 | P582 | P625 | P9350,Q15401633 | Q4785465 | Q1151014,archaeological period | archaeological phase | mithraeum,,Q1939641,P17,Q858:Syria
Q123909218,Middle Mithraeum,pkpgk57tt,13,P1382 | P155 | P156 | P1584 | P17 | P170 | P31 | P361 | P4330 | P5008 | P580 | P582 | P9350,Q15401633 | Q4785465 | Q1151014 | Q839954,archaeological period | archaeological phase | mithraeum | archaeological site,,Q1939641,P17,Q858:Syria
Q123911600,Late Mithraeum,pkpgkwxn7,13,P1382 | P155 | P1584 | P17 | P31 | P361 | P3896 | P4330 | P5008 | P580 | P582 | P625 | P9350,Q15401633 | Q4785465,archaeological period | archaeological phase,,Q1939641,P17,Q858:Syria
