qid,qid_label,property_pid,property_label,statement_index,rank,value_qid,value_label,periodo_ids
Q1054850,Bactria–Margiana Archaeological Complex,P31,instance of,0,normal,Q8432,civilization,8m57hq9gh
Q1076902,Chremonidean War,P31,instance of,0,normal,Q198,war,6c6g382rh
Q1080207,Norian,P31,instance of,0,normal,Q1123245,stage,9qtgwnfdx
Q1080207,Norian,P31,instance of,1,normal,Q568683,age,9qtgwnfdx
Q109384761,Ur III period,P31,instance of,0,normal,Q465299,archaeological culture,7ffbfhfkn
Q109384761,Ur III period,P31,instance of,1,normal,Q11514315,historical period,7ffbfhfkn
Q110209550,Early Dynastic IIIa,P31,instance of,0,normal,Q465299,archaeological culture,7ffbfx3sh
Q110209550,Early Dynastic IIIa,P31,instance of,1,normal,Q15401633,archaeological period,7ffbfx3sh
Q110209550,Early Dynastic IIIa,P31,instance of,2,normal,Q11514315,historical period,7ffbfx3sh
Q110209565,Early Dynastic IIIb,P31,instance of,0,normal,Q465299,archaeological culture,7ffbfjtm2
Q110209565,Early Dynastic IIIb,P31,instance of,1,normal,Q15401633,archaeological period,7ffbfjtm2
Q110209565,Early Dynastic IIIb,P31,instance of,2,normal,Q11514315,historical period,7ffbfjtm2
Q111656626,Bronsålder Period I,P31,instance of,0,normal,Q15401633,archaeological period,vn2frbvn2
Q111656882,Bronsålder Period II,P31,instance of,0,normal,Q15401633,archaeological period,vn2frzrfs
Q111657246,Bronsålder Period III,P31,instance of,0,normal,Q15401633,archaeological period,vn2fr68nx
Q111657361,Bronsålder Period IV,P31,instance of,0,normal,Q15401633,archaeological period,vn2frrx4q
Q111657374,Bronsålder Period V,P31,instance of,0,normal,Q15401633,archaeological period,vn2frrq4x
Q111657385,Bronsålder Period VI,P31,instance of,0,normal,Q15401633,archaeological period,vn2frdpb3
Q1135852,Guangxu Era,P31,instance of,0,normal,Q845538,Chinese era name,8m57hg5gw
Q114867307,Achaemenid Period,P31,instance of,0,normal,Q11514315,historical period,83p5r9rs7
Q114867465,Early Old Babylonian Period,P31,instance of,0,normal,Q11514315,historical period,7ffbftf7p
Q114867907,Ebla Period,P31,instance of,0,normal,Q11514315,historical period,7ffbfh6rb
Q114867907,Ebla Period,P31,instance of,1,normal,Q3448837,middle chronology,7ffbfh6rb
Q114868851,Lagash II Period,P31,instance of,0,normal,Q11514315,historical period,7ffbf9qf7
Q114868885,Linear Elamite Period,P31,instance of,0,normal,Q11514315,historical period,7ffbf44sn
Q114868919,Middle Assyrian Period,P31,instance of,0,normal,Q11514315,historical period,7ffbfnbsj
Q114869008,Middle Hittite Period,P31,instance of,0,normal,Q11514315,historical period,7ffbf8qk6
Q114869081,Neo Assyrian Period,P31,instance of,0,normal,Q11514315,historical period,7ffbfzf7k
Q114869307,Neo Babylonian Period,P31,instance of,0,normal,Q11514315,historical period,7ffbfqvg7
Q114877803,Uruk III Period,P31,instance of,0,normal,Q11514315,historical period,7ffbf3bb5
Q114877809,Uruk IV Period,P31,instance of,0,normal,Q11514315,historical period,7ffbfz8rq
Q114877809,Uruk IV Period,P31,instance of,1,normal,Q3448837,middle chronology,7ffbfz8rq
Q114877817,Uruk V Period,P31,instance of,0,normal,Q11514315,historical period,7ffbf4k4d
Q117326694,"Ṣafavid dynasty, 1501-1736",P31,instance of,0,normal,Q11514315,historical period,6c6g35q9w
Q1196237,Proto-Elamite period,P31,instance of,0,normal,Q11514315,historical period,7ffbfn97j
Q1196237,Proto-Elamite period,P31,instance of,1,normal,Q15401633,archaeological period,7ffbfn97j
Q123437228,Early Mithraeum,P31,instance of,0,normal,Q15401633,archaeological period,pkpgkvf9d
Q123437228,Early Mithraeum,P31,instance of,1,normal,Q4785465,archaeological phase,pkpgkvf9d
Q123437424,Mithraeum I,P31,instance of,0,normal,Q15401633,archaeological period,mx5nbjmkh
Q123437424,Mithraeum I,P31,instance of,1,normal,Q4785465,archaeological phase,mx5nbjmkh
Q123437424,Mithraeum I,P31,instance of,2,normal,Q1151014,mithraeum,mx5nbjmkh
Q123437479,"Roman Period, Dura-Europos (Syria)",P31,instance of,0,normal,Q15401633,archaeological period,ns3tkfskp
Q123438122,"Arsacid Period, Dura-Europos (Syria)",P31,instance of,0,normal,Q15401633,archaeological period,ns3tk6npz
Q123909218,Middle Mithraeum,P31,instance of,0,normal,Q15401633,archaeological period,pkpgk57tt
Q123909218,Middle Mithraeum,P31,instance of,1,normal,Q4785465,archaeological phase,pkpgk57tt
Q123909218,Middle Mithraeum,P31,instance of,2,normal,Q1151014,mithraeum,pkpgk57tt
Q123909218,Middle Mithraeum,P31,instance of,3,normal,Q839954,archaeological site,pkpgk57tt
Q123910977,Mithraeum II,P31,instance of,0,normal,Q15401633,archaeological period,mx5nb56sq
Q123910977,Mithraeum II,P31,instance of,1,normal,Q4785465,archaeological phase,mx5nb56sq
Q123911600,Late Mithraeum,P31,instance of,0,normal,Q15401633,archaeological period,pkpgkwxn7
Q123911600,Late Mithraeum,P31,instance of,1,normal,Q4785465,archaeological phase,pkpgkwxn7
Q123915981,"Final Phase, Mithraeum",P31,instance of,0,normal,Q15401633,archaeological period,mx5nb7krq
Q123915981,"Final Phase, Mithraeum",P31,instance of,1,normal,Q4785465,archaeological phase,mx5nb7krq
Q123917199,"Phase A, Mithraeum",P31,instance of,0,normal,Q15401633,archaeological period,mx5nbc4kr
Q123917199,"Phase A, Mithraeum",P31,instance of,1,normal,Q4785465,archaeological phase,mx5nbc4kr
Q123918334,"Phase B, Mithraeum",P31,instance of,0,normal,Q15401633,archaeological period,mx5nbxk28
Q123918334,"Phase B, Mithraeum",P31,instance of,1,normal,Q4785465,archaeological phase,mx5nbxk28
Q124355469,"Hellenistic Period, Dura-Europos (Syria)",P31,instance of,0,normal,Q15401633,archaeological period,ns3tk5mn7
Q12554,Middle Ages,P31,instance of,0,normal,Q17522177,age,8m57h8zmq
Q12554,Middle Ages,P31,instance of,1,normal,Q11514315,historical period,8m57h8zmq
Q127751,Wars of the Roses,P31,instance of,0,normal,Q198,war,6c6g3crgz
Q127751,Wars of the Roses,P31,instance of,1,normal,Q8465,civil war,6c6g3crgz
Q131987978,Romano-British period,P31,instance of,0,normal,Q816829,periodization,kh9ds9nsj
Q1325419,Genji,P31,instance of,0,normal,Q24706,Japanese era name,8m57h7cc2
Q133610270,British Neolithic,P31,instance of,0,normal,Q816829,periodization,kh9dshs59
Q1471568,Old Babylonian Period,P31,instance of,0,normal,Q11514315,historical period,7ffbfw885
Q15224558,Euromaidan,P31,instance of,0,normal,Q686984,civil disorder,6c6g3bc6j
Q15224558,Euromaidan,P31,instance of,1,normal,Q175331,demonstration,6c6g3bc6j
Q15224558,Euromaidan,P31,instance of,2,normal,Q273120,protest,6c6g3bc6j
Q15224558,Euromaidan,P31,instance of,3,normal,Q45382,coup d'état,6c6g3bc6j
Q15782728,Old-Assyrian period,P31,instance of,0,normal,Q11514315,historical period,7ffbfm56z
Q16530848,Middle Babylonian period,P31,instance of,0,normal,Q11514315,historical period,7ffbfch4f
Q182688,Victorian era,P31,instance of,0,normal,Q11514315,historical period,kh9dsxp46
Q182688,Victorian era,P31,instance of,1,normal,Q186408,point in time,kh9dsxp46
Q204023,Sengoku period,P31,instance of,0,normal,Q11514315,historical period,6c6g3cq26
Q208297,Irish War of Independence,P31,instance of,0,normal,Q1006311,war of national liberation,6c6g3xtnj
Q208297,Irish War of Independence,P31,instance of,1,normal,Q21994376,war of independence,6c6g3xtnj
Q209297,Farroupilha Revolution,P31,instance of,0,normal,Q8465,civil war,6c6g3bpt7
Q239060,Arab Revolt,P31,instance of,0,normal,Q124734,rebellion,6c6g32wkw
Q239060,Arab Revolt,P31,instance of,1,normal,Q6107280,revolt,6c6g32wkw
Q25546,Pleistocene,P31,instance of,0,normal,Q754897,epoch,p086kj94tsm
Q25546,Pleistocene,P31,instance of,1,normal,Q312468,series,p086kj94tsm
Q277399,British Iron Age,P31,instance of,0,normal,Q816829,periodization,kh9dsj33x
Q284787,Early Jurassic,P31,instance of,0,normal,Q312468,series,9qtgw32q7
Q284787,Early Jurassic,P31,instance of,1,normal,Q754897,epoch,9qtgw32q7
Q29297050,Neo-Elamite period,P31,instance of,0,normal,Q11514315,historical period,7ffbfx45f
Q29297050,Neo-Elamite period,P31,instance of,1,normal,Q15401633,archaeological period,7ffbfx45f
Q29297151,Middle Elamite period,P31,instance of,0,normal,Q11514315,historical period,7ffbfknpj
Q300887,Aalenian,P31,instance of,0,normal,Q1123245,stage,9qtgw2x4f
Q300887,Aalenian,P31,instance of,1,normal,Q568683,age,9qtgw2x4f
Q301728,Albian,P31,instance of,0,normal,Q1123245,stage,9qtgw7bg4
Q301728,Albian,P31,instance of,1,normal,Q568683,age,9qtgw7bg4
Q3125096,Meiji period,P31,instance of,0,normal,Q24706,Japanese era name,8m57hsw5p
Q3125096,Meiji period,P31,instance of,1,normal,Q7310094,reign,8m57hsw5p
Q3125096,Meiji period,P31,instance of,2,normal,Q11514315,historical period,8m57hsw5p
Q338199,Late Cretaceous,P31,instance of,0,normal,Q312468,series,9qtgwdffp
Q338199,Late Cretaceous,P31,instance of,1,normal,Q754897,epoch,9qtgwdffp
Q3641960,Bombing of Rome in World War II,P31,instance of,0,normal,Q841418,strategic bombing,6c6g3pmfn
Q4096987,British Bronze Age,P31,instance of,0,normal,Q816829,periodization,kh9ds7q8m
Q419594,Akkad period,P31,instance of,0,normal,Q11514315,historical period,7ffbf6hdp
Q419594,Akkad period,P31,instance of,1,normal,Q465299,archaeological culture,7ffbf6hdp
Q419594,Akkad period,P31,instance of,2,normal,Q11042,culture,7ffbf6hdp
Q419594,Akkad period,P31,instance of,3,normal,Q1292119,style,7ffbf6hdp
Q42005,Black Death,P31,instance of,0,normal,Q3241045,disease outbreak,pgmrbmd5t
Q42005,Black Death,P31,instance of,1,normal,Q12184,pandemic,pgmrbmd5t
Q428995,Hellenistic period,P31,instance of,0,normal,Q11514315,historical period,7ffbfhnns
Q428995,Hellenistic period,P31,instance of,1,normal,Q11042,culture,7ffbfhnns
Q428995,Hellenistic period,P31,instance of,2,normal,Q1792644,art style,7ffbfhnns
Q428995,Hellenistic period,P31,instance of,3,normal,Q3448837,middle chronology,7ffbfhnns
Q44626,Cretaceous,P31,instance of,0,normal,Q392928,period,9qtgwjxcm
Q44626,Cretaceous,P31,instance of,1,normal,Q403523,system,9qtgwjxcm
